Timestamp,7_day_Check,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch_3low
2026-02-03T21:48:28.012,7_day_Check,BAJAJCON,356.4,20.99,-2.13,274.17,396.26,370.0,17.18,25.9,30.2,65.02,fmcg,personal care - indian,21.93,8.09,0.202,0.769,0.108,0.721,3.19,296.35,26.08
2026-02-03T21:48:28.012,7_day_Check,UJJIVANSFB,63.89,4.44,-9.61,59.14,80.78,68.0,8.52,16.64,24.23,70.13,bank,banks - private sector,26.12,3.38,0.341,0.357,0.239,0.336,3.14,61.14,11.37
2026-02-03T21:48:28.012,7_day_Check,SBC,28.91,0.639,-18.31,28.57,32.67,30.05,0.9,30.11,56.96,70.76,textiles,textiles - products,30.55,1.5,0.572,1.11,0.588,1.08,2.45,29.0,10.04
2026-02-03T21:48:28.012,7_day_Check,AUTOAXLES,1966.5,3.85,-5.38,1902.0,2115.3,2014.0,1.03,20.67,18.6,56.66,auto,auto ancillaries,28.68,1.47,-0.058,0.092,-0.046,0.097,0.482,1930.0,6.67
2026-02-03T21:48:28.012,7_day_Check,SEAMECLTD,1230.3,17.1,-2.08,1067.05,1347.4,1325.0,2.24,7.85,16.99,65.9,miscellaneous,miscellaneous,37.07,4.63,0.248,0.287,0.216,0.285,1.34,1116.5,6.35
2026-02-03T22:23:55.402,7_day_Check,BAJAJCON,356.4,20.99,-2.13,274.17,396.26,370.0,17.18,25.9,30.2,65.02,fmcg,personal care - indian,21.93,8.09,0.202,0.769,0.108,0.721,3.19,296.35,26.08
2026-02-03T22:23:55.402,7_day_Check,UJJIVANSFB,63.89,4.44,-9.61,59.14,80.78,68.0,8.52,16.64,24.23,70.13,bank,banks - private sector,26.12,3.38,0.341,0.357,0.239,0.336,3.14,61.14,11.37
2026-02-03T22:23:55.402,7_day_Check,SBC,28.91,0.639,-18.31,28.57,32.67,30.05,0.9,30.11,56.96,70.76,textiles,textiles - products,30.55,1.5,0.572,1.11,0.588,1.08,2.45,29.0,10.04
2026-02-03T22:23:55.402,7_day_Check,AUTOAXLES,1966.5,3.85,-5.38,1902.0,2115.3,2014.0,1.03,20.67,18.6,56.66,auto,auto ancillaries,28.68,1.47,-0.058,0.092,-0.046,0.097,0.482,1930.0,6.67
2026-02-03T22:23:55.402,7_day_Check,SEAMECLTD,1230.3,17.1,-2.08,1067.05,1347.4,1325.0,2.24,7.85,16.99,65.9,miscellaneous,miscellaneous,37.07,4.63,0.248,0.287,0.216,0.285,1.34,1116.5,6.35
2026-02-03T22:31:29.497,7_day_Check,BAJAJCON,356.4,20.99,-2.13,274.17,396.26,370.0,17.18,25.9,30.2,65.02,fmcg,personal care - indian,21.93,8.09,0.202,0.769,0.108,0.721,3.19,296.35,26.08
2026-02-03T22:31:29.497,7_day_Check,UJJIVANSFB,63.89,4.44,-9.61,59.14,80.78,68.0,8.52,16.64,24.23,70.13,bank,banks - private sector,26.12,3.38,0.341,0.357,0.239,0.336,3.14,61.14,11.37
2026-02-03T22:31:29.497,7_day_Check,SBC,28.91,0.639,-18.31,28.57,32.67,30.05,0.9,30.11,56.96,70.76,textiles,textiles - products,30.55,1.5,0.572,1.11,0.588,1.08,2.45,29.0,10.04
2026-02-03T22:31:29.497,7_day_Check,AUTOAXLES,1966.5,3.85,-5.38,1902.0,2115.3,2014.0,1.03,20.67,18.6,56.66,auto,auto ancillaries,28.68,1.47,-0.058,0.092,-0.046,0.097,0.482,1930.0,6.67
2026-02-03T22:31:29.497,7_day_Check,SEAMECLTD,1230.3,17.1,-2.08,1067.05,1347.4,1325.0,2.24,7.85,16.99,65.9,miscellaneous,miscellaneous,37.07,4.63,0.248,0.287,0.216,0.285,1.34,1116.5,6.35
