Timestamp,Symbol,Cmp,%ch,Sl,Target,0dhigh,Rvol,Forwardpe,Pe,Rsi,Wrsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Column20,Low6
2026-02-05T17:25:06.883,RAMCOCEM,1164.90,0.945,1089.55,1328.99,1171.60,0.303,89.06,73.74,69.07,65.04,building materials,cement - south india,17.08,3.91,-0.056,0.156,-0.082,0.147,8.97,1.96,1069
2026-02-05T17:25:06.883,STLTECH,134.12,3.65,103.27,205.58,139,4.26,-95.80,-142.20,76.00,64.14,industrials,cables - telephone,30.42,26.87,-0.035,0.818,-0.055,0.757,39.64,5.42,96.05
2026-02-05T17:25:06.883,CEIGALL,288,2.24,271.51,324.98,290,1.48,22.36,19.58,67.83,62.14,realty,construction,28.46,-0.056,0.040,0.115,-0.010,0.092,8.54,2.47,265.35
2026-02-05T17:25:06.883,FORCEMOT,21090,5.09,18804.42,27881.17,22200,6.33,19.81,24.55,60.60,61.64,auto,automobiles - lcvs / hcvs,19.80,5.02,0.074,0.848,0.010,0.761,16.33,2.88,18130
2026-02-05T17:25:06.883,SMCGLOBAL,86.07,10.02,70.28,123.15,88.82,6.04,14.74,11.80,60.19,59.55,financials,finance & investments,19.58,9.86,0.135,0.396,0.025,0.271,20.70,12.04,71.31
2026-02-05T17:25:06.883,GESHIP,1266.10,2.20,1172.88,1491.13,1285.40,2.31,5.56,7.82,76.70,70.93,transportation,shipping,20.24,6.31,0.241,0.310,0.215,0.283,12.54,2.75,1125
2026-02-05T17:25:06.883,BAJAJCON,363.70,1.85,327.45,445.79,368.50,1.01,26.43,30.97,71.82,78.77,fmcg,personal care - indian,29.79,9.62,0.489,0.942,0.450,0.910,18.45,3.08,307.05
2026-02-05T17:25:06.883,SBC,30.31,1.51,28.52,34.68,30.71,1.05,31.57,59.72,68.06,83.64,textiles,textiles - products,39.92,1.52,0.569,1.01,0.549,0.981,24.89,1.88,24.27
2026-02-05T17:17:45.183,RAMCOCEM,1164.9,0.945,1089.55,1328.99,1171.6,0.303,89.06,73.74,69.07,65.04,building materials,cement - south india,17.08,3.91,-0.056,0.156,-0.082,0.147,8.97,1.96,1069.0
2026-02-05T17:17:45.183,STLTECH,134.12,3.65,103.27,205.58,139.0,4.26,-95.8,-142.2,76.0,64.14,industrials,cables - telephone,30.42,26.87,-0.035,0.818,-0.055,0.757,39.64,5.42,96.05
2026-02-05T17:17:45.183,CEIGALL,288.0,2.24,271.51,324.98,290.0,1.48,22.36,19.58,67.83,62.14,realty,construction,28.46,-0.056,0.04,0.115,-0.01,0.092,8.54,2.47,265.35
2026-02-05T17:17:45.183,FORCEMOT,21090.0,5.09,18804.42,27881.17,22200.0,6.33,19.81,24.55,60.6,61.64,auto,automobiles - lcvs / hcvs,19.8,5.02,0.074,0.848,0.01,0.761,16.33,2.88,18130.0
2026-02-05T17:17:45.183,SMCGLOBAL,86.07,10.02,70.28,123.15,88.82,6.04,14.74,11.8,60.19,59.55,financials,finance & investments,19.58,9.86,0.135,0.396,0.025,0.271,20.7,12.04,71.31
2026-02-05T17:17:45.183,GESHIP,1266.1,2.2,1172.88,1491.13,1285.4,2.31,5.56,7.82,76.7,70.93,transportation,shipping,20.24,6.31,0.241,0.31,0.215,0.283,12.54,2.75,1125.0
2026-02-05T17:17:45.183,BAJAJCON,363.7,1.85,327.45,445.79,368.5,1.01,26.43,30.97,71.82,78.77,fmcg,personal care - indian,29.79,9.62,0.489,0.942,0.45,0.91,18.45,3.08,307.05
2026-02-05T17:17:45.183,SBC,30.31,1.51,28.52,34.68,30.71,1.05,31.57,59.72,68.06,83.64,textiles,textiles - products,39.92,1.52,0.569,1.01,0.549,0.981,24.89,1.88,24.27
2026-02-05T17:12:38.068,RAMCOCEM,1164.9,0.945,1089.55,1328.99,1171.6,0.303,89.06,73.74,69.07,65.04,building materials,cement - south india,17.08,3.91,-0.056,0.156,-0.082,0.147,8.97,1.96,1069.0
2026-02-05T17:12:38.068,STLTECH,134.12,3.65,103.27,205.58,139.0,4.26,-95.8,-142.2,76.0,64.14,industrials,cables - telephone,30.42,26.87,-0.035,0.818,-0.055,0.757,39.64,5.42,96.05
2026-02-05T17:12:38.068,CEIGALL,288.0,2.24,271.51,324.98,290.0,1.48,22.36,19.58,67.83,62.14,realty,construction,28.46,-0.056,0.04,0.115,-0.01,0.092,8.54,2.47,265.35
2026-02-05T17:12:38.068,FORCEMOT,21090.0,5.09,18804.42,27881.17,22200.0,6.33,19.81,24.55,60.6,61.64,auto,automobiles - lcvs / hcvs,19.8,5.02,0.074,0.848,0.01,0.761,16.33,2.88,18130.0
2026-02-05T17:12:38.068,SMCGLOBAL,86.07,10.02,70.28,123.15,88.82,6.04,14.74,11.8,60.19,59.55,financials,finance & investments,19.58,9.86,0.135,0.396,0.025,0.271,20.7,12.04,71.31
2026-02-05T17:12:38.068,GESHIP,1266.1,2.2,1172.88,1491.13,1285.4,2.31,5.56,7.82,76.7,70.93,transportation,shipping,20.24,6.31,0.241,0.31,0.215,0.283,12.54,2.75,1125.0
2026-02-05T17:12:38.068,BAJAJCON,363.7,1.85,327.45,445.79,368.5,1.01,26.43,30.97,71.82,78.77,fmcg,personal care - indian,29.79,9.62,0.489,0.942,0.45,0.91,18.45,3.08,307.05
2026-02-05T17:12:38.068,SBC,30.31,1.51,28.52,34.68,30.71,1.05,31.57,59.72,68.06,83.64,textiles,textiles - products,39.92,1.52,0.569,1.01,0.549,0.981,24.89,1.88,24.27
