Timestamp,Symbol,Cmp,%ch,%ch7,Lch7,Low,Sl,Target,Rvol,Forwardpe,Pe,Rsi,Wrsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc
2026-02-05T18:56:00.343,ONGC,269.20,0.843,3.42,-7.81,266,256.51,282.61,1.23,7.84,9.19,74.80,66.14,energy,oil drilling / allied services,29.02,1.22,0.025,0.050,-0.055,-0.029,1.20
2026-02-05T18:56:00.343,FUSION,187.97,0.112,2.69,-5.57,184,178.58,201.53,0.569,-27.81,-1.96,67.08,59.12,financials,finance & investments,19.80,1.85,0.028,-0.021,-0.021,-0.055,2.16
2026-02-05T18:56:00.343,ROSSTECH,733.90,-5.64,19.08,-7.56,727,632.34,995.98,0.674,128.30,138.40,56.06,61.11,aerospace & defence,engineering,17.62,5.23,0.064,0.866,0.034,0.786,0.949
2026-02-05T18:56:00.343,COALINDIA,431.85,-0.701,3.94,-6.99,427.70,427.63,445.80,0.669,15.27,8.59,67.75,61.73,metals & mining,mining / minerals / metals,39.25,0.052,0.066,0.060,0.022,0.011,0.970
2026-02-05T18:56:00.343,BEL,432.90,-1.43,1.91,-10.79,428.15,427.67,456.49,0.777,50.10,53.82,72.22,60.17,aerospace & defence,electronics - components,19.61,1.91,0.075,0.203,-0.023,0.106,1.11
2026-02-05T18:56:00.343,TMB,643.60,3.19,15.60,-0.516,627.90,580.68,688.22,3.72,8.02,8.13,62.86,79.33,bank,banks - private sector,28.97,1.68,0.174,0.233,0.138,0.203,2.50
2026-02-05T18:56:00.343,AETHER,1022,-1.31,8.67,-3.28,1012.20,992.69,1099.96,0.776,52.57,63.65,65.44,70.69,chemicals,chemicals,27.84,0.653,0.183,0.290,0.188,0.286,0.968
2026-02-05T18:56:00.343,ATALREAL,27.62,1.77,4.42,-3.93,27.20,26.38,28.28,0.809,7.67,24.45,56.05,71.60,realty,construction,11.08,-1.40,0.307,0.721,0.293,0.753,1.54
2026-02-05T18:56:00.343,VENUSREM,758.55,-1.98,12.68,0,753,744.30,818.30,0.231,9.91,13.56,51.02,61.23,healthcare,pharmaceuticals - indian - formulations,15.73,1.90,0.333,1.10,0.318,1.11,0.737
2026-02-05T18:56:00.343,SEAMECLTD,1256.20,3.80,9.71,-0.638,1214.40,1198.17,1228.24,0.530,8.02,16.12,74.99,73.00,miscellaneous,miscellaneous,38.10,1.41,0.414,0.383,0.341,0.344,3.44
2026-02-05T17:35:12.978,ONGC,269.2,0.843,3.42,-7.81,266.0,256.51,282.61,1.23,7.84,9.19,74.8,66.14,energy,oil drilling / allied services,29.02,1.22,0.025,0.05,-0.055,-0.029,1.2
2026-02-05T17:35:12.978,FUSION,187.01,-0.399,2.69,-5.57,184.0,178.58,201.53,0.569,-27.66,-1.96,67.08,58.6,financials,finance & investments,19.8,1.85,0.028,-0.021,-0.021,-0.055,1.64
2026-02-05T17:35:12.978,ROSSTECH,733.9,-5.64,19.08,-7.56,727.0,632.34,995.98,0.674,128.3,138.4,56.06,61.11,aerospace & defence,engineering,17.62,5.23,0.064,0.866,0.034,0.786,0.949
2026-02-05T17:35:12.978,COALINDIA,431.85,-0.701,3.94,-6.99,427.7,427.63,445.8,0.669,15.27,8.59,67.75,61.73,metals & mining,mining / minerals / metals,39.25,0.052,0.066,0.06,0.022,0.011,0.97
2026-02-05T17:35:12.978,BEL,432.9,-1.43,1.91,-10.79,428.15,427.67,456.49,0.777,50.1,53.82,72.23,60.17,aerospace & defence,electronics - components,19.61,1.91,0.075,0.203,-0.023,0.106,1.11
2026-02-05T17:35:12.978,TMB,643.6,3.19,15.6,-0.516,627.9,580.68,688.22,3.72,8.02,8.13,62.87,79.33,bank,banks - private sector,28.97,1.68,0.174,0.233,0.138,0.203,2.5
2026-02-05T17:35:12.978,AETHER,1022.0,-1.31,8.67,-3.28,1012.2,992.69,1099.96,0.776,52.57,63.65,65.44,70.69,chemicals,chemicals,27.84,0.653,0.183,0.29,0.188,0.286,0.968
2026-02-05T17:35:12.978,ATALREAL,27.62,1.77,4.42,-3.93,27.2,26.38,28.28,0.815,7.67,24.45,56.05,71.6,realty,construction,11.08,-1.4,0.307,0.721,0.293,0.753,1.54
2026-02-05T17:35:12.978,VENUSREM,767.0,-0.892,12.68,0.0,753.0,744.3,818.3,0.231,10.02,13.56,51.02,62.09,healthcare,pharmaceuticals - indian - formulations,15.73,1.89,0.333,1.1,0.318,1.11,1.86
2026-02-05T17:35:12.978,SEAMECLTD,1259.5,4.07,9.71,-0.638,1214.4,1198.17,1228.24,0.53,8.04,16.12,74.99,73.43,miscellaneous,miscellaneous,38.1,1.41,0.414,0.383,0.341,0.344,3.71
