Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,From52wh,3d range,5d,Free float
2026-05-12T01:43:20.412,HINDCOPPER,572.9,0.65,552.82,530.25,550.95,605.82,0.63,88.41,83.76,60.46,metals & mining,mining / minerals / metals,15.02,3.98,72.45,0.59,1.31,535.89,514.23,38.64,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,MCX,3187.9,2.91,2981.65,2867.0,2979.6,3500.34,1.85,38.35,17.91,76.8,financials,miscellaneous,30.18,6.99,94.23,0.56,0.94,2967.89,2834.58,35.81,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,ACUTAAS,2810.3,2.78,2673.93,2604.5,2594.01,3134.73,1.05,43.67,64.59,72.44,healthcare,pharmaceuticals - indian - bulk drugs,27.28,8.34,100.54,0.47,0.94,2606.81,2468.9,31.8,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,SYRMA,1112.6,1.13,1070.16,1018.1,1052.09,1203.37,1.24,52.19,73.05,78.6,consumer discretionary,electronics - components,38.5,5.75,30.64,0.28,0.44,1018.38,980.31,29.48,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,APARINDS,12843.0,0.26,12375.44,12340.0,12586.98,13227.03,0.51,61.73,52.99,67.76,industrials,electric equipment,46.63,2.03,50.56,0.43,0.51,11991.2,11419.35,26.57,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,VEDL,298.4,0.66,288.32,292.0,290.08,310.88,0.52,4.35,6.7,60.77,metals & mining,mining / minerals / metals,27.66,2.87,74.98,0.48,0.78,271.84,255.08,23.63,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,LAURUSLABS,1266.8,3.13,1196.97,1157.7,1158.47,1429.3,1.52,61.26,76.92,75.57,healthcare,pharmaceuticals - indian - bulk drugs & formln,26.6,9.35,46.79,0.19,0.38,1186.95,1137.57,23.14,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,HFCL,148.46,5.18,134.9,125.5,130.7,175.1,2.47,30.67,69.7,85.66,telecom,cables - telephone,61.31,13.59,100.73,0.83,0.97,129.16,118.02,21.81,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,SCI,340.65,0.47,327.71,306.5,322.32,368.15,3.6,9.8,11.73,75.7,transportation,shipping,37.27,5.69,53.56,0.18,0.52,300.87,299.13,21.39,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,GALLANTT,889.25,2.3,838.93,831.05,901.2,871.33,0.82,43.68,44.31,67.26,metals & mining,steel - medium / small,50.18,-1.33,36.1,0.48,0.37,787.91,760.65,19.52,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,BSE,3918.0,0.27,3768.3,3691.0,3821.2,4063.2,1.06,50.62,64.64,76.82,financials,miscellaneous,38.14,2.53,75.61,0.35,0.62,3688.97,3544.2,19.43,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,DATAPATTNS,4142.0,0.94,3959.2,4040.0,4199.31,4056.04,0.51,99.38,93.84,65.4,aerospace & defence,electronics - components,34.82,-1.36,46.78,0.46,0.54,3762.39,3510.68,19.11,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,BHARATFORG,1987.0,-0.14,1913.35,1818.3,1908.64,2104.54,0.85,102.21,88.0,67.02,industrials,castings & forgings,22.88,4.11,63.36,0.39,0.66,1837.89,1746.46,18.77,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,BHEL,401.35,-0.8,385.19,368.4,387.27,422.48,1.06,27.05,87.25,81.16,industrials,electric equipment,51.07,3.64,64.12,0.4,0.78,367.54,347.44,18.4,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,IDEA,12.18,8.36,10.98,10.5,10.65,14.47,3.46,-6.21,-4.61,82.2,telecom-service,telecommunications - service provider,32.65,14.34,32.68,0.17,0.8,10.97,10.32,17.36,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,WELCORP,1329.3,2.9,1250.58,1231.1,1317.49,1347.02,1.43,19.36,18.01,85.13,industrials,steel - large,59.1,0.9,52.54,0.35,0.44,1236.85,1180.42,16.88,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,GRANULES,755.6,0.35,727.45,700.0,721.44,806.84,1.68,22.95,30.92,83.77,healthcare,pharmaceuticals - indian - bulk drugs & formln,43.89,4.74,35.98,0.26,0.58,707.15,675.47,15.45,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,KEI,5120.0,0.4,4921.27,4720.1,5066.05,5200.93,0.86,43.04,53.28,65.78,industrials,cables - power,21.55,1.06,21.87,0.2,0.25,4699.17,4484.54,13.51,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,SAILIFE,1126.2,0.95,1079.96,1070.5,1068.9,1212.15,1.01,59.03,70.74,72.66,healthcare,pharmaceuticals - indian - bulk drugs & formln,26.84,5.36,30.62,0.19,0.18,1058.02,1020.09,13.22,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,USHAMART,477.65,1.02,458.3,446.75,462.3,500.67,0.86,24.62,31.22,65.12,metals & mining,steel - medium / small,21.43,3.32,5.99,-0.07,0.25,442.11,419.2,13.01,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,POLYCAB,9065.5,-0.19,8783.74,8154.0,8524.33,9877.25,0.46,43.43,50.82,74.75,industrials,cables - power,29.71,6.35,19.35,0.11,0.24,8542.49,8220.74,12.82,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,NAVA,730.4,0.46,701.19,670.05,701.68,773.48,0.82,23.29,23.26,73.42,miscellaneous,diversified - large,37.01,4.09,14.75,0.17,0.05,682.32,655.26,12.53,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,NAVINFLUOR,7071.5,0.43,6806.1,6765.0,6862.19,7385.47,0.57,42.61,54.25,71.54,chemicals,chemicals,27.95,3.05,54.68,0.09,0.37,6701.37,6472.26,12.22,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,ANURAS,1361.1,-0.8,1314.47,1326.8,1341.3,1390.8,1.71,78.95,88.38,62.17,chemicals,chemicals,21.91,1.48,25.08,0.16,0.16,1277.3,1220.34,12.13,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,DELHIVERY,479.15,0.01,458.98,447.95,464.97,500.42,1.22,226.01,234.88,63.27,transportation,miscellaneous,16.85,3.05,2.35,0.03,-0.02,450.62,434.53,11.9,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,NLCINDIA,329.7,0.46,316.83,313.95,322.44,340.59,1.19,15.79,16.58,74.38,power & utilities,power generation and supply,41.08,2.25,16.58,0.18,0.35,306.44,295.8,11.03,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,ADANIGREEN,1387.7,2.35,1297.91,1284.2,1348.34,1446.74,0.94,148.89,143.8,83.95,power & utilities,power generation and supply,45.49,2.92,30.83,0.21,0.39,1289.01,1225.29,10.74,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,NATCOPHARM,1206.0,2.66,1117.4,1113.6,1116.21,1340.68,1.01,35.64,13.87,76.17,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.2,8.04,48.68,0.38,0.32,1116.43,1058.26,9.73,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,JBCHEPHARM,2209.2,2.76,2069.47,2080.1,2068.65,2420.03,1.7,43.73,45.77,75.08,healthcare,pharmaceuticals - indian - bulk drugs & formln,27.47,6.79,33.38,0.2,0.24,2092.08,2019.94,9.42,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,LLOYDSME,1743.7,0.43,1678.54,1702.7,1804.51,1652.48,0.81,16.28,24.98,70.69,metals & mining,mining / minerals / metals,51.39,-3.37,33.02,0.22,0.21,1623.19,1562.71,9.41,2026-05-12,,,,,,,,,,,
2026-05-12T01:43:20.412,FORTIS,974.15,2.29,928.6,933.3,958.9,997.03,1.58,94.76,76.58,69.15,healthcare,healthcare,23.97,1.59,-6.43,-0.12,-0.01,924.82,894.62,9.15,2026-05-12,,,,,,,,,,,
