Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Low3,0d_high,W rsi,%ch_2low,Adr p - adr%,Change,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-07-01T02:01:49.566,GPTINFRA,133.38,22.6,-1.91,111.77,132.94,150.0,13.23,17.32,65.55,realty,construction,12.44,3.43,0.07,0.05,-0.01,0.0,5.84,115.6,9.47,-4.84,3.09,6.9,4.07,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,PGIL,2015.6,21.35,-0.8,1636.18,1850.82,2115.7,27.92,33.41,62.71,consumer discretionary,textiles - products,33.35,1.8,-0.02,0.32,-0.07,0.26,4.68,1665.6,6.56,-4.49,3.98,6.9,7.05,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,FLUOROCHEM,3964.0,3.97,-1.19,3542.66,4132.34,3990.0,99.9,75.84,64.96,chemicals,chemicals,15.73,3.52,0.0,0.0,-0.05,-0.04,4.64,3667.2,8.32,-3.03,3.16,5.8,4.57,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,VERANDA,238.98,3.9,-5.96,222.83,262.05,251.9,64.94,19.09,62.13,services,miscellaneous,44.01,3.4,0.19,0.07,0.19,0.04,5.22,230.41,8.8,-3.97,5.29,5.22,11.18,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,VIYASH,276.75,9.87,-0.34,248.96,258.74,278.9,57.66,70.24,58.36,healthcare,pharmaceuticals - indian - bulk drugs & formln,47.33,-0.63,0.11,0.32,0.06,0.27,2.61,247.4,1.96,-2.99,4.29,4.53,14.53,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,NEULANDLAB,18579.0,9.03,-1.21,16723.99,17716.01,18775.0,28.02,65.49,58.79,healthcare,pharmaceuticals - indian - bulk drugs,24.16,1.41,-0.02,0.14,-0.05,0.13,1.53,16960.0,2.97,0.17,2.97,3.99,5.43,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,SANGAMIND,544.25,6.32,-3.46,525.66,555.84,574.9,20.8,33.13,61.63,textiles,textiles - spinning - synthetic / blended,34.41,-0.53,0.13,0.2,0.06,0.17,3.41,522.9,2.87,-3.53,3.44,3.68,6.26,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,ASTERDM,784.45,4.5,-4.35,771.86,805.14,823.95,72.1,104.04,59.08,healthcare,healthcare,26.09,-0.62,0.2,0.22,0.13,0.18,2.79,767.1,2.16,-3.1,3.56,3.53,7.05,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,AMBIKCO,1759.8,9.47,-1.55,1606.61,1711.79,1816.3,10.27,14.08,59.31,textiles,textiles - cotton/blended,28.24,0.83,0.2,0.13,0.16,0.11,2.42,1620.0,3.27,0.48,3.54,2.99,6.81,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01T02:01:49.566,ADANIENT,3036.0,3.04,-2.32,2986.97,3039.83,3105.0,-443.86,38.69,68.1,services,trading,50.39,-1.64,0.24,0.16,0.18,0.14,2.57,2938.0,0.89,-2.47,2.63,2.91,14.73,2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
