Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-05-27T11:30:49.888,SIGMAADV,0.0,14.6,22.24,aerospace & defence,electronics - components,2052.24,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,OMAXAUTO,0.0,10.24,27.47,auto,auto ancillaries,242.45,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,MUFIN,0.3,6.11,7.61,financials,finance & investments,1334.57,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SBC,0.68,3.1,11.02,textiles,textiles - products,929.63,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,MAYURUNIQ,0.76,9.36,15.2,consumer discretionary,leather / leather products,1372.31,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SASKEN,0.88,18.41,25.12,i.t,computers - software - medium / small,1822.03,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,J&KBANK,1.03,3.8,6.71,bank,banks - private sector,6416.1,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SCHNEIDER,1.05,7.6,9.48,industrials,electric equipment,8385.98,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SPORTKING,1.09,16.12,22.35,textiles,textiles - spinning - synthetic / blended,603.99,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,DEEDEV,1.15,9.1,27.0,metals & mining,steel - medium / small,1170.63,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,USHAMART,1.16,10.67,12.84,metals & mining,steel - medium / small,9377.18,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,BLISSGVS,1.25,28.43,36.13,healthcare,pharmaceuticals - indian - formulations,2646.15,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,ANTELOPUS,1.37,18.91,18.91,energy,oil drilling / allied services,839.16,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,GVPIL,1.49,12.4,23.34,realty,engineering - turnkey services,1742.84,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,CENTUM,1.5,6.02,10.42,consumer discretionary,electronics - components,2563.86,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,HONASA,1.52,7.52,16.35,services,trading,8479.04,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,LINCOLN,1.53,7.83,9.98,healthcare,pharmaceuticals - indian - formulations,762.78,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,GHCLTEXTIL,1.54,14.83,14.83,textiles,textiles - spinning - synthetic / blended,786.07,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,ROSSTECH,1.69,17.78,19.68,aerospace & defence,engineering,1016.83,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,WALCHANNAG,1.71,18.46,24.02,industrials,engineering,1267.02,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,HIRECT,1.76,10.81,12.63,consumer discretionary,electronics - components,2024.5,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,RISHABH,1.96,9.35,10.92,industrials,electric equipment,651.37,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SOUTHWEST,2.01,11.26,13.8,metals & mining,mining / minerals / metals,248.76,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,E2E,2.36,14.33,22.29,i.t,computers - software - medium / small,4933.9,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,APOLLO,2.37,20.5,24.8,aerospace & defence,electronics - components,7265.91,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,AMBIKCO,2.57,12.9,15.67,textiles,textiles - cotton/blended,484.67,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,BAJAJCON,2.59,6.6,7.09,fmcg,personal care - indian,4215.95,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,SBCL,2.83,15.01,17.4,metals & mining,mining / minerals / metals,2942.69,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,EQUITASBNK,2.84,8.59,10.0,bank,banks - private sector,8270.28,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,STEELXIND,2.94,14.03,14.03,metals & mining,steel - medium / small,687.87,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,MARINE,3.0,8.51,11.72,industrials,electric equipment,1113.85,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,PAISALO,3.11,5.63,5.63,financials,finance & investments,2641.13,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,ANURAS,3.82,3.63,3.63,chemicals,chemicals,6341.15,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,VISHNU,3.85,4.45,5.92,chemicals,chemicals,1257.67,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,BBOX,3.9,14.49,14.49,i.t,computers - software - medium / small,5309.26,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,AVALON,4.08,19.43,19.43,consumer discretionary,electronics - components,5547.69,2026-05-27,,,,,,,,,,,,,,,,,,
2026-05-27T11:30:49.888,PASUPTAC,4.35,10.44,17.6,textiles,textiles - manmade,184.76,2026-05-27,,,,,,,,,,,,,,,,,,
