Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch7,Lch7,7d_high,Bollinger bandwidth,Column27,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Low3,0d_high,W rsi,%ch_2low,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-30T03:32:24.774,ALKYLAMINE,2047.9,3.04,-1.49,1900.12,2205.28,2115.0,3.4,27.67,45.21,60.03,chemicals,chemicals,27.1,-0.26,0.24,0.21,0.24,0.14,7.19,1915.0,8.03,-8.86,3.79,9.3,6.63,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,GARFIBRES,799.0,3.04,-2.55,759.81,845.39,827.0,1.03,30.45,37.67,49.82,textiles,textiles - products,24.44,-1.1,0.12,0.17,0.12,0.11,7.73,745.0,5.63,-9.82,4.4,7.73,7.47,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,KAMDHENU,36.17,4.09,-4.43,33.24,37.2,36.66,0.89,8.87,11.86,50.42,metals & mining,steel - medium / small,22.4,-2.58,0.51,0.34,0.51,0.28,4.67,33.65,5.96,-9.7,4.84,7.67,7.83,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,AEGISLOG,1289.4,1.42,-9.47,1282.17,1553.63,1449.0,0.53,23.36,36.17,57.8,services,trading,29.69,5.31,0.92,0.85,0.92,0.75,6.61,1330.0,10.59,-10.0,5.12,7.01,8.11,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,BEPL,123.52,4.51,-3.91,121.69,129.95,131.5,0.52,11.7,15.36,52.21,energy,petrochemicals,42.28,-2.6,0.38,0.35,0.38,0.32,2.1,123.23,3.39,-5.73,3.55,6.22,14.24,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,RPTECH,828.55,1.71,-19.75,868.75,885.05,891.9,0.15,13.29,17.12,52.43,i.t,trading,28.67,-4.77,1.23,1.61,1.23,1.55,2.42,856.2,0.94,-7.33,4.23,5.62,13.23,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,MBAPL,162.94,3.2,-5.44,165.83,173.21,174.94,0.76,10.83,9.22,62.39,chemicals,fertilizers,32.46,-3.78,0.7,1.01,0.7,0.94,4.04,162.93,2.22,-7.26,3.78,5.58,21.7,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,SAKAR,875.7,0.86,-4.67,889.7,935.5,928.0,0.55,47.39,54.06,48.16,healthcare,pharmaceuticals - indian - bulk drugs & formln,16.88,-3.17,0.82,1.35,0.82,1.28,3.69,880.15,2.57,-9.2,5.07,5.56,9.38,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,INDIAGLYCO,1178.3,6.32,-0.83,1059.77,1233.23,1219.0,2.65,20.39,23.86,50.75,fmcg,breweries & distilleries,27.3,2.98,0.12,0.04,0.12,0.0,3.76,1105.0,8.18,-7.33,4.27,4.68,7.49,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30T03:32:24.774,NYKAA,335.65,1.9,-1.8,324.97,343.03,340.35,0.81,299.69,377.13,52.06,i.t,trading,25.56,-1.82,0.15,0.27,0.15,0.26,1.83,328.0,2.78,-4.46,2.27,4.28,3.6,2026-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
