Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-04-02T01:12:09.445,SWANDEF,15591.02,16237.63,2888.03,-7.09,-0.12,3.93,703.27,2026-04-02
2026-04-02T01:12:09.445,CUPID,122.98,111.38,134.92,40.12,0.05,-0.11,0.99,2026-04-02
2026-04-02T01:12:09.445,PFOCUS,56.6,38.49,21.8,9.98,0.27,0.42,0.77,2026-04-02
2026-04-02T01:12:09.445,LUMAXTECH,38.28,51.96,36.61,30.73,-0.09,0.06,0.25,2026-04-02
2026-04-02T01:12:09.445,MTARTECH,35.79,43.43,11.35,2.62,-0.02,0.51,0.9,2026-04-02
2026-04-02T01:12:09.445,SILVERADD,33.14,39.79,37.48,13.37,-0.09,0.03,0.7,2026-04-02
2026-04-02T01:12:09.445,TATSILV,33.1,39.77,38.34,13.21,-0.08,0.02,0.71,2026-04-02
2026-04-02T01:12:09.445,SILVERIETF,33.07,39.88,37.38,13.29,-0.09,0.04,0.7,2026-04-02
2026-04-02T01:12:09.445,HDFCSILVER,32.99,39.51,38.0,13.28,-0.08,0.02,0.7,2026-04-02
2026-04-02T01:12:09.445,SILVER,32.99,39.89,37.32,13.3,-0.09,0.04,0.7,2026-04-02
2026-04-02T01:12:09.445,SILVERBEES,32.96,39.56,37.42,13.22,-0.09,0.03,0.7,2026-04-02
2026-04-02T01:12:09.445,SBISILVER,32.92,39.49,38.37,13.53,-0.08,0.02,0.69,2026-04-02
2026-04-02T01:12:09.445,AXISILVER,32.87,39.66,38.14,13.39,-0.09,0.02,0.7,2026-04-02
2026-04-02T01:12:09.445,SILVERBETA,32.86,39.35,37.22,13.38,-0.08,0.03,0.69,2026-04-02
2026-04-02T01:12:09.445,SBC,32.84,36.52,16.86,0.01,-0.06,0.07,0.39,2026-04-02
2026-04-02T01:12:09.445,SILVER1,32.76,39.82,38.2,13.23,-0.09,0.02,0.69,2026-04-02
2026-04-02T01:12:09.445,SILVERAG,32.69,39.65,37.15,13.32,-0.09,0.03,0.69,2026-04-02
2026-04-02T01:12:09.445,ESILVER,32.62,39.51,38.0,13.12,-0.09,0.02,0.7,2026-04-02
2026-04-02T01:12:09.445,SMLMAH,30.67,75.12,37.73,19.84,-0.21,0.04,0.21,2026-04-02
2026-04-02T01:12:09.445,GVT&D,30.45,39.66,13.1,19.94,-0.02,0.24,0.29,2026-04-02
2026-04-02T01:12:09.445,ROSSTECH,30.26,30.76,11.56,NaN,-0.02,0.13,-0.08,2026-04-02
2026-04-02T01:12:09.445,FORCEMOT,28.66,61.2,41.88,36.56,-0.19,0.09,0.17,2026-04-02
2026-04-02T01:12:09.445,MCX,27.86,27.77,18.74,9.04,0.0,0.13,0.54,2026-04-02
2026-04-02T01:12:09.445,NATIONALUM,27.83,23.39,10.7,2.23,0.11,0.33,0.94,2026-04-02
2026-04-02T01:12:09.445,JAYNECOIND,27.51,30.79,31.19,12.63,-0.04,-0.13,0.05,2026-04-02
2026-04-02T01:12:09.445,TFCILTD,27.34,31.32,25.16,29.5,-0.08,0.04,-0.1,2026-04-02
2026-04-02T01:12:09.445,BAJAJCON,26.95,35.45,7.97,0.27,-0.1,0.39,0.48,2026-04-02
2026-04-02T01:12:09.445,PRECWIRE,26.61,25.26,13.87,0.37,0.0,0.2,0.65,2026-04-02
2026-04-02T01:12:09.445,STLTECH,26.15,20.87,-2.01,-0.06,0.1,0.78,0.47,2026-04-02
2026-04-02T01:12:09.445,HINDCOPPER,25.48,40.4,20.97,1.12,-0.15,0.02,0.51,2026-04-02
2026-04-02T01:12:09.445,SAKAR,25.33,28.32,10.69,3.84,0.0,0.24,0.41,2026-04-02
2026-04-02T01:12:09.445,TDPOWERSYS,24.0,37.56,13.79,10.55,-0.02,0.24,0.5,2026-04-02
2026-04-02T01:12:09.445,GMDCLTD,23.92,26.37,21.7,17.6,0.01,-0.03,-0.04,2026-04-02
2026-04-02T01:12:09.445,BHAGYANGR,23.37,23.43,18.66,-1.22,0.0,-0.06,0.58,2026-04-02
2026-04-02T01:12:09.445,KMEW,22.67,23.42,19.19,NaN,-0.03,-0.12,0.25,2026-04-02
2026-04-02T01:12:09.445,MIRCELECTR,22.63,20.0,8.44,1.58,-0.02,-0.0,0.07,2026-04-02
2026-04-02T01:12:09.445,ACUTAAS,22.5,23.5,12.67,16.08,0.07,0.41,0.65,2026-04-02
2026-04-02T01:12:09.445,THANGAMAYL,21.88,30.37,16.95,-1.1,-0.09,0.11,0.72,2026-04-02
2026-04-02T01:12:09.445,LUMAXIND,21.82,39.46,31.16,19.48,-0.21,-0.11,0.01,2026-04-02
2026-04-02T01:12:09.445,NETWEB,21.17,34.08,6.99,9.61,-0.15,0.02,-0.13,2026-04-02
2026-04-02T01:12:09.445,SOUTHWEST,20.99,11.83,9.92,0.18,0.19,0.13,0.62,2026-04-02
2026-04-02T01:12:09.445,NGLFINE,20.82,30.25,-6.24,-7.53,-0.1,0.61,0.47,2026-04-02
2026-04-02T01:12:09.445,IMFA,20.48,23.77,18.46,16.81,-0.03,-0.15,0.06,2026-04-02
2026-04-02T01:12:09.445,BLISSGVS,20.09,15.38,2.05,2.61,0.06,0.4,0.55,2026-04-02
2026-04-02T01:12:09.445,PRIVISCL,19.47,19.82,19.98,14.77,-0.02,-0.06,0.21,2026-04-02
2026-04-02T01:12:09.445,KIRLOSENG,19.12,29.12,7.05,-4.88,-0.02,0.12,0.45,2026-04-02
2026-04-02T01:12:09.445,CCL,18.56,15.63,8.61,5.02,0.05,0.13,0.21,2026-04-02
2026-04-02T01:12:09.445,GODAVARIB,18.54,13.07,-0.06,NaN,0.11,0.13,0.18,2026-04-02
2026-04-02T01:12:09.445,BSE,17.41,10.7,11.24,11.35,0.02,0.09,0.4,2026-04-02
2026-04-02T01:12:09.445,SMSPHARMA,17.22,23.19,8.34,-4.48,0.01,0.27,0.45,2026-04-02
2026-04-02T01:12:09.445,SANSERA,16.99,22.39,4.41,-1.85,-0.06,0.25,0.43,2026-04-02
2026-04-02T01:12:09.445,SJS,16.86,25.81,13.56,10.6,-0.13,-0.09,0.09,2026-04-02
2026-04-02T01:12:09.445,ANANDRATHI,16.42,14.96,14.59,11.93,0.01,0.01,0.08,2026-04-02
2026-04-02T01:12:09.445,AXISGOLD,16.26,18.97,18.02,12.46,-0.05,0.1,0.31,2026-04-02
2026-04-02T01:12:09.445,DATAPATTNS,16.26,22.82,3.41,2.65,-0.04,0.17,0.13,2026-04-02
2026-04-02T01:12:09.445,QGOLDHALF,16.23,19.22,18.16,12.51,-0.05,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLDIETF,16.18,19.12,18.21,12.55,-0.06,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLDBEES,16.16,18.93,17.91,12.44,-0.05,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLDBETA,16.16,19.18,18.28,12.74,-0.06,0.09,0.3,2026-04-02
2026-04-02T01:12:09.445,GOLDADD,16.14,19.14,18.09,12.56,-0.06,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,EGOLD,16.09,18.72,18.05,12.32,-0.05,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,SETFGOLD,16.06,18.94,18.0,12.39,-0.05,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,HDFCGOLD,16.02,19.01,18.02,12.47,-0.06,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLD1,16.01,18.91,17.73,12.43,-0.06,0.1,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLDCASE,16.01,19.07,18.14,12.45,-0.06,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,MBAPL,15.98,14.37,20.08,21.64,0.06,0.19,0.21,2026-04-02
2026-04-02T01:12:09.445,CENTUM,15.95,21.73,3.97,13.22,0.07,0.22,0.04,2026-04-02
2026-04-02T01:12:09.445,BSLGOLDETF,15.9,19.17,18.25,12.66,-0.06,0.08,0.3,2026-04-02
2026-04-02T01:12:09.445,TATAGOLD,15.87,18.94,18.07,12.56,-0.06,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,GOLDETF,15.7,19.15,17.94,12.61,-0.06,0.08,0.3,2026-04-02
2026-04-02T01:12:09.445,GROWWGOLD,15.67,18.81,17.82,NaN,-0.05,0.09,0.31,2026-04-02
2026-04-02T01:12:09.445,RBLBANK,15.61,23.12,22.46,9.5,-0.08,-0.01,0.1,2026-04-02
2026-04-02T01:12:09.445,LAURUSLABS,15.57,23.37,21.69,21.14,-0.05,-0.04,0.16,2026-04-02
2026-04-02T01:12:09.445,KARURVYSYA,15.46,21.29,10.24,4.77,-0.13,0.15,0.39,2026-04-02
2026-04-02T01:12:09.445,APEX,15.14,22.83,3.31,-2.05,-0.1,0.4,0.67,2026-04-02
2026-04-02T01:12:09.445,SYRMA,15.0,20.08,5.64,19.98,-0.04,0.12,-0.05,2026-04-02
2026-04-02T01:12:09.445,GMBREW,14.74,12.08,13.17,-4.88,0.04,-0.11,0.47,2026-04-02
2026-04-02T01:12:09.445,GRMOVER,14.68,27.16,36.41,11.81,-0.04,-0.09,0.25,2026-04-02
2026-04-02T01:12:09.445,RICOAUTO,14.59,19.36,16.08,-2.33,-0.17,-0.19,0.12,2026-04-02
2026-04-02T01:12:09.445,CHENNPETRO,14.35,18.36,8.29,-1.83,0.11,0.25,0.35,2026-04-02
2026-04-01T23:06:34.274,SWANDEF,15591.02,16237.63,2888.03,-7.09,-0.12,3.93,703.27,2026-04-01
2026-04-01T23:06:34.274,CUPID,122.98,111.38,134.92,40.12,0.05,-0.11,0.99,2026-04-01
2026-04-01T23:06:34.274,PFOCUS,56.6,38.49,21.8,9.98,0.27,0.42,0.77,2026-04-01
2026-04-01T23:06:34.274,LUMAXTECH,38.28,51.96,36.61,30.73,-0.09,0.06,0.25,2026-04-01
2026-04-01T23:06:34.274,MTARTECH,35.79,43.43,11.35,2.62,-0.02,0.51,0.9,2026-04-01
2026-04-01T23:06:34.274,SILVERADD,33.14,39.79,37.48,13.37,-0.09,0.03,0.7,2026-04-01
2026-04-01T23:06:34.274,TATSILV,33.1,39.77,38.34,13.21,-0.08,0.02,0.71,2026-04-01
2026-04-01T23:06:34.274,SILVERIETF,33.07,39.88,37.38,13.29,-0.09,0.04,0.7,2026-04-01
2026-04-01T23:06:34.274,HDFCSILVER,32.99,39.51,38.0,13.28,-0.08,0.02,0.7,2026-04-01
2026-04-01T23:06:34.274,SILVER,32.99,39.89,37.32,13.3,-0.09,0.04,0.7,2026-04-01
2026-04-01T23:06:34.274,SILVERBEES,32.96,39.56,37.42,13.22,-0.09,0.03,0.7,2026-04-01
2026-04-01T23:06:34.274,SBISILVER,32.92,39.49,38.37,13.53,-0.08,0.02,0.69,2026-04-01
2026-04-01T23:06:34.274,AXISILVER,32.87,39.66,38.14,13.39,-0.09,0.02,0.7,2026-04-01
2026-04-01T23:06:34.274,SILVERBETA,32.86,39.35,37.22,13.38,-0.08,0.03,0.69,2026-04-01
2026-04-01T23:06:34.274,SBC,32.84,36.52,16.86,0.01,-0.06,0.07,0.39,2026-04-01
2026-04-01T23:06:34.274,SILVER1,32.76,39.82,38.2,13.23,-0.09,0.02,0.69,2026-04-01
