Timestamp,Symbol,Cmp,%ch,Low3,Initial_atr1.5sl,Sl,Target,0d_high,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,%ch sl,%ch_3low,Atr%,%ch_2low,Adr p - adr%,Scan_Date,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-23T10:18:54.963,JTLIND,79.52,6.58,71.21,74.9,74.15,90.26,80.45,2.27,22.09,25.73,58.98,57.0,metals & mining,steel - medium / small,13.88,-2.23,0.13,0.23,0.05,0.16,7.25,11.67,3.86,9.4,3.67,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,IOLCP,169.52,3.52,155.06,156.27,158.81,190.94,175.7,1.46,19.35,29.64,61.28,72.37,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.72,0.61,1.1,0.94,1.02,0.88,6.74,9.33,5.27,7.05,5.11,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,BALAJITELE,97.8,6.92,89.46,91.06,89.21,114.98,100.2,4.17,13.29,-55.25,73.98,53.53,media,entertainment / electronic media software,37.49,3.23,-0.05,-0.16,-0.07,-0.22,9.63,9.32,5.47,9.32,5.14,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,KSL,881.15,2.86,816.0,829.66,815.62,1012.22,914.9,2.89,14.09,14.55,53.53,57.22,metals & mining,steel - medium / small,14.37,4.11,0.09,0.12,0.03,0.09,8.04,7.98,4.45,3.79,3.76,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,SIGMA,48.65,4.04,45.11,44.41,46.99,51.97,51.0,1.19,9.97,3.3,63.28,56.57,i.t,computers - software - medium / small,38.51,-1.83,0.11,-0.1,-0.0,-0.13,3.54,7.85,6.05,4.42,7.65,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,PCJEWELLER,10.22,6.35,9.55,9.62,9.5,11.66,10.29,1.34,11.11,10.32,61.32,55.02,consumer discretionary,diamond cutting / jewellery,22.46,1.07,-0.07,-0.11,-0.15,-0.16,7.55,7.02,3.64,7.02,3.4,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,BAJEL,191.78,6.2,179.41,181.03,184.62,206.09,192.7,3.42,116.94,100.94,56.91,54.69,realty,engineering - turnkey services,19.33,-3.08,0.07,0.08,-0.0,0.01,3.88,6.89,3.87,6.89,3.68,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,DHANBANK,33.73,3.82,31.89,31.93,31.36,38.48,34.25,1.47,13.38,11.51,56.81,60.04,bank,banks - private sector,21.86,2.76,0.3,0.28,0.24,0.23,7.57,5.77,2.91,4.75,3.56,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,CLSEL,288.35,3.56,276.9,273.58,276.27,312.51,294.8,0.56,11.19,11.45,56.11,53.98,fmcg,food - processing - indian,12.12,0.01,-0.02,0.05,-0.08,0.02,4.37,4.14,3.34,3.98,3.51,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,ENGINERSIN,244.91,3.25,235.34,233.01,239.09,256.55,246.49,0.92,21.79,17.56,57.21,57.4,realty,engineering - turnkey services,25.05,-0.92,0.04,0.17,0.01,0.13,2.43,4.07,3.42,4.07,3.24,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,BHAGYANGR,394.5,2.73,379.6,363.66,367.35,448.81,401.9,1.08,15.58,20.09,53.96,67.76,power & utilities,power generation and supply,11.25,3.63,1.24,1.88,1.27,1.81,7.39,3.93,5.18,3.93,5.37,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,JAGSNPHARM,236.54,1.52,229.32,223.05,227.75,254.12,238.9,0.15,29.57,34.79,56.97,63.7,healthcare,pharmaceuticals - indian - bulk drugs & formln,32.76,0.85,0.26,0.1,0.22,0.08,3.86,3.15,3.34,3.05,4.26,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,SHRINGARMS,230.52,2.92,223.5,220.66,225.32,240.92,233.5,1.35,16.33,17.49,57.57,56.99,consumer discretionary,diamond cutting / jewellery,20.28,-1.09,-0.16,0.02,-0.22,-0.01,2.31,3.14,2.91,3.14,2.84,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-23T10:18:54.963,HOMEFIRST,1193.7,0.53,1174.6,1145.72,1151.93,1277.24,1227.9,1.1,19.49,21.34,53.08,55.25,financials,finance - housing,12.29,2.51,-0.05,0.05,-0.08,0.05,3.63,1.63,2.22,1.34,2.51,2026-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22T23:28:27.473,JTLIND,79.52,6.58,71.21,74.9,74.15,90.26,80.45,2.27,22.09,25.73,58.98,57.0,metals & mining,steel - medium / small,13.88,-2.23,0.13,0.23,0.05,0.16,7.25,11.67,3.86,9.4,3.67,2026-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22T23:28:27.473,IOLCP,169.52,3.52,155.06,156.27,158.81,190.94,175.7,1.46,19.35,29.64,61.28,72.37,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.72,0.61,1.1,0.94,1.02,0.88,6.74,9.33,5.27,7.05,5.11,2026-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22T23:28:27.473,BALAJITELE,97.8,6.92,89.46,91.06,89.21,114.98,100.2,4.17,13.29,-55.25,73.98,53.53,media,entertainment / electronic media software,37.49,3.23,-0.05,-0.16,-0.07,-0.22,9.63,9.32,5.47,9.32,5.14,2026-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-22T23:28:27.473,KSL,881.15,2.86,816.0,829.66,815.62,1012.22,914.9,2.89,14.09,14.55,53.53,57.22,metals & mining,steel - medium / small,14.37,4.11,0.09,0.12,0.03,0.09,8.04,7.98,4.45,3.79,3.76,2026-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
