Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-05-25T17:45:52.386,SIGMAADV,0.0,10.88,24.3,aerospace & defence,electronics - components,1861.53,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,PARACABLES,0.0,18.65,22.58,industrials,cables - power,1013.56,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,DEEDEV,0.0,21.83,27.91,metals & mining,steel - medium / small,1136.03,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,RUBYMILLS,0.0,20.28,22.82,textiles,textiles - composite,229.2,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,GVPIL,0.0,13.17,22.3,realty,engineering - turnkey services,1623.27,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,SIGNPOST,0.16,13.79,17.21,miscellaneous,miscellaneous,655.41,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,ATALREAL,0.37,7.89,7.89,realty,construction,259.55,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,SCHNEIDER,0.6,6.02,16.84,industrials,electric equipment,8157.63,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,NRBBEARING,0.61,8.66,10.28,industrials,bearings,1826.4,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,SJS,0.82,4.27,8.55,auto,plastics products,5089.45,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,RAMRAT,1.0,10.51,13.81,metals & mining,mining / minerals / metals,1348.31,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,UFBL,1.01,25.29,72.2,consumer discretionary,hotels,1285.59,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,SPORTKING,1.18,9.58,23.0,textiles,textiles - spinning - synthetic / blended,540.49,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,KIRLPNU,1.2,5.66,10.45,industrials,compressors / drilling equipment,6597.05,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,AVALON,1.53,6.9,19.28,consumer discretionary,electronics - components,5607.8,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,DSSL,1.54,28.32,38.27,i.t,computers - software - medium / small,944.03,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,GRWRHITECH,1.95,8.33,8.33,industrials,packaging,5099.75,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,FCL,2.01,29.99,30.38,chemicals,chemicals,1713.46,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,ORIENTBELL,2.02,13.31,13.31,building materials,ceramics - tiles / sanitaryware,178.83,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,MUFIN,2.3,4.43,7.14,financials,finance & investments,1289.04,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,BBOX,2.33,7.12,8.01,i.t,computers - software - medium / small,5198.75,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,MAYURUNIQ,2.38,14.31,26.77,consumer discretionary,leather / leather products,1339.62,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,RISHABH,2.4,10.41,20.97,industrials,electric equipment,645.5,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,MSPL,2.52,6.67,11.08,metals & mining,steel - medium / small,1453.34,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25T17:45:52.386,STYLAMIND,2.57,8.42,8.42,building materials,miscellaneous,2219.72,2026-05-25,,,,,,,,,,,,,,,,,,,,,,,,,
