Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,%ch7,Lch7,7d_high,Rsi,Adx,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,R_vol,Column26,Low3,0d_high,W rsi,%ch_2low,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-07-16T01:26:45.556,MRPL,162.3,156.15,157.47,0.33,147.78,147.71,177.0,58.76,14.33,energy,refineries,7.27,0.03,-0.01,0.03,-0.01,3.94,3.94,3.94,4.26,0.85,3.25,6.71,3.72,3.72,0.49,74.39,27598.17,-1.4,-4.05,0.5,19.69,200091162,1752598777,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,M&MFIN,332.6,322.6,324.95,-0.05,308.04,332.39,310.07,12.04,15.62,financials,finance & investments,-2.37,-0.15,0.05,-0.15,0.05,3.53,3.53,3.1,3.48,1.15,14.41,11.31,3.51,3.51,1.27,30.11,45167.11,0.08,-0.6,1.33,20.79,660388561,1389971160,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,LTF,320.7,311.0,312.4,-0.92,296.32,324.33,288.55,21.69,24.58,financials,finance & investments,-4.13,-0.03,0.13,-0.04,0.14,3.65,3.65,3.12,3.82,0.97,21.3,11.94,3.29,3.29,1.78,55.58,78272.01,1.54,1.2,1.91,11.72,852976074,2505506199,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,NAZARA,315.0,303.0,310.1,2.02,295.5,301.45,327.41,61.04,36.7,i.t,telecommunications - service provider,0.58,0.08,0.12,0.02,0.1,4.05,4.05,3.96,3.11,2.43,21.61,9.64,3.06,3.06,2.24,149.68,11488.12,2.02,1.66,2.41,73.65,239108224,370465024,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,IIFL,546.95,537.6,543.6,0.39,514.85,523.18,584.44,9.85,13.91,financials,finance & investments,4.33,-0.22,0.02,-0.24,0.02,1.74,1.74,1.74,3.34,1.12,45.28,18.18,3.54,3.54,2.49,44.11,23118.74,2.64,2.2,2.72,33.0,319614908,425289575,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,ZENTEC,1843.0,1806.0,1823.1,1.13,1711.52,1774.58,1920.14,129.85,84.72,aerospace & defence,miscellaneous,0.21,0.33,0.31,0.28,0.3,3.08,3.08,2.05,3.75,1.96,91.02,68.36,4.14,4.14,1.33,26.88,16460.83,2.66,2.2,1.4,25.01,46486527,90290356,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,OBEROIRLTY,1937.2,1885.0,1887.7,-1.5,1804.47,1909.72,1843.66,24.4,27.18,realty,construction,0.98,0.05,0.07,0.04,0.09,2.77,2.77,2.77,3.2,0.31,171.55,60.42,3.04,3.04,2.84,53.55,68637.19,2.75,1.4,3.12,4.47,117427291,363602237,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,ANANDRATHI,2109.0,2071.0,2081.8,0.05,1992.07,2102.46,2040.48,53.0,44.89,financials,finance & investments,-0.04,0.23,0.26,0.21,0.27,1.83,1.83,1.83,3.06,0.52,219.64,63.67,3.48,3.48,3.45,32.06,34566.47,3.59,2.47,3.86,16.96,97346110,166041268,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,JSWINFRA,345.5,336.05,337.35,-2.85,320.45,333.87,344.31,41.96,46.09,transportation,miscellaneous,3.2,0.18,0.11,0.18,0.14,2.81,2.81,2.81,3.61,1.7,42.1,12.16,3.57,3.57,3.46,39.39,78602.6,4.61,3.95,3.95,10.69,607333491,2330001567,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16T01:26:45.556,SANSERA,3331.0,3228.9,3254.8,0.5,3080.27,3209.71,3344.98,41.71,62.39,auto,auto ancillaries,0.42,0.63,1.14,0.63,1.13,4.32,4.32,3.16,3.65,1.93,368.65,118.92,3.68,3.68,3.1,40.98,20311.11,4.7,4.34,3.5,21.78,44176328,62403568,2026-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,
