Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%
2026-05-29T04:58:00.557,JNKINDIA,381.9,10.45,0.19,352.54,393.76,412.15,3.09,16.35,32.72,50.39,realty,engineering - turnkey services,32.69,-13.98,0.19,0.24,0.19,0.18,9.43,341.0,5.85,-13.47,6.51,19.6,29.17,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,GPIL,281.8,0.83,-8.14,285.76,325.94,320.0,15.12,15.45,21.61,44.3,metals & mining,steel - medium / small,21.03,-5.55,0.06,0.23,0.06,0.17,4.92,291.5,7.03,-6.43,4.16,12.12,6.7,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,CENTUM,3241.5,10.87,0.4,2879.96,3116.44,3324.0,0.58,241.9,-102.87,50.67,consumer discretionary,electronics - components,13.61,-6.48,0.1,0.05,0.1,0.02,4.38,2872.3,4.11,-10.92,6.25,11.79,7.27,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,ELGIEQUIP,577.9,4.2,-1.42,529.23,601.27,589.0,2.75,48.0,45.15,50.46,industrials,compressors / drilling equipment,20.57,-5.04,0.03,0.1,0.03,0.06,6.84,529.05,6.81,-8.32,3.71,11.27,10.55,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,GVT&D,5097.7,10.77,0.44,4413.98,4944.82,5183.5,3.74,92.75,105.83,55.61,industrials,electric equipment,36.74,-4.9,0.44,0.64,0.44,0.54,6.01,4414.3,6.01,-8.89,4.84,10.06,14.59,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,PAISALO,49.36,4.32,-1.44,47.54,51.1,51.45,1.39,15.43,18.84,56.47,financials,finance & investments,41.55,-5.95,0.33,0.54,0.33,0.48,5.5,46.75,3.75,-9.33,4.46,8.97,21.5,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,MMP,279.27,3.21,-5.13,280.74,294.8,297.0,0.69,9.86,22.87,56.6,metals & mining,aluminium and aluminium products,29.59,-5.28,0.01,0.01,0.01,-0.03,5.8,272.0,2.5,-10.56,5.26,8.51,20.12,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,ASTRAMICRO,1397.4,24.08,-0.36,1104.95,1203.25,1432.0,1.61,31.3,68.77,50.56,aerospace & defence,telecommunications - equipment,12.47,-3.89,0.07,0.08,0.07,0.02,7.85,1070.1,4.45,-9.53,3.9,7.85,13.72,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,SBC,39.89,13.23,0.56,33.77,37.15,40.15,1.51,41.55,63.32,55.39,textiles,textiles - products,17.15,-2.37,0.28,0.73,0.28,0.66,3.47,34.27,5.01,-5.68,2.65,7.45,7.51,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29T04:58:00.557,SANDHAR,710.3,38.38,0.31,508.76,551.94,733.9,1.12,16.75,21.52,54.22,auto,auto ancillaries,15.85,-2.57,-0.12,0.13,-0.12,0.1,6.06,500.05,4.24,-8.84,4.33,7.14,8.71,2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
