Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Low3,0d_high,W rsi,%ch_2low,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-15T15:25:24.106,IOLCP,165.58,9.41,-5.15,144.31,182.51,178.79,18.9,28.95,62.35,healthcare,pharmaceuticals - indian - bulk drugs & formln,25.96,7.06,1.01,0.71,0.95,0.61,5.77,154.5,13.24,-5.31,4.55,11.56,16.6,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,FIEMIND,2350.4,7.08,-7.47,2327.7,2668.3,2674.8,23.84,23.53,69.49,auto,auto ancillaries,25.79,0.37,0.05,0.04,-0.01,-0.03,6.92,2336.4,7.32,-4.66,3.08,8.32,5.23,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,KIRLOSBROS,1905.5,0.39,-5.63,1808.23,2161.57,1993.0,56.78,40.53,64.33,industrials,pumps,14.4,4.42,0.14,0.1,0.13,0.05,5.13,1888.1,9.77,-4.55,3.78,7.98,6.78,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,RAYMOND,635.45,2.54,-4.19,579.07,679.74,645.4,50.43,114.08,62.22,transportation,transport - airlines,23.64,4.31,0.41,0.2,0.43,0.15,4.2,604.05,8.69,-3.51,3.5,7.76,4.88,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,PNBHOUSING,1150.5,4.74,-0.19,1051.07,1192.13,1174.8,13.45,12.95,61.36,financials,finance - housing,16.98,1.82,0.26,0.19,0.23,0.15,4.8,1070.2,6.71,-2.66,3.6,6.85,6.05,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,CENTUM,3538.5,4.73,-7.31,3487.47,4091.53,3968.8,12.38,98.26,60.13,aerospace & defence,electronics - components,17.83,5.31,0.48,0.44,0.45,0.41,3.18,3672.6,8.66,-3.33,3.91,5.93,4.93,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,ASAHIINDIA,939.2,2.19,-5.14,871.13,982.27,947.0,40.14,54.7,62.27,building materials,glass & glass products,15.89,3.06,-0.14,-0.09,-0.17,-0.12,3.22,897.8,6.38,-3.11,2.43,5.91,5.0,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,BLUSPRING,111.07,7.31,-7.57,107.01,125.47,124.74,-925.58,-150.09,58.02,miscellaneous,diversified - large,27.06,4.37,0.77,0.51,0.72,0.45,4.07,111.69,8.62,0.74,5.87,5.46,7.91,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,OFSS,11828.0,1.78,-3.75,11096.75,12421.25,11968.0,18.19,30.16,63.06,i.t,computers - software - large,23.25,3.89,0.38,0.36,0.37,0.35,2.0,11528.0,5.97,-2.75,3.54,5.37,11.15,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T15:25:24.106,NEULANDLAB,23320.0,18.51,5.23,18798.34,21113.66,23650.0,50.65,60.11,62.71,healthcare,pharmaceuticals - indian - bulk drugs,23.3,3.37,0.38,0.13,0.34,0.09,2.7,19431.0,6.16,-2.87,3.37,5.0,6.96,2026-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
