Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-08-17T13:32:08.13,KRN,0.0,10.25,25.0,industrials,engineering,3462.43,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,MANORAMA,0.08,20.62,21.73,fmcg,food - processing - indian,5275.99,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,SENORES,0.14,4.41,8.8,healthcare,pharmaceuticals - indian - formulations,3825.08,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,AVTNPL,0.35,27.4,27.58,fmcg,solvent extraction,337.46,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,MAWANASUG,0.48,10.68,12.95,fmcg,sugar,176.18,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,AVADHSUGAR,0.55,16.41,16.83,fmcg,sugar,569.32,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,TFCILTD,0.58,10.63,11.32,financials,finance - term-lending institutions,5618.97,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,ROSSTECH,0.79,10.79,10.79,aerospace & defence,engineering,1078.05,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,DALMIASUG,0.82,12.33,15.55,fmcg,sugar,926.32,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,AVALON,1.05,8.62,9.65,consumer discretionary,electronics - components,7635.12,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,SETL,1.05,7.24,11.18,industrials,engineering,2444.62,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,ROLEXRINGS,1.06,5.19,16.74,auto,auto ancillaries,2339.51,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,MOREPENLAB,1.1,21.69,23.32,healthcare,pharmaceuticals - indian - bulk drugs & formln,3120.35,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,SREEL,1.16,8.03,16.4,consumer discretionary,trading,147.61,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,NETWEB,1.17,8.42,10.86,i.t,computers - hardware,9789.65,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,HAPPYFORGE,1.29,11.09,16.33,industrials,castings & forgings,4429.35,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,NRBBEARING,1.34,5.06,8.48,industrials,bearings,2552.95,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,TI,1.34,9.41,16.34,fmcg,breweries & distilleries,9737.63,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17T13:32:08.13,DIACABS,1.37,6.28,8.35,industrials,cables - power,3147.29,2026-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
