Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%,From52wh,3d range,5d
2026-07-21T02:50:23.688,SAREGAMA,514.15,4.02,-3.38,474.07,522.93,518.55,0.19,33.3,48.01,55.51,media,entertainment / electronic media software,44.27,-5.55,0.25,0.05,0.25,0.01,6.03,470.15,5.15,-9.15,4.37,10.78,10.91,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,VSSL,308.8,5.34,-2.51,270.2,320.2,310.95,13.78,21.93,23.68,43.11,metals & mining,steel - medium / small,16.03,-1.24,-0.01,-0.05,-0.01,-0.11,6.57,277.0,9.25,-7.41,3.42,9.88,4.85,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,RRKABEL,2332.9,1.69,-5.41,2298.83,2450.77,2415.0,0.99,39.27,53.59,47.59,industrials,cables - power,30.08,-7.01,0.44,0.84,0.44,0.73,9.19,2175.0,3.3,-10.63,4.43,9.19,12.86,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,TATATECH,748.7,1.87,-3.78,689.49,832.11,775.0,1.22,42.06,54.57,48.74,i.t,computers - software - medium / small,21.96,0.41,0.06,0.07,0.06,0.01,7.31,709.0,10.34,-9.31,4.14,9.16,7.73,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,TFCILTD,82.74,7.04,-2.85,76.19,85.43,86.5,3.17,29.98,30.99,46.71,financials,finance - term-lending institutions,16.12,-2.55,0.11,0.09,0.11,0.02,8.31,74.61,6.06,-10.03,4.65,8.47,5.71,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,SPORTKING,197.55,9.02,0.19,174.58,210.48,209.9,2.48,19.37,21.04,56.76,textiles,textiles - spinning - synthetic / blended,29.22,2.4,1.09,0.82,1.09,0.73,7.36,179.33,10.28,-10.44,5.3,8.22,6.08,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,KERNEX,2120.1,0.7,-9.96,2206.06,2260.74,2249.0,0.44,13.03,40.29,55.7,consumer discretionary,electronics - components,35.62,-7.0,0.65,0.79,0.65,0.73,5.29,2121.2,1.24,-11.1,5.96,8.19,23.12,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,ANTELOPUS,861.8,5.0,-5.54,775.92,919.28,889.95,1.28,19.89,33.81,49.45,energy,oil drilling / allied services,17.14,2.83,1.07,0.59,1.07,0.54,4.0,815.0,9.24,-9.32,4.88,7.14,10.21,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,KIRLFER,480.3,2.63,-3.53,463.32,481.78,485.0,0.37,15.74,21.84,49.9,metals & mining,steel - large,23.27,-4.66,-0.12,0.03,-0.12,0.03,2.0,463.3,1.99,-6.5,3.71,6.3,10.24,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21T02:50:23.688,PRUDENT,2830.8,0.5,-8.08,2984.12,3155.28,3084.9,0.97,49.56,52.78,53.65,financials,finance & investments,20.35,-3.8,0.09,0.09,0.09,0.06,3.98,2952.1,2.87,-6.88,3.16,6.18,10.79,2026-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
