Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low3,0d_high,R_vol,Rsi,W rsi,Adx,%ch_2low,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score,Low,Max2
2026-06-13T03:44:10.302,CHOLAFIN,1577.6,1485.0,1568.1,7.78,1486.66,1438.02,1828.26,20.28,25.32,financials,finance & investments,0.2,-0.17,-0.07,-0.23,-0.14,8.85,8.85,6.24,3.68,8.2,31.65,57.68,3.18,3.18,0.55,167.28,133607.95,-0.08,-1.59,0.56,144.06,432397124,852037169,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,IIFL,521.65,500.0,518.9,5.66,487.65,493.56,569.58,9.4,13.28,financials,finance & investments,-0.75,-0.15,0.14,-0.21,0.08,7.51,7.51,4.33,4.2,6.95,55.13,21.77,3.96,3.96,2.53,63.91,22068.28,1.58,-0.07,2.83,86.8,319614908,425289575,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,GMRAIRPORT,103.9,101.1,103.65,3.55,98.84,98.98,113.0,89.35,609.71,miscellaneous,miscellaneous,1.22,-0.03,0.13,-0.09,0.09,4.84,4.84,2.77,3.16,4.59,6.82,3.28,3.02,3.02,2.08,100.45,109443.79,2.07,0.95,2.23,77.81,3555596046,10558975952,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,CHENNPETRO,1158.8,1115.2,1137.7,-0.21,1062.41,1148.08,1116.93,2.98,5.46,energy,refineries,1.41,0.11,0.46,0.13,0.47,3.91,3.91,3.91,4.67,2.02,81.82,53.18,4.08,4.08,1.54,49.46,16941.65,2.19,2.17,1.66,42.31,48713300,148911400,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,NAVINFLUOR,7330.0,7166.0,7303.0,2.04,6972.71,6958.15,7992.7,44.0,56.02,chemicals,chemicals,0.1,0.13,0.52,0.15,0.5,4.9,4.9,2.29,3.06,7.56,574.02,223.12,3.15,3.15,2.57,60.23,37426.83,3.68,3.4,2.79,61.4,37356850,51248574,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,RBLBANK,368.45,353.55,365.85,1.88,348.86,348.67,400.21,23.1,25.51,bank,banks - private sector,2.58,0.12,0.31,0.08,0.29,4.44,4.44,4.21,3.23,3.7,34.82,11.81,3.11,3.11,2.95,143.85,22613.61,3.88,2.98,3.26,104.14,618111404,618111404,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,ZENTEC,1817.0,1737.3,1793.8,4.59,1677.83,1716.58,1948.24,127.76,83.36,aerospace & defence,miscellaneous,1.19,0.21,0.13,0.17,0.08,6.46,6.46,4.59,4.61,5.1,183.73,82.77,4.42,4.42,2.22,93.52,16196.28,4.28,3.56,2.47,68.27,46486527,90290356,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,MOTHERSON,145.44,141.25,143.4,1.89,136.01,143.54,143.13,25.25,36.77,auto,auto ancillaries,-2.72,0.14,0.28,0.1,0.26,4.43,4.43,2.97,3.34,2.97,14.67,4.79,3.7,3.7,3.07,51.07,151350.71,4.38,3.32,3.42,44.92,5425228487,10554442601,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,ITDC,598.9,578.05,585.1,1.07,539.37,564.1,627.1,44.33,60.88,services,hotels,2.52,-0.03,-0.07,-0.04,-0.08,5.8,5.8,3.61,5.98,3.37,24.2,34.97,4.52,4.52,0.69,12.81,5018.37,4.51,1.79,0.72,20.16,11127719,85769400,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,BANDHANBNK,206.17,194.4,204.6,5.52,194.26,201.1,211.59,15.41,26.92,bank,banks - private sector,-4.04,0.33,0.25,0.26,0.18,6.54,6.54,6.05,3.6,5.73,16.74,7.36,3.15,3.15,2.27,78.77,32960.49,4.54,2.96,2.48,138.5,982948469,1610972314,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,DATAPATTNS,4569.0,4253.5,4545.7,8.1,4189.92,4081.76,5473.59,45.99,93.78,aerospace & defence,electronics - components,4.67,0.65,0.61,0.47,0.49,9.7,9.7,7.42,6.0,9.14,681.83,272.57,6.03,6.03,2.5,198.45,25448.63,4.77,3.72,2.94,107.2,32241586,55983969,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,TITAGARH,861.1,831.1,858.65,4.37,810.28,828.9,918.14,54.07,68.26,industrials,engineering,-0.75,0.05,-0.08,-0.03,-0.11,5.77,5.77,3.61,3.75,5.47,88.6,32.2,3.91,3.91,2.75,49.3,11563.76,5.41,3.73,3.07,85.57,80186907,134673768,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,NETWEB,4610.0,4315.0,4587.4,9.45,4202.52,4417.36,4927.48,92.26,126.37,i.t,computers - hardware,-7.81,0.38,0.3,0.23,0.19,13.83,13.83,6.84,6.42,13.27,630.1,294.62,6.02,6.02,2.14,226.19,26120.97,5.92,5.26,2.48,92.46,18799145,56940687,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,ENRIN,3650.0,3431.2,3606.9,5.7,3375.68,3619.51,3581.68,85.72,98.04,power & utilities,power generation and supply,-7.69,0.11,-0.01,0.03,-0.06,8.19,8.19,6.38,4.62,6.91,388.35,166.7,4.97,4.97,2.33,107.07,128449.1,5.97,5.16,2.61,105.4,89030592,356120505,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,AZAD,2178.5,2106.5,2150.1,2.11,1999.03,2065.9,2318.51,96.5,104.78,aerospace & defence,engineering,2.45,0.24,0.29,0.18,0.26,4.61,4.61,3.42,4.67,3.25,150.12,100.37,5.2,5.2,1.5,96.27,13885.72,6.6,6.34,1.61,43.44,28517503,64581743,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,CGPOWER,919.0,897.5,914.45,1.45,871.66,913.26,916.83,98.54,118.61,industrials,electric equipment,-1.09,0.27,0.15,0.23,0.13,2.4,2.4,2.4,3.11,1.89,88.52,28.42,3.21,3.21,3.12,73.58,144018.67,7.0,6.41,3.45,59.65,687256288,1574921249,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,OLAELEC,47.49,45.25,45.74,0.44,41.94,43.94,49.34,-10.12,-11.02,auto,automobiles - motorcycles / mopeds,3.26,0.23,-0.22,0.2,-0.23,9.37,9.37,4.95,6.36,5.34,8.4,2.91,6.16,6.16,2.89,98.93,20175.14,7.46,6.9,3.54,16.84,2884957988,4410829885,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,HSCL,693.5,667.7,680.5,0.07,630.11,638.2,765.09,42.74,45.13,chemicals,chemicals,9.25,0.35,0.41,0.36,0.41,3.86,3.86,3.86,5.36,2.64,109.3,36.48,5.81,5.81,3.0,148.71,34334.06,7.59,6.94,3.57,35.08,239682297,504541599,2026-06-13,,,,,,,,,,,,,,,,
2026-06-13T03:44:10.302,WOCKPHARMA,1976.0,1918.5,1938.0,0.74,1770.15,1957.5,1898.99,47.36,147.71,healthcare,pharmaceuticals - indian - bulk drugs & formln,-5.52,0.34,0.26,0.33,0.25,7.68,7.68,3.0,6.44,6.48,355.42,124.73,6.22,6.22,2.85,47.74,31490.98,8.42,7.05,3.49,15.63,82733321,162492169,2026-06-13,,,,,,,,,,,,,,,,
2026-06-12T23:59:57.666,CHOLAFIN,1577.6,1485.0,1568.1,7.78,1486.66,1438.02,1828.26,20.28,23.49,financials,finance & investments,0.2,-0.17,-0.07,-0.23,-0.14,8.85,8.85,6.24,3.68,8.2,31.65,57.68,3.18,3.18,0.55,167.28,123962.89,-0.08,-1.59,0.56,144.06,432397124,852037169,2026-06-12,,,,,,,,,,,,,,,,
2026-06-12T23:59:57.666,IIFL,521.65,500.0,518.9,5.66,487.65,493.56,569.58,9.4,12.57,financials,finance & investments,-0.75,-0.15,0.14,-0.21,0.08,7.51,7.51,4.33,4.2,6.95,55.13,21.77,3.96,3.96,2.53,63.91,20885.97,1.58,-0.07,2.83,86.8,319614908,425289575,2026-06-12,,,,,,,,,,,,,,,,
