Timestamp,Symbol,Cmp,%ch1,Lch1,Sl,Target,1d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,Atr%,%ch_3low,Scan_Date
2026-02-18T08:27:55.688,ABINFRA,20.82,3.32,-3.56,19.44,24.81,21.5,4.03,52.05,7.92,58.39,realty,construction,23.15,-0.718,-0.015,0.423,-0.069,0.354,7.82,19.3,6.83,7.82,2026-02-18
2026-02-18T08:27:55.688,MANGLMCEM,894.0,9.77,-0.116,781.81,909.74,898.95,3.25,54.12,30.49,67.67,building materials,cement - north india,24.06,-1.5,0.022,-0.011,-0.04,-0.059,6.34,770.1,3.32,6.34,2026-02-18
2026-02-18T08:27:55.688,CCL,1007.9,2.07,-2.78,987.66,1132.22,1047.0,1.89,33.46,35.74,61.27,fmcg,tea,24.53,0.449,0.026,0.104,0.007,0.072,3.39,992.1,4.03,5.68,2026-02-18
2026-02-18T08:27:55.688,MAYURUNIQ,573.8,0.704,-1.87,574.85,602.8,586.6,1.01,12.28,14.35,65.31,consumer discretionary,leather / leather products,31.88,-0.844,-0.004,-0.035,-0.023,-0.067,2.19,570.0,3.85,4.61,2026-02-18
2026-02-18T08:27:55.688,SIEMENS,3186.4,1.44,-1.65,3137.52,3392.57,3262.0,0.821,102.13,64.14,57.91,industrials,electric equipment,23.97,-1.73,-0.055,-0.053,-0.086,-0.08,4.3,3083.1,3.27,4.3,2026-02-18
2026-02-18T08:27:55.688,NAVNETEDUL,155.97,-0.032,-1.64,155.78,165.05,159.26,0.534,5.02,9.53,58.21,miscellaneous,printing & stationery,21.14,-2.17,0.029,0.074,0.011,0.062,3.73,152.4,3.75,3.82,2026-02-18
2026-02-18T08:27:55.688,AXISBANK,1357.2,0.191,-0.582,1338.79,1404.52,1361.9,0.863,15.02,16.02,58.84,bank,banks - private sector,17.55,-1.1,0.155,0.133,0.125,0.113,2.59,1324.0,2.38,3.21,2026-02-18
2026-02-18T08:27:55.688,INDUSINDBK,943.8,2.18,-0.397,904.93,989.44,952.2,0.523,143.87,-36.13,61.0,bank,banks - private sector,14.95,0.798,0.093,0.121,0.074,0.116,2.17,912.15,2.58,3.16,2026-02-18
2026-02-18T08:27:55.688,LUPIN,2247.5,1.87,0.293,2166.18,2366.74,2263.0,1.56,21.83,22.09,60.82,healthcare,pharmaceuticals - indian - bulk drugs & formln,13.3,1.19,0.04,0.076,0.022,0.067,1.35,2191.9,2.28,2.85,2026-02-18
2026-02-17T23:13:17.834,ABINFRA,20.82,3.32,-3.56,19.44,24.81,21.5,4.03,52.05,7.91,58.39,realty,construction,23.15,-0.718,-0.015,0.423,-0.069,0.354,7.82,19.3,6.83,7.82,2026-02-17
2026-02-17T23:13:17.834,MANGLMCEM,894.0,9.77,-0.116,781.81,909.74,898.95,3.25,54.12,27.93,67.67,building materials,cement - north india,24.06,-1.5,0.022,-0.011,-0.04,-0.059,6.34,770.1,3.32,6.34,2026-02-17
2026-02-17T23:13:17.834,CCL,1007.9,2.07,-2.78,987.66,1132.22,1047.0,1.89,33.46,36.37,61.27,fmcg,tea,24.53,0.449,0.026,0.104,0.007,0.072,3.39,992.1,4.03,5.68,2026-02-17
2026-02-17T23:13:17.834,MAYURUNIQ,573.8,0.704,-1.87,574.85,602.8,586.6,1.01,12.28,14.57,65.31,consumer discretionary,leather / leather products,31.88,-0.844,-0.004,-0.035,-0.023,-0.067,2.19,570.0,3.85,4.61,2026-02-17
2026-02-17T23:13:17.834,SIEMENS,3186.4,1.44,-1.65,3137.52,3392.57,3262.0,0.821,102.13,64.73,57.91,industrials,electric equipment,23.97,-1.73,-0.055,-0.053,-0.086,-0.08,4.3,3083.1,3.27,4.3,2026-02-17
2026-02-17T23:13:17.834,NAVNETEDUL,155.97,-0.032,-1.64,155.78,165.05,159.26,0.534,5.02,9.66,58.21,miscellaneous,printing & stationery,21.14,-2.17,0.029,0.074,0.011,0.062,3.73,152.4,3.75,3.82,2026-02-17
2026-02-17T23:13:17.834,AXISBANK,1357.2,0.191,-0.582,1338.79,1404.52,1361.9,0.863,15.02,16.04,58.84,bank,banks - private sector,17.55,-1.1,0.155,0.133,0.125,0.113,2.59,1324.0,2.38,3.21,2026-02-17
2026-02-17T23:13:17.834,INDUSINDBK,943.8,2.18,-0.397,904.93,989.44,952.2,0.523,143.87,-35.68,61.0,bank,banks - private sector,14.95,0.798,0.093,0.121,0.074,0.116,2.17,912.15,2.58,3.16,2026-02-17
2026-02-17T23:13:17.834,LUPIN,2247.5,1.87,0.293,2166.18,2366.74,2263.0,1.56,21.83,21.84,60.82,healthcare,pharmaceuticals - indian - bulk drugs & formln,13.3,1.19,0.04,0.076,0.022,0.067,1.35,2191.9,2.28,2.85,2026-02-17
2026-02-16T23:34:18.902,ARVIND,376.45,-0.325,-3.27,360.93,454.54,395.65,3.57,25.3,24.89,67.94,textiles,textiles - cotton/blended,38.75,-1.75,0.21,0.054,0.166,0.004,8.6,354.6,5.87,8.6,2026-02-16
2026-02-16T23:34:18.902,VTL,508.3,0.117,-1.74,480.04,600.47,525.0,7.42,21.72,18.2,66.19,textiles,textiles - cotton/blended,38.12,-1.05,0.149,0.009,0.122,-0.042,7.48,475.0,5.61,8.35,2026-02-16
2026-02-15T23:27:34.146,SHARDACROP,1256.0,3.54,-3.88,1151.88,1478.84,1297.0,2.1,19.52,20.02,73.92,chemicals,pesticides / agrochemicals - indian,43.36,-1.03,0.205,0.583,0.05,0.438,9.88,1140.0,6.2,12.11,2026-02-15
2026-02-15T23:27:34.146,AUTOAXLES,2007.4,1.47,-2.13,1910.57,2275.56,2048.0,2.12,19.54,19.4,56.3,auto,auto ancillaries,18.65,-0.025,0.128,0.115,0.08,0.088,4.74,1910.1,4.63,4.74,2026-02-15
2026-02-15T23:27:34.146,SUNDARMFIN,5289.5,-0.091,-4.07,5251.49,6090.52,5555.0,1.13,26.92,28.33,60.04,financials,finance & investments,13.12,-0.19,0.114,0.061,0.096,0.039,4.62,5241.5,3.52,4.62,2026-02-15
2026-02-15T23:27:34.146,BEL,435.55,0.518,-2.5,435.15,463.49,446.2,0.858,50.41,53.38,60.47,aerospace & defence,electronics - components,17.22,-0.127,0.062,0.112,0.029,0.097,2.14,434.6,2.95,2.39,2026-02-15
2026-02-14T23:26:14.911,SHARDACROP,1256.0,3.54,-3.88,1151.88,1478.84,1297.0,2.1,19.52,20.02,73.92,chemicals,pesticides / agrochemicals - indian,43.36,-1.03,0.205,0.583,0.05,0.438,9.88,1140.0,6.2,12.11,2026-02-14
2026-02-14T23:26:14.911,AUTOAXLES,2007.4,1.47,-2.13,1910.57,2275.56,2048.0,2.12,19.54,19.4,56.3,auto,auto ancillaries,18.65,-0.025,0.128,0.115,0.08,0.088,4.74,1910.1,4.63,4.74,2026-02-14
2026-02-14T23:26:14.911,SUNDARMFIN,5289.5,-0.091,-4.07,5251.49,6090.52,5555.0,1.13,26.92,28.33,60.04,financials,finance & investments,13.12,-0.19,0.114,0.061,0.096,0.039,4.62,5241.5,3.52,4.62,2026-02-14
2026-02-14T23:26:14.911,BEL,435.55,0.518,-2.5,435.15,463.49,446.2,0.858,50.41,53.38,60.47,aerospace & defence,electronics - components,17.22,-0.127,0.062,0.112,0.029,0.097,2.14,434.6,2.95,2.39,2026-02-14
2026-02-13T23:37:07.953,SHARDACROP,1256.0,3.54,-3.88,1151.88,1478.84,1297.0,2.1,19.52,19.97,73.92,chemicals,pesticides / agrochemicals - indian,43.36,-1.03,0.205,0.583,0.05,0.438,9.88,1140.0,6.2,12.11,2026-02-13
2026-02-13T23:37:07.953,AUTOAXLES,2007.4,1.47,-2.13,1910.57,2275.56,2048.0,2.12,19.54,19.33,56.3,auto,auto ancillaries,18.65,-0.025,0.128,0.115,0.08,0.088,4.74,1910.1,4.63,4.74,2026-02-13
2026-02-13T23:37:07.953,SUNDARMFIN,5289.5,-0.091,-4.07,5251.49,6090.52,5555.0,1.13,26.92,29.37,60.04,financials,finance & investments,13.12,-0.19,0.114,0.061,0.096,0.039,4.62,5241.5,3.52,4.62,2026-02-13
2026-02-13T23:37:07.953,BEL,435.55,0.518,-2.5,435.15,463.49,446.2,0.858,50.41,54.4,60.47,aerospace & defence,electronics - components,17.22,-0.127,0.062,0.112,0.029,0.097,2.14,434.6,2.95,2.39,2026-02-13
2026-02-12T23:17:08.377,FEDERALBNK,287.1,0.929,-1.51,288.09,301.33,293.5,1.66,16.13,17.43,64.01,bank,banks - private sector,36.23,-2.93,0.364,0.361,0.317,0.325,3.88,279.65,2.75,3.88,2026-02-12
2026-02-11T23:11:54.653,INFOBEAN,884.15,3.87,-3.51,800.24,1220.12,956.55,4.29,27.77,29.16,56.44,i.t,computers - software - medium / small,30.27,5.96,0.437,1.45,0.412,1.28,7.02,847.95,8.6,11.95,2026-02-11
2026-02-11T23:11:54.653,KRYSTAL,624.0,1.43,-4.16,605.75,746.25,656.0,1.59,13.71,14.45,75.42,miscellaneous,miscellaneous,55.06,0.33,-0.044,0.007,-0.1,-0.04,6.25,607.75,3.97,7.45,2026-02-11
2026-02-11T23:11:54.653,MCX,2372.8,-0.028,-4.88,2406.14,2647.43,2494.5,0.837,7.54,13.44,55.3,financials,miscellaneous,23.21,1.2,0.396,0.808,0.401,0.785,1.47,2435.0,5.59,6.13,2026-02-11
2026-02-11T23:11:54.653,INDIACEM,454.7,0.44,-3.27,441.15,517.04,467.5,0.26,-1263.06,-129.65,55.92,building materials,cement - south india,24.07,3.37,0.163,0.418,0.168,0.392,2.07,456.0,4.03,5.41,2026-02-11
2026-02-11T23:11:54.653,ASTRAL,1592.1,4.35,0.3,1454.34,1697.51,1598.8,1.85,99.26,81.85,62.19,plastic products,plastics products,15.66,2.69,0.112,-0.011,-0.013,-0.037,2.6,1493.4,2.8,4.94,2026-02-11
2026-02-11T23:11:54.653,JBCHEPHARM,1894.8,-0.27,-1.7,1848.41,2079.89,1926.8,1.06,37.51,39.84,59.85,healthcare,pharmaceuticals - indian - bulk drugs & formln,16.43,1.9,0.04,0.109,0.006,0.087,2.1,1883.5,2.37,4.56,2026-02-11
2026-02-11T23:11:54.653,TORNTPHARM,4056.7,0.326,-0.946,3945.4,4358.8,4092.9,0.811,57.82,64.43,60.11,healthcare,pharmaceuticals - indian - formulations,22.99,1.59,0.036,0.242,0.011,0.219,1.78,4008.2,2.44,4.37,2026-02-11
2026-02-11T23:11:54.653,STARHEALTH,480.4,4.23,-0.544,454.6,505.35,488.6,0.481,55.09,61.76,58.96,financials,finance & investments,16.22,1.33,-0.029,-0.051,-0.027,-0.061,1.76,460.65,2.78,3.48,2026-02-11
2026-02-11T23:11:54.653,AXISBANK,1347.3,0.243,-0.877,1331.28,1414.34,1360.1,0.926,14.91,16.02,59.76,bank,banks - private sector,20.11,0.903,0.168,0.1,0.143,0.089,0.998,1343.3,2.66,2.42,2026-02-11
2026-02-10T23:29:26.114,STYLEBAAZA,347.9,2.16,-4.03,329.44,413.72,362.55,1.14,34.24,40.06,65.75,consumer discretionary,trading,19.2,-5.6,0.057,0.311,-0.038,0.188,14.12,311.0,6.85,15.55,2026-02-10
2026-02-10T23:29:26.114,SHRIRAMFIN,1048.6,0.386,-2.47,986.8,1224.7,1067.8,1.05,19.49,21.85,67.76,financials,finance & investments,26.76,1.68,0.585,0.575,0.504,0.488,5.91,1003.4,3.68,9.29,2026-02-10
2026-02-10T23:29:26.114,EMCURE,1510.3,1.26,-2.59,1463.85,1718.0,1565.2,0.654,31.05,33.68,57.73,healthcare,pharmaceuticals - indian - bulk drugs & formln,21.13,3.9,0.024,0.105,0.0,0.085,1.62,1521.0,3.8,5.79,2026-02-10
2026-02-10T23:29:26.114,AIAENG,4108.4,1.72,-0.703,3845.7,4779.0,4200.0,1.31,32.56,32.69,57.93,industrials,castings & forgings,20.45,0.112,0.204,0.128,0.149,0.078,5.72,3850.0,4.96,5.72,2026-02-10
2026-02-10T23:29:26.114,UJJIVANSFB,63.9,0.509,-1.88,63.06,69.16,65.2,0.872,16.64,25.44,61.71,bank,banks - private sector,28.19,0.086,0.396,0.44,0.303,0.397,2.79,63.11,5.01,5.48,2026-02-10
2026-02-10T23:29:26.114,HINDALCO,968.9,1.29,-0.959,947.03,1011.58,976.65,0.889,11.35,12.05,55.96,metals & mining,aluminium and aluminium products,31.84,0.134,0.32,0.434,0.281,0.404,1.68,948.3,3.62,4.58,2026-02-10
2026-02-10T23:29:26.114,INDUSINDBK,927.6,0.55,-0.851,896.74,1008.32,936.95,1.7,141.4,-35.52,60.12,bank,banks - private sector,18.57,0.402,0.091,0.088,0.056,0.061,3.06,900.35,3.04,3.68,2026-02-10
2026-02-10T23:29:26.114,BEL,437.3,0.915,-0.858,431.71,453.09,441.3,0.652,50.61,53.59,57.22,aerospace & defence,electronics - components,17.67,-0.511,0.049,0.093,0.021,0.075,1.82,429.5,3.66,2.76,2026-02-10
