Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score
2026-04-22T19:30:05.707,SWANDEF,19305.84,21653.82,5445.81,-4.49,-0.18,2.08,717.12,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,CUPID,164.36,119.56,130.66,54.68,0.42,0.23,1.26,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,MTARTECH,68.19,40.84,16.31,6.38,0.48,0.98,1.39,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,SIGMAADV,62.89,36.4,28.25,28.73,0.43,0.19,0.5,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,QPOWER,58.56,31.46,NaN,NaN,0.54,0.85,0.3,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,STLTECH,57.35,32.36,-2.88,0.53,0.51,2.09,1.46,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,PFOCUS,56.48,38.84,23.42,5.05,0.26,0.41,0.94,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,VENUSREM,53.09,46.15,37.77,9.92,0.18,0.38,1.28,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,SALSTEEL,49.97,24.57,25.64,2.36,0.5,0.35,1.02,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,LUMAXTECH,49.44,45.4,37.23,26.08,0.09,0.17,0.54,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,ROSSTECH,49.04,34.02,12.02,NaN,0.35,0.52,0.38,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,KESORAMIND,45.76,-1.96,9.73,-11.41,0.38,0.04,1.08,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,GVT&D,44.89,34.58,10.04,15.95,0.11,0.62,0.45,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,BHAGYANGR,44.45,23.77,21.55,-0.21,0.4,0.31,1.15,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,JAYNECOIND,44.11,31.1,30.65,14.54,0.32,0.12,0.36,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,PRECWIRE,43.68,28.04,11.24,0.33,0.29,0.76,0.95,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,NATIONALUM,43.54,25.87,22.22,2.24,0.13,0.21,0.92,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,BAJAJCON,39.18,28.57,12.12,4.71,0.33,0.67,0.78,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,HINDCOPPER,38.12,28.84,35.96,4.37,0.14,-0.01,0.63,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,NETWEB,37.54,26.56,11.15,15.79,0.22,0.2,0.02,2026-04-22,,,,,,,,,,,,,,,,,,,,
2026-04-22T19:30:05.707,SILVERADD,36.39,36.76,51.06,22.3,-0.0,-0.12,0.45,2026-04-22,,,,,,,,,,,,,,,,,,,,
