Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score,Low,Max2,W rsi,Adr p - adr%
2026-04-29T22:24:54.124,IDEA,10.55,10.01,10.29,3.42,9.75,9.49,11.89,-5.25,-3.77,telecom-service,telecommunications - service provider,4.14,0.0,0.51,-0.09,0.46,9.1,9.1,5.39,3.31,7.64,0.48,0.34,3.33,3.33,1.4,130.39,107801.32,-0.43,-1.43,1.47,82.28,80561956458,108343035001,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,PAYTM,1144.8,1099.0,1104.2,-2.21,1042.27,1151.49,1009.62,78.42,-418.2,i.t,miscellaneous,-2.23,-0.22,-0.05,-0.21,-0.03,4.17,4.17,4.17,3.61,5.05,16.26,39.82,3.58,3.58,0.41,83.94,72270.76,0.75,-0.06,0.41,13.06,640045681,640045681,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,LTF,290.45,284.38,285.42,-0.13,270.86,289.25,277.76,22.16,23.97,financials,finance & investments,-0.14,-0.02,0.39,-0.02,0.4,2.13,2.13,2.13,3.15,0.37,9.47,8.99,3.17,3.17,1.05,46.19,71570.34,1.85,1.01,1.09,11.56,851855891,2504386016,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,MANAPPURAM,298.9,293.1,295.35,0.89,281.09,282.44,321.17,26.18,64.2,financials,finance & investments,4.92,-0.02,0.11,-0.03,0.11,3.34,3.34,1.98,3.06,3.0,19.87,9.04,3.01,3.01,2.2,54.09,27499.06,2.22,0.1,2.36,24.9,640935088,939336102,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,HINDZINC,621.9,606.1,613.05,-0.5,581.4,600.18,638.79,12.87,18.82,metals & mining,mining / minerals / metals,4.64,0.2,0.42,0.17,0.43,2.61,2.61,2.61,3.44,3.15,42.26,21.1,3.13,3.13,2.0,121.62,260321.9,2.35,0.14,2.15,32.93,1660047647,4225319000,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,AUBANK,1037.2,1013.5,1017.65,-0.5,969.32,1036.17,980.61,22.86,28.9,bank,banks - private sector,0.12,0.07,0.34,0.08,0.35,2.34,2.34,2.34,3.12,0.41,59.58,31.8,3.19,3.19,1.87,40.98,76532.76,3.21,2.04,1.99,13.05,577968709,748267121,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,NAM-INDIA,1059.85,1020.1,1028.9,0.55,964.73,1016.2,1054.3,42.59,42.56,financials,finance & investments,1.99,0.05,0.23,0.02,0.23,4.22,4.22,3.9,4.46,4.77,114.38,45.85,4.28,4.28,2.49,99.91,65295.22,3.69,3.56,2.81,19.19,179087901,638115996,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,TATAINVEST,732.9,713.35,717.55,-1.05,676.61,725.01,702.62,142.37,20.96,financials,finance & investments,0.06,-0.2,0.01,-0.21,0.02,3.15,3.15,2.74,3.7,1.72,69.51,26.57,4.34,4.34,2.62,25.16,36689.18,3.94,3.24,2.9,15.8,134663490,505952960,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,NAVINFLUOR,6816.0,6660.0,6758.5,1.98,6434.83,6301.84,7671.82,46.7,61.35,chemicals,chemicals,6.4,0.25,0.35,0.2,0.33,3.78,3.78,2.34,2.9,4.99,471.58,196.31,3.33,3.33,2.4,166.55,33962.43,4.32,3.26,2.58,50.18,37356850,51248574,2026-04-29,,,,,,,,,,,,,,,,,
2026-04-29T22:24:54.124,SHAILY,2587.0,2375.0,2527.6,1.53,2307.23,2013.03,3556.74,77.72,72.26,plastic products,plastics products,27.0,-0.08,0.46,-0.1,0.44,8.93,8.93,8.93,6.76,7.83,460.88,170.91,6.96,6.96,2.7,116.2,11440.06,4.42,3.3,3.3,89.29,26012493,45955093,2026-04-29,,,,,,,,,,,,,,,,,
