Timestamp,Symbol,Cmp,%ch,Low3,Initial_atr1.5sl,Sl,Target,0d_high,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,%ch sl,%ch_3low,Atr%,%ch_2low,Adr p - adr%,Scan_Date,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,From52wh,3d range,5d,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-09-03T19:30:39.613,AUTOIND,92.75,9.53,83.55,85.12,85.25,107.75,98.4,11.04,56.55,9.63,54.39,57.55,auto,auto ancillaries,10.88,-4.25,0.19,0.15,0.08,0.06,8.8,11.01,5.96,10.95,4.96,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,PAISALO,70.28,5.65,65.11,66.6,66.11,78.62,70.9,1.64,26.22,24.01,57.16,70.83,financials,finance & investments,14.69,-1.23,0.89,0.86,0.76,0.77,6.31,7.94,3.35,7.12,3.07,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,BFINVEST,469.45,3.64,437.3,445.21,434.08,540.18,488.0,1.01,3.03,4.38,58.92,57.17,financials,finance & investments,15.81,0.46,0.14,0.11,0.1,0.08,8.15,7.35,3.37,7.18,3.43,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,AYE,180.61,5.41,168.28,167.43,171.14,199.55,183.5,1.02,14.95,15.68,57.22,63.16,financials,finance & investments,20.93,-1.56,0.44,NaN,0.33,NaN,5.53,7.33,5.05,7.33,4.87,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,JMFINANCIL,134.53,3.97,125.61,128.56,128.23,147.13,135.5,1.65,11.03,11.9,63.11,54.8,financials,finance & investments,11.0,-1.98,-0.01,-0.09,-0.03,-0.13,4.91,7.1,3.02,7.1,2.91,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,PCJEWELLER,10.52,3.34,9.98,9.78,10.55,10.46,10.79,1.36,11.43,10.28,55.2,56.08,consumer discretionary,diamond cutting / jewellery,31.27,-4.86,0.08,0.03,0.03,-0.01,-0.3,5.41,5.21,5.41,4.75,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,ANDHRSUGAR,101.29,2.11,96.11,94.79,99.24,105.4,102.4,1.07,7.54,12.77,60.25,63.76,chemicals,chlor alkali / soda ash,32.26,-3.93,0.25,0.31,0.24,0.28,2.07,5.39,4.41,5.39,4.73,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,SOUTHBANK,47.7,4.29,45.3,45.98,44.58,53.95,48.3,2.09,8.28,7.93,63.05,62.34,bank,banks - private sector,12.09,2.17,0.09,0.18,0.04,0.13,7.01,5.3,2.41,5.09,2.12,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,20MICRONS,217.82,3.06,207.0,204.49,211.2,231.07,224.0,0.85,10.8,11.01,60.61,61.62,metals & mining,mining / minerals / metals,40.91,0.08,0.2,0.1,0.14,0.07,3.14,5.23,4.49,5.23,4.15,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T19:30:39.613,BLKASHYAP,57.6,3.32,54.8,53.75,53.42,65.97,58.25,0.81,32.73,2787.5,59.29,54.88,realty,construction,22.62,4.4,0.08,0.1,0.04,0.07,7.83,5.11,5.11,5.11,4.87,2026-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
