Timestamp,Symbol,Cmp,%ch,Low3,Initial_atr1.5sl,Sl,Target,0d_high,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,%ch sl,%ch_3low,Atr%,%ch_2low,Adr p - adr%,Scan_Date,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Low 2%,Low5,Rs,Is,Tps,Rs score,Low,Max2
2026-06-13T23:51:17.975,IFCI,84.57,19.99,70.01,78.08,74.5,104.71,84.57,5.68,422.85,126.22,67.42,72.79,financials,finance - term-lending institutions,37.35,-4.34,0.63,0.45,0.33,0.21,13.52,20.8,6.81,20.8,5.96,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,EBGNG,432.5,3.33,390.0,394.82,408.94,479.61,455.0,3.12,29.22,37.45,53.01,60.47,services,trading,22.26,-3.99,0.38,0.15,0.32,0.12,5.76,10.9,6.21,8.13,5.38,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,MANALIPETC,65.2,10.1,58.8,60.39,61.52,72.55,68.6,9.26,9.64,8.62,63.19,59.69,energy,petrochemicals,31.78,-4.42,-0.0,-0.05,-0.11,-0.14,5.98,10.88,5.77,10.88,5.56,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,TVSSCS,132.26,10.0,119.34,123.58,120.64,155.5,132.26,3.52,82.66,51.07,61.69,59.36,transportation,miscellaneous,22.6,0.43,0.17,-0.0,0.07,-0.09,9.63,10.83,4.98,10.83,4.59,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,NAVKARCORP,102.04,7.15,93.51,95.48,93.51,119.1,103.0,2.61,27.43,51.02,60.21,53.26,transportation,miscellaneous,12.09,0.33,-0.03,-0.2,-0.11,-0.25,9.12,9.12,4.31,9.12,4.21,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,AYE,149.86,6.87,137.71,133.49,144.47,160.64,151.0,0.44,9.63,15.76,54.82,57.73,financials,finance & investments,34.02,-4.91,NaN,NaN,NaN,NaN,3.73,8.82,7.53,8.82,7.61,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,IDEA,14.9,5.15,13.73,14.07,14.7,15.31,15.09,1.27,0.78,4.7,70.6,74.75,telecom-service,telecommunications - service provider,50.26,-7.25,0.28,0.68,0.21,0.6,1.39,8.52,4.18,8.52,3.94,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,MMTC,68.06,7.91,62.9,63.61,64.09,76.01,71.35,11.67,20.26,26.28,57.23,56.08,services,trading,22.47,-1.94,0.14,-0.04,0.07,-0.11,6.2,8.2,4.96,8.2,4.31,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,WANBURY,274.55,7.27,254.0,251.94,260.13,303.4,284.0,2.3,9.45,13.41,54.67,54.88,healthcare,pharmaceuticals - indian - bulk drugs & formln,18.13,-3.96,0.09,0.06,-0.0,-0.01,5.54,8.09,6.09,8.09,5.29,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13T23:51:17.975,GKENERGY,143.54,6.78,133.5,132.71,130.45,169.72,144.2,0.93,12.29,13.34,62.55,57.26,realty,engineering - turnkey services,25.4,4.83,-0.08,NaN,-0.11,NaN,10.03,7.52,5.52,7.52,5.18,2026-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
