Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date,From52wh,3d range,5d,Sector,Industry,Free float
2026-07-24T09:59:57.31,CUPID,155.31,189.37,147.81,123.04,0.18,0.87,1.49,2026-07-24,,,,,,
2026-07-24T09:59:57.31,STLTECH,89.44,103.24,54.38,-2.0,-0.1,0.9,4.71,2026-07-24,,,,,,
2026-07-24T09:59:57.31,MTARTECH,63.58,88.2,67.1,17.65,-0.25,0.09,1.21,2026-07-24,,,,,,
2026-07-24T09:59:57.31,THANGAMAYL,62.04,44.71,21.69,25.62,0.25,0.8,0.84,2026-07-24,,,,,,
2026-07-24T09:59:57.31,ATHERENERG,54.5,45.32,NaN,NaN,0.21,0.34,0.92,2026-07-24,,,,,,
2026-07-24T09:59:57.31,ACUTAAS,41.43,45.5,25.45,16.19,0.04,0.43,1.03,2026-07-24,,,,,,
2026-07-24T09:59:57.31,SILVERTUC,39.94,36.69,21.02,34.61,0.0,0.42,0.19,2026-07-24,,,,,,
2026-07-24T09:59:57.31,NOVARTIND,39.68,30.18,11.6,3.06,0.12,0.68,1.24,2026-07-24,,,,,,
2026-07-24T09:59:57.31,KMEW,38.03,38.01,30.85,26.13,0.02,0.37,0.29,2026-07-24,,,,,,
2026-07-24T09:59:57.31,GVPIL,37.78,52.67,23.67,-0.2,-0.21,0.48,1.65,2026-07-24,,,,,,
2026-07-24T09:59:57.31,RPTECH,36.07,37.04,13.27,1.55,-0.0,0.6,1.08,2026-07-24,,,,,,
2026-07-24T09:59:57.31,HFCL,35.79,39.06,4.78,-6.81,-0.03,1.03,2.0,2026-07-24,,,,,,
2026-07-24T09:59:57.31,SAKAR,33.22,37.05,29.9,9.63,0.02,0.33,1.09,2026-07-24,,,,,,
2026-07-24T09:59:57.31,KIRLOSENG,32.41,47.7,26.11,7.49,-0.16,0.34,0.91,2026-07-24,,,,,,
2026-07-24T09:59:57.31,IZMO,32.25,42.26,34.31,15.67,0.03,0.48,0.53,2026-07-24,,,,,,
