Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-08-05T17:07:55.842,TBOTEK,1667.5,10.91,-3.19,1437.96,1600.44,1685.0,53.65,64.8,62.12,i.t,travel agencies,25.94,-0.2,-0.03,-0.09,-0.11,-0.15,5.86,1435.1,5.65,-4.72,3.36,8.51,10.43,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,VAIBHAVGBL,250.15,6.53,-7.88,253.62,276.36,282.3,11.43,16.91,63.55,consumer discretionary,diamond cutting / jewellery,34.49,-0.33,0.11,-0.02,0.07,-0.07,4.82,252.8,4.48,-4.32,4.47,7.88,9.46,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,CAPLIPOINT,2535.0,2.04,-4.79,2553.77,2689.03,2675.0,28.32,30.49,58.32,healthcare,pharmaceuticals - indian - formulations,43.45,-3.28,0.4,0.3,0.3,0.23,6.13,2470.0,2.65,-4.38,4.04,7.64,8.92,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,GRWRHITECH,7411.5,3.74,-5.64,6849.14,7470.86,7427.5,39.78,50.32,65.08,industrials,packaging,26.02,1.76,1.25,0.97,1.07,0.9,2.73,6970.0,4.54,-3.24,3.26,7.54,8.13,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,MUNJALAU,104.4,1.05,-4.26,101.99,107.81,106.1,-870.0,25.88,56.87,auto,auto ancillaries,45.1,-1.36,0.38,0.16,0.28,0.11,4.27,100.6,2.85,-4.19,4.3,7.03,8.2,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,MANBA,134.26,5.21,-9.75,136.65,156.09,154.0,12.71,13.86,73.6,financials,finance & investments,37.9,0.99,0.03,0.03,-0.05,-0.03,6.07,138.0,7.11,-3.33,3.61,6.84,10.09,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,MANORAMA,1600.0,0.73,-3.55,1566.97,1750.83,1674.0,45.51,42.64,61.99,fmcg,food - processing - indian,23.78,1.58,0.4,0.24,0.35,0.18,4.22,1591.7,5.87,-3.7,3.11,6.2,4.92,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,SAILIFE,1394.3,8.62,-1.11,1253.54,1320.46,1398.0,70.7,82.26,58.96,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.13,-1.14,0.49,0.37,0.37,0.32,3.85,1239.3,2.67,-3.44,2.91,5.81,4.96,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,AETHER,1589.4,9.07,-2.36,1476.76,1483.44,1614.4,83.3,88.82,63.63,chemicals,chemicals,42.58,-3.82,0.41,0.94,0.33,0.87,4.2,1420.4,0.23,-3.82,3.61,5.71,19.29,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T17:07:55.842,SANSERA,3742.8,15.37,-3.11,3222.22,3323.78,3776.0,47.96,67.26,58.96,auto,auto ancillaries,36.01,-0.14,0.82,1.07,0.72,1.02,1.72,3217.6,1.58,-2.64,3.84,5.55,9.53,2026-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
