Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,%ch7,Lch7,7d_high,Rsi,Adx,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,R_vol,Column26,From52wh,3d range,5d,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%
2026-06-09T15:36:18.605,IIFL,511.8,491.55,506.6,3.0,475.2,484.61,550.58,9.18,12.59,financials,finance & investments,3.31,-0.18,0.08,-0.21,0.05,4.45,4.45,4.12,4.4,3.39,45.61,22.31,4.29,4.29,2.04,51.98,20917.87,0.63,-0.22,2.25,67.44,3.19614908e8,425289575,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,REDINGTON,245.9,230.58,240.95,4.97,227.36,231.1,260.65,12.02,12.04,services,trading,0.59,-0.17,-0.22,-0.25,-0.26,7.56,7.56,6.64,4.23,5.4,20.04,10.19,3.84,3.84,1.97,167.78,17944.85,1.39,-0.43,2.15,101.79,7.81774431e8,781774431,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,GRSE,2688.2,2612.5,2685.6,2.86,2525.07,2507.85,3041.11,25.36,39.98,aerospace & defence,miscellaneous,3.14,0.0,-0.0,-0.06,-0.03,3.99,3.99,2.9,3.29,3.89,37.72,88.45,3.41,3.41,0.43,31.53,29909.53,1.67,1.34,0.43,82.65,2.921076e7,114552000,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,ANANTRAJ,552.9,535.0,541.45,0.77,505.4,526.52,571.31,32.38,33.56,realty,construction,3.73,-0.05,-0.18,-0.09,-0.19,4.03,4.03,3.35,4.84,1.87,39.3,26.22,4.33,4.33,1.5,76.76,19336.19,2.32,1.13,1.62,24.6,1.53279607e8,359876930,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,GMRAIRPORT,103.23,100.78,102.6,2.27,97.7,97.21,113.39,88.45,590.12,miscellaneous,miscellaneous,4.21,-0.09,0.07,-0.11,0.05,3.33,3.33,2.43,3.38,2.7,6.5,3.47,3.16,3.16,1.88,102.17,105927.65,2.62,0.69,2.0,52.48,3.555596046e9,10558975952,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,ENGINERSIN,242.37,236.38,238.5,-0.36,223.11,220.62,274.27,17.18,19.46,realty,engineering - turnkey services,5.9,0.08,0.12,0.09,0.12,4.4,4.4,2.53,4.11,2.73,6.64,9.8,4.51,4.51,0.68,37.31,13453.61,3.24,3.18,0.7,21.63,2.73583789e8,562042373,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,AMBER,7800.0,7650.0,7730.0,-0.26,7271.62,7173.19,8843.63,50.8,150.22,consumer discretionary,air-conditioners,6.85,0.09,-0.1,0.05,-0.1,2.56,2.56,1.96,3.53,1.86,146.5,273.04,4.37,4.37,0.54,56.43,27273.54,3.43,2.13,0.55,29.3,2.175843e7,35191667,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,BELRISE,236.5,221.28,235.6,9.22,223.44,212.01,282.77,38.5,35.31,auto,auto ancillaries,0.13,0.35,0.45,0.21,0.33,12.35,12.35,6.88,3.75,11.92,25.12,8.83,3.67,3.67,2.85,728.86,19196.47,4.06,3.77,3.18,162.21,2.98495928e8,889879192,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,RBLBANK,362.0,345.95,361.5,4.8,344.81,341.78,400.94,22.82,24.06,bank,banks - private sector,1.48,0.09,0.29,0.06,0.23,5.45,5.45,4.64,3.16,5.3,34.17,11.43,3.19,3.19,2.99,81.62,21321.75,4.09,2.78,3.3,136.0,6.18111404e8,618111404,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,ZENTEC,1816.0,1746.5,1794.9,2.38,1679.98,1664.63,2055.45,127.84,81.46,aerospace & defence,miscellaneous,7.33,0.19,0.08,0.17,0.06,4.81,4.81,3.98,4.63,3.6,207.7,83.05,4.45,4.45,2.5,86.41,15828.8,4.14,3.96,2.83,58.27,4.6486527e7,90290356,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,ITDC,603.0,587.15,594.2,-0.92,548.84,543.48,695.64,45.02,62.4,services,hotels,12.89,-0.02,-0.09,-0.02,-0.08,2.7,2.7,2.7,6.23,1.2,44.49,36.99,4.31,4.31,1.2,31.92,5143.59,4.51,1.15,1.3,19.06,1.1127719e7,85769400,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,KEI,5308.0,5131.0,5276.5,2.5,5012.4,5219.43,5390.65,44.36,53.57,industrials,cables - power,-2.11,0.17,0.21,0.13,0.19,3.94,3.94,3.45,3.26,3.32,408.35,172.1,3.23,3.23,2.37,47.09,49215.19,4.67,3.74,2.57,84.54,6.2139603e7,95600595,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,MOTHERSON,144.4,140.5,143.6,3.3,135.89,142.54,145.72,25.28,35.64,auto,auto ancillaries,-2.11,0.13,0.27,0.08,0.23,4.61,4.61,2.78,3.68,4.04,16.74,5.28,3.89,3.89,3.17,74.35,146717.31,4.8,2.8,3.59,58.68,5.425228487e9,10554442601,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,TITAGARH,854.0,839.1,846.0,0.94,796.9,813.76,910.48,53.27,66.63,industrials,engineering,2.83,-0.01,-0.14,-0.03,-0.15,4.09,4.09,1.78,3.93,3.11,89.44,33.26,4.11,4.11,2.69,20.58,11287.68,4.96,3.26,3.01,20.75,8.0186907e7,134673768,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,GVT&D,4966.0,4781.5,4939.0,4.11,4589.63,4878.95,5059.1,89.87,98.48,industrials,electric equipment,-3.35,0.64,0.56,0.55,0.5,6.57,6.57,3.86,5.15,5.99,543.3,254.37,5.14,5.14,2.14,84.4,121468.48,5.01,4.78,2.4,61.92,1.25462802e8,256046535,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,NBCC,106.31,103.1,106.01,2.46,100.57,100.81,116.4,29.78,38.89,miscellaneous,miscellaneous,4.24,-0.13,-0.08,-0.16,-0.1,3.45,3.45,3.11,3.68,3.16,12.57,3.9,3.68,3.68,3.22,75.79,27934.2,5.54,3.54,3.65,74.52,1.032631361e9,2700000000,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,NETWEB,4460.0,4276.9,4440.0,4.12,4068.79,4358.43,4603.15,89.3,117.48,i.t,computers - hardware,0.19,0.33,0.31,0.22,0.26,5.38,5.38,4.28,6.44,4.91,551.35,285.94,6.02,6.02,1.93,154.26,24282.36,5.9,5.33,2.2,57.04,1.8799145e7,56940687,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09T15:36:18.605,CRAFTSMAN,9200.5,8900.0,9154.0,1.98,8646.32,8873.41,9715.18,44.14,51.08,auto,auto ancillaries,0.71,0.19,0.31,0.17,0.28,3.71,3.71,3.38,3.81,3.18,1133.18,348.46,3.81,3.81,3.25,49.53,21412.77,6.27,4.93,3.71,72.89,1.223757e7,23855583,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,
