Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Low,Max2,W rsi,Adr p - adr%
2026-07-09T01:39:45.597,ATHERENERG,1200.0,5.21,1110.63,1116.2,1083.97,1374.04,2.0,-114.5,-86.02,73.85,auto,automobiles - scooters and 3 - wheelers,49.42,10.7,78.55,0.61,0.61,1096.77,1033.34,57.13,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,ADANIENSOL,1655.5,0.27,1599.85,1495.9,1519.36,1859.72,1.27,72.74,87.13,71.43,power & utilities,power generation and supply,25.82,8.96,70.39,0.46,0.71,1532.12,1496.09,21.85,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,ANANDRATHI,2059.8,0.38,1993.71,1945.1,2005.15,2141.78,0.49,41.33,43.03,72.85,financials,finance & investments,34.86,2.73,40.42,0.22,0.24,1919.04,1845.28,20.35,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,SCHNEIDER,1496.6,0.27,1437.66,1361.0,1442.0,1578.51,1.3,406.68,168.35,63.63,industrials,electric equipment,30.69,3.79,96.4,0.96,0.78,1356.45,1302.75,20.09,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,CEMPRO,1490.0,-0.27,1424.23,1380.0,1382.49,1651.27,0.54,26.42,42.8,75.54,realty,construction,57.18,7.78,82.59,0.81,0.8,1317.5,1258.02,16.78,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,HONASA,467.6,0.59,453.0,457.55,449.81,494.29,0.44,54.88,76.03,72.85,services,trading,47.32,3.96,68.31,0.47,0.63,437.14,421.99,13.53,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,CARTRADE,2775.9,-0.27,2695.59,2681.1,2813.69,2719.21,0.62,51.41,59.33,69.74,consumer discretionary,miscellaneous,62.14,-1.34,-7.71,-0.12,0.09,2529.06,2454.02,13.26,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,NYKAA,317.95,0.87,305.91,305.6,314.27,323.48,1.43,294.4,460.8,72.52,i.t,trading,41.04,1.17,24.66,0.09,0.19,299.74,293.63,12.25,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,J&KBANK,165.96,1.37,160.22,157.65,161.67,172.4,2.27,5.72,7.75,66.48,bank,banks - private sector,33.92,2.66,60.81,0.48,0.5,154.46,150.87,11.92,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-09T01:39:45.597,JBCHEPHARM,2435.8,0.57,2363.86,2288.3,2309.57,2625.15,3.62,95.9,53.82,80.19,healthcare,pharmaceuticals - indian - bulk drugs & formln,37.28,5.47,33.76,0.22,0.39,2337.62,2295.88,11.07,2026-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
