Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,Change,Max2,W rsi,Adr p - adr%,Custom_indicator_69505,Vars,Smavars,Csum,Brackets11,From52wh,3d range,5d
2026-09-04T10:17:38.152,MTARTECH,6980.5,6850.0,6979.5,2.34,6562.68,6980.63,6977.24,106.85,157.18,aerospace & defence,engineering,-4.19,0.7,1.88,0.74,1.82,3.03,3.03,1.91,3.35,5.57,297.61,233.98,3.44,3.44,1.27,12.67,20978.04,-2.41,-2.93,1.33,55.35,2.1729927e7,30759591,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,TEJASNET,609.6,570.0,601.3,5.97,566.56,524.15,755.6,-13.22,-10.97,telecom,telecommunications - equipment,7.6,0.19,0.29,0.05,0.22,10.57,10.57,6.95,4.45,13.03,63.21,26.76,3.71,3.71,2.36,205.57,10099.13,-2.15,-4.84,2.64,116.96,8.3068296e7,177973982,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,DATAPATTNS,4656.0,4546.4,4650.0,1.37,4390.98,4570.34,4809.32,295.05,95.85,aerospace & defence,electronics - components,-1.47,0.23,0.76,0.25,0.74,2.89,2.89,2.41,3.23,4.4,168.92,150.38,3.54,3.54,1.12,20.27,25681.53,-0.28,-1.44,1.17,68.89,3.2241586e7,55983969,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,GENUSPOWER,349.35,340.5,342.7,0.88,323.81,334.12,359.86,12.05,14.42,consumer discretionary,electronics - components,1.98,0.23,0.1,0.23,0.09,3.7,3.7,2.6,3.9,5.77,24.17,13.38,4.04,4.04,1.81,26.29,10335.12,-0.21,-1.27,1.94,16.44,1.84558104e8,304242615,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,IDEA,14.89,14.51,14.87,2.69,14.17,14.62,15.38,-10.62,4.2,telecom-service,telecommunications - service provider,-0.69,0.36,0.2,0.3,0.17,3.12,3.12,2.62,3.34,6.75,1.07,0.5,3.69,3.69,2.14,33.87,156880.71,-0.04,-3.56,2.31,72.39,8.0561956458e10,108343035001,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,WOCKPHARMA,2034.0,1976.1,2024.3,3.78,1916.65,1852.46,2367.98,77.26,77.4,healthcare,pharmaceuticals - indian - bulk drugs & formln,2.76,0.44,0.39,0.37,0.34,7.54,7.54,2.93,3.69,10.14,116.43,74.76,3.82,3.82,1.56,103.2,31695.72,0.68,-2.12,1.65,64.47,8.2733321e7,162492169,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,HINDCOPPER,523.95,518.6,519.65,0.22,490.21,534.22,490.51,35.69,44.17,metals & mining,mining / minerals / metals,-5.1,-0.14,0.3,-0.15,0.3,1.34,1.34,1.03,3.49,0.66,5.66,18.12,4.0,4.0,0.31,9.3,50140.2,0.76,-1.07,0.32,5.79,3.27410647e8,967024020,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,TATATECH,830.95,808.05,812.8,0.96,769.99,803.81,830.78,45.66,58.68,i.t,computers - software - medium / small,-1.28,0.3,0.2,0.28,0.19,3.5,3.5,2.83,3.44,2.24,39.37,27.95,3.46,3.46,1.41,27.74,32691.23,0.77,0.04,1.48,16.99,1.82027094e8,406051830,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,NETWEB,5424.0,5297.5,5340.0,1.33,4998.74,5295.15,5429.7,89.12,114.81,i.t,computers - hardware,-4.05,0.53,0.59,0.48,0.57,6.06,6.06,2.39,4.2,5.45,609.4,224.43,4.69,4.69,2.72,47.01,30007.74,1.39,0.35,3.07,18.94,1.8799145e7,56940687,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04T10:17:38.152,EPL,248.3,244.55,246.05,-0.2,230.43,251.41,235.33,19.97,20.36,industrials,packaging,-6.6,0.14,0.12,0.14,0.12,4.68,4.68,1.53,4.74,5.08,6.23,11.67,4.54,4.54,0.53,17.85,7896.49,1.54,1.42,0.55,12.85,2.35799878e8,320279659,2026-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
