Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Change,Low,Max2,R_vol,Rsi,W rsi,Adx,Adr p - adr%,Custom_indicator_69505,Vars,Smavars,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-05-13T00:47:33.284,M&MFIN,337.4,325.3,326.95,-3.0,306.84,316.16,348.53,12.11,16.2,financials,finance & investments,6.6,-0.04,0.2,-0.02,0.24,3.72,3.72,3.72,4.15,0.97,6.25,13.58,3.67,3.67,0.46,59.56,46848.98,-1.26,-3.01,0.47,12.15,660388561,1389971160,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,UNOMINDA,1173.9,1136.2,1141.9,-2.66,1083.91,1127.65,1170.39,59.47,59.34,auto,auto ancillaries,3.01,-0.2,-0.13,-0.13,-0.1,3.32,3.32,3.32,3.27,0.5,40.22,37.37,3.28,3.28,1.08,55.33,67737.35,1.73,0.17,1.12,15.26,182660981,577421816,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,PAYTM,1196.6,1150.3,1154.6,-3.51,1091.42,1134.05,1195.7,100.57,138.5,i.t,miscellaneous,3.78,-0.2,-0.12,-0.19,-0.08,4.03,4.03,4.03,3.72,0.37,68.53,42.94,3.13,3.13,1.6,50.73,76587.87,1.91,0.91,1.7,10.01,640045681,640045681,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,ABCAPITAL,354.0,340.0,341.2,-3.33,323.03,354.92,313.76,19.79,24.51,financials,finance & investments,-0.6,-0.06,0.15,-0.05,0.19,4.12,4.12,4.12,3.51,0.35,8.74,11.99,3.09,3.09,0.73,31.57,92459.0,2.01,1.78,0.75,10.01,824806142,2619606094,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,MANAPPURAM,307.75,292.05,293.2,-4.01,278.23,307.25,265.11,15.37,26.04,financials,finance & investments,0.21,-0.03,0.06,0.03,0.11,5.38,5.38,5.38,3.54,0.39,17.72,10.37,3.21,3.21,1.71,59.99,28692.02,2.44,1.41,1.82,11.09,640935088,939336102,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,HINDCOPPER,592.3,560.35,564.2,-1.52,531.19,551.41,589.79,87.07,83.76,metals & mining,mining / minerals / metals,2.54,0.54,1.29,0.57,1.33,5.7,5.7,5.7,3.64,0.91,32.23,20.53,3.1,3.1,1.57,137.87,55400.81,2.73,0.16,1.67,18.75,327410647,967024020,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,GRSE,2941.0,2778.2,2791.3,-5.11,2570.44,3001.51,2370.87,26.36,45.05,aerospace & defence,miscellaneous,-2.24,-0.04,0.06,0.05,0.12,5.86,5.86,5.86,5.59,0.47,249.93,156.08,4.97,4.97,1.6,59.34,33696.62,4.25,3.0,1.76,8.39,29210760,114552000,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,NAVINFLUOR,7070.0,6912.5,6950.5,-1.71,6635.67,6921.26,7008.98,41.88,54.25,chemicals,chemicals,2.29,0.07,0.34,0.08,0.36,2.28,2.28,2.28,2.72,0.55,573.92,189.3,3.1,3.1,3.03,43.75,36240.43,4.32,3.55,3.3,20.07,37356850,51248574,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,JBMA,711.2,645.15,657.05,-3.61,614.42,630.6,709.94,70.5,76.33,auto,auto ancillaries,4.09,-0.04,-0.01,-0.02,0.03,10.24,10.24,10.24,4.81,6.66,78.18,31.63,3.84,3.84,2.47,191.5,16120.63,4.48,1.44,2.81,37.62,76785978,236494264,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,SONACOMS,604.6,582.6,584.1,-1.59,553.03,588.05,576.19,47.26,57.57,auto,auto ancillaries,-3.96,0.11,0.26,0.11,0.28,6.35,6.35,3.78,3.62,2.74,44.08,21.17,3.57,3.57,2.08,162.0,36909.72,4.74,4.47,2.25,7.09,447636235,621846890,2026-05-13,,,,,,,,,,,,,,,,,
2026-05-13T00:47:33.284,CRAFTSMAN,9054.0,8601.0,8688.0,-1.34,8165.76,8078.56,9906.89,41.89,50.11,auto,auto ancillaries,11.72,0.18,0.23,0.19,0.25,5.27,5.27,5.27,5.09,1.01,1236.64,442.24,4.01,4.01,2.8,155.74,21007.23,4.75,1.79,3.26,19.67,12237570,23855583,2026-05-13,,,,,,,,,,,,,,,,,
