Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score,Low,Max2,W rsi,Adr p - adr%,Custom_indicator_69505,Vars,Smavars
2026-09-05T00:55:12.831,TEJASNET,622.8,570.0,614.15,8.23,578.28,524.39,793.67,-13.5,-10.97,telecom,telecommunications - equipment,7.6,0.22,0.32,0.05,0.22,12.97,12.97,9.26,4.64,15.44,75.81,28.52,3.83,3.83,2.66,779.2,10099.13,-1.78,-4.82,3.03,154.79,83068296,177973982,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,MTARTECH,7161.0,6850.0,7161.0,5.0,6728.69,6984.23,7514.53,109.63,157.18,aerospace & defence,engineering,-4.19,0.74,1.96,0.74,1.82,5.7,5.7,4.54,3.6,8.31,475.48,258.12,3.57,3.57,1.84,132.43,20978.04,-1.77,-2.9,1.97,120.49,21729927,30759591,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,DATAPATTNS,4666.0,4546.4,4585.0,-0.05,4325.08,4566.39,4622.21,290.93,95.85,aerospace & defence,electronics - components,-1.47,0.21,0.73,0.25,0.74,3.11,3.11,2.63,3.31,2.94,105.22,151.75,3.55,3.55,0.69,42.6,25681.53,-0.71,-1.47,0.71,25.44,32241586,55983969,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,GENUSPOWER,349.35,334.75,337.8,-0.56,318.49,333.68,346.05,11.88,14.42,consumer discretionary,electronics - components,1.97,0.21,0.08,0.23,0.09,4.36,4.36,4.36,4.16,4.26,19.36,14.04,4.13,4.13,1.38,61.87,10335.12,-0.56,-1.28,1.46,21.72,184558104,304242615,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,IDEA,15.16,14.51,15.02,3.73,14.3,14.62,15.83,-10.73,4.2,telecom-service,telecommunications - service provider,-0.69,0.38,0.21,0.3,0.17,4.99,4.99,4.48,3.55,7.82,1.21,0.53,3.78,3.78,2.27,131.95,156880.71,0.18,-3.55,2.47,95.62,80561956458,108343035001,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,TATATECH,830.95,796.1,800.0,-0.63,756.43,802.79,794.41,44.94,58.68,i.t,computers - software - medium / small,-1.28,0.28,0.18,0.28,0.19,4.38,4.38,4.38,3.64,0.63,26.83,29.15,3.54,3.54,0.92,63.38,32691.23,0.32,0.02,0.95,13.38,182027094,406051830,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,NETWEB,5424.0,5164.5,5193.0,-1.46,4842.7,5283.34,5012.32,86.67,114.81,i.t,computers - hardware,-4.05,0.48,0.54,0.48,0.57,6.06,6.06,5.02,4.59,2.55,465.34,238.47,4.82,4.82,1.95,116.9,30007.74,0.76,0.32,2.14,11.95,18799145,56940687,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,HINDCOPPER,523.95,518.0,521.65,0.61,492.17,534.32,496.32,35.83,44.17,metals & mining,mining / minerals / metals,-5.1,-0.14,0.3,-0.15,0.3,1.34,1.34,1.15,3.49,1.05,7.62,18.19,4.01,4.01,0.42,40.13,50140.2,0.87,-1.06,0.43,20.07,327410647,967024020,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,WOCKPHARMA,2108.5,1976.1,2088.7,7.08,1974.69,1853.38,2559.34,79.72,77.4,healthcare,pharmaceuticals - indian - bulk drugs & formln,2.76,0.48,0.43,0.37,0.34,11.48,11.48,6.7,4.06,13.64,179.54,84.72,4.01,4.01,2.12,490.77,31695.72,1.33,-2.09,2.32,132.91,82733321,162492169,2026-09-05,,,,,,,,,,,,,,,,
2026-09-05T00:55:12.831,MRPL,178.9,174.25,174.83,-0.66,164.97,169.88,184.74,8.09,9.82,energy,refineries,2.73,-0.22,0.14,-0.18,0.15,2.67,2.67,2.67,3.38,3.16,7.97,5.91,4.03,4.03,1.35,19.59,30843.99,1.42,-0.13,1.41,9.82,200091162,1752598777,2026-09-05,,,,,,,,,,,,,,,,
