Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,From52wh,3d range,5d,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score,Low,Max2,W rsi,Adr p - adr%,Custom_indicator_69505,Vars,Smavars
2026-09-10T05:59:27.214,TEJASNET,600.0,574.0,575.9,-2.4,539.87,550.83,626.05,-12.66,-11.13,telecom,telecommunications - equipment,9.38,0.13,0.23,0.16,0.26,4.53,4.53,4.53,4.71,0.33,38.83,27.14,3.96,3.96,1.43,62.64,10249.52,-2.09,-4.55,1.53,7.0,8.3068296e7,177973982,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,GVT&D,4825.0,4638.8,4673.0,-1.62,4413.01,4266.65,5485.7,82.39,91.66,industrials,electric equipment,10.15,0.14,0.43,0.13,0.45,4.66,4.66,4.01,3.76,8.14,296.56,175.7,3.12,3.12,1.69,102.69,119650.55,-0.67,-4.49,1.8,19.46,1.25462802e8,256046535,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,IDEA,15.79,15.2,15.52,0.65,14.79,14.93,16.7,-11.09,4.5,telecom-service,telecommunications - service provider,4.1,0.47,0.25,0.41,0.24,3.88,3.88,3.88,3.39,3.05,1.65,0.53,3.62,3.62,3.15,137.77,168148.39,0.43,-2.64,3.52,60.91,8.0561956458e10,108343035001,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,MTARTECH,7945.0,7410.0,7501.0,-3.83,7029.84,7053.77,8395.47,114.83,172.87,aerospace & defence,engineering,6.49,0.93,1.96,0.92,2.08,7.22,7.22,7.22,4.35,4.62,818.86,326.08,3.75,3.75,2.51,88.37,23072.77,0.48,-2.28,2.82,27.91,2.1729927e7,30759591,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,DATAPATTNS,4999.9,4846.0,4883.2,-1.0,4616.31,4577.76,5494.07,309.85,102.03,aerospace & defence,electronics - components,1.46,0.33,0.77,0.31,0.79,8.29,8.29,3.18,3.48,7.22,385.44,169.75,3.66,3.66,2.27,74.07,27338.09,1.37,-1.16,2.47,21.91,3.2241586e7,55983969,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,NETWEB,5127.5,4881.5,4898.5,-3.71,4557.94,5175.14,4345.22,81.75,106.72,i.t,computers - hardware,-3.58,0.38,0.48,0.4,0.54,5.04,5.04,5.04,4.56,0.35,138.0,223.33,4.88,4.88,0.62,112.78,27892.4,1.46,0.86,0.64,7.61,1.8799145e7,56940687,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,HINDCOPPER,545.0,530.5,532.3,-0.1,502.94,519.59,557.72,36.56,45.34,metals & mining,mining / minerals / metals,-1.56,-0.1,0.18,-0.11,0.18,4.81,4.81,2.73,3.48,5.07,16.54,18.5,3.69,3.69,0.89,148.34,51474.69,1.94,-0.42,0.92,9.73,3.27410647e8,967024020,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,NIACL,210.2,201.38,205.51,0.14,189.24,199.26,218.0,-34.95,43.91,financials,finance & investments,3.96,0.38,0.32,0.36,0.32,5.35,5.35,4.38,7.32,3.0,22.05,15.05,5.43,5.43,1.47,187.99,33868.05,2.32,1.41,1.64,27.44,2.4e8,1648000000,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,SAIL,189.4,185.36,186.4,0.16,176.56,193.29,172.61,11.71,18.03,metals & mining,steel - large,-3.25,0.12,0.37,0.14,0.37,2.18,2.18,2.18,3.62,0.56,11.94,6.75,3.88,3.88,1.77,70.25,76992.99,2.36,-1.37,1.89,15.41,1.445810739e9,4130525289,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,EPL,250.3,245.1,246.7,-0.56,231.72,247.76,244.59,20.02,20.37,industrials,packaging,-1.66,0.17,0.12,0.16,0.12,2.12,2.12,2.12,4.15,0.65,5.53,10.23,4.17,4.17,0.54,53.97,7901.3,2.37,1.74,0.55,15.64,2.35799878e8,320279659,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,MOTILALOFS,1049.6,1019.0,1025.0,-2.52,981.85,1049.48,976.04,12.12,31.14,financials,finance & investments,-0.48,0.35,0.11,0.34,0.14,3.0,3.0,3.0,2.85,0.59,75.76,29.19,3.03,3.03,2.6,39.4,61720.04,2.4,1.75,2.8,20.55,1.97478952e8,602146704,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,SYRMA,1660.0,1616.0,1622.4,-1.02,1538.66,1475.63,1915.95,78.15,84.28,consumer discretionary,electronics - components,10.31,0.97,1.14,0.97,1.16,4.26,4.26,2.72,3.71,11.25,190.67,60.15,3.54,3.54,3.17,72.63,31284.82,2.64,1.41,3.59,10.64,1.11298962e8,192830485,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,PAISALO,80.5,77.11,79.92,2.83,75.76,69.74,100.27,29.82,28.85,financials,finance & investments,14.24,1.25,1.19,1.15,1.14,4.94,4.94,4.4,3.81,7.64,9.04,3.04,3.6,3.6,2.97,135.52,7268.9,2.79,2.02,3.35,92.34,4.84634574e8,909521874,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,HFCL,254.0,240.65,245.43,-2.13,229.13,238.28,259.73,41.18,63.91,telecom,cables - telephone,3.44,2.14,2.69,2.28,2.78,5.55,5.55,5.55,4.75,3.29,25.94,11.65,4.32,4.32,2.23,32.09,37565.58,3.05,2.55,2.49,41.05,1.097557869e9,1530602463,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,TATATECH,794.0,783.0,787.65,-1.36,746.38,786.79,789.37,44.25,57.41,i.t,computers - software - medium / small,-1.93,0.3,0.16,0.29,0.18,1.57,1.57,1.4,3.27,1.21,8.44,25.75,3.31,3.31,0.33,37.15,31982.67,3.47,0.15,0.33,18.06,1.82027094e8,406051830,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,PARAS,1547.4,1459.0,1470.0,-2.26,1370.39,1446.78,1516.43,139.73,125.43,aerospace & defence,engineering,3.09,0.99,1.12,0.96,1.17,6.06,6.06,6.06,4.64,3.93,139.93,68.15,5.19,5.19,2.05,77.36,11846.34,3.68,3.49,2.27,16.14,3.7718746e7,80587330,2026-09-10,,,,,,,,,,,,,,,,,,,
2026-09-10T05:59:27.214,APARINDS,18132.0,17350.0,17448.0,-1.06,16429.45,17385.38,17573.24,37.48,59.32,industrials,electric equipment,-0.06,0.74,0.94,0.61,0.96,4.51,4.51,4.51,3.75,0.82,1826.06,653.52,3.91,3.91,2.79,68.75,73058.85,3.76,1.52,3.12,15.0,1.6969932e7,40174235,2026-09-10,,,,,,,,,,,,,,,,,,,
