Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Lod dist%,Vars,Smavars,Market_cap,Max2,W rsi,Low,Adr p - adr%,Custom_indicator_69505
2026-09-12T08:29:07.952,TEJASNET,560.4,539.4,552.65,0.52,515.13,559.0,539.95,-12.15,-10.68,telecom,telecommunications - equipment,-0.68,0.2,0.17,0.14,0.17,3.89,3.89,3.89,5.15,2.46,17.45,28.47,4.26,4.26,0.61,74.03,9835.73,-1.57,-4.22,0.63,46.55,83068296,177973982,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,ACUTAAS,3488.0,3350.0,3383.7,-1.96,3197.6,3151.06,3848.99,93.27,71.73,healthcare,pharmaceuticals - indian - bulk drugs,3.17,0.5,0.98,0.44,1.02,8.32,8.32,4.12,3.55,6.36,63.92,120.12,3.77,3.77,0.53,95.46,27702.73,-1.39,-1.71,0.54,28.06,55129706,81871122,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,GVT&D,4548.1,4428.7,4548.1,0.07,4294.82,4362.63,4919.04,80.19,89.21,industrials,electric equipment,6.03,0.16,0.43,0.11,0.43,2.7,2.7,2.7,3.63,2.7,174.28,165.06,3.13,3.13,1.06,59.19,116452.52,1.15,-3.93,1.1,72.34,125462802,256046535,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,PWL,137.12,125.37,136.1,7.39,127.29,119.95,168.4,-126.02,1134.17,services,miscellaneous,6.81,0.49,0.01,0.38,-0.06,9.37,9.37,9.37,4.4,10.14,7.83,5.99,4.83,4.83,1.31,267.51,39481.07,1.38,-0.46,1.39,179.27,833349036,2900886652,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,SAIL,182.43,178.65,179.0,-2.58,169.5,191.96,153.08,11.24,17.31,metals & mining,steel - large,-5.32,0.1,0.29,0.09,0.33,2.12,2.12,2.12,3.47,0.2,4.05,6.2,3.49,3.49,0.65,45.81,73936.4,1.66,-0.38,0.67,5.64,1445810739,4130525289,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,DATAPATTNS,4848.0,4655.5,4829.2,1.09,4558.81,4615.78,5256.03,306.42,100.9,aerospace & defence,electronics - components,3.18,0.38,0.76,0.31,0.74,4.13,4.13,4.13,3.67,3.73,322.58,177.01,3.77,3.77,1.82,61.38,27035.78,1.97,-0.87,1.95,98.13,32241586,55983969,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,MTARTECH,7399.0,7005.0,7312.5,0.1,6831.56,7131.19,7675.13,111.95,168.53,aerospace & defence,engineering,1.38,0.99,1.96,0.9,1.96,5.62,5.62,5.62,4.62,4.39,626.69,338.08,3.89,3.89,1.85,33.37,22492.95,2.33,-1.76,2.03,90.96,21729927,30759591,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,MOTILALOFS,1030.7,988.0,1026.5,1.13,983.11,1049.57,980.37,12.13,31.18,financials,finance & investments,-3.99,0.39,0.16,0.33,0.15,4.32,4.32,4.32,2.88,3.9,74.93,29.58,3.15,3.15,2.53,50.91,61810.36,2.68,2.16,2.73,130.14,197478952,602146704,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,WABAG,2319.0,2164.6,2277.9,2.99,2149.61,2036.85,2759.99,39.68,33.03,realty,engineering - turnkey services,5.6,0.71,0.73,0.58,0.69,9.55,9.55,7.13,4.12,13.26,245.21,93.82,4.2,4.2,2.61,296.96,14203.79,2.75,1.42,2.93,120.76,50459608,62354776,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-12T08:29:07.952,GRANULES,914.85,881.25,909.3,1.12,869.71,846.55,1034.81,31.31,33.6,healthcare,pharmaceuticals - indian - bulk drugs & formln,4.52,0.49,0.46,0.4,0.44,5.14,5.14,3.81,3.1,4.51,50.59,28.2,3.03,3.03,1.79,705.89,22532.17,3.15,1.39,1.9,99.45,153593396,247796921,2026-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
