Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,From52wh,3d range,5d,Lod dist%,Vars,Smavars,Market_cap,Low,Max2,W rsi,Adr p - adr%
2026-09-11T14:30:26.856,CPPLUS,3843.6,0.38,3699.5,3662.0,3651.23,4132.16,0.61,79.61,93.71,61.17,consumer discretionary,trading,20.21,5.27,142.85,1.19,1.49,3526.5,3345.07,43.56,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,LAURUSLABS,1972.1,1.39,1879.74,1832.7,1890.59,2094.37,0.62,72.4,96.0,68.57,healthcare,pharmaceuticals - indian - bulk drugs & formln,30.38,4.31,94.61,0.81,0.76,1873.88,1802.81,29.5,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,PFOCUS,311.6,-0.62,300.86,301.0,299.36,329.96,0.27,-146.98,203.6,60.57,realty,miscellaneous,27.47,4.09,16.38,0.12,0.27,287.35,273.16,22.13,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,FINCABLES,1448.8,2.14,1313.3,1211.1,1279.42,1702.87,2.41,22.25,27.12,70.24,industrials,cables - power,37.16,13.24,77.09,0.56,0.89,1277.77,1198.7,18.88,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,GRANULES,909.0,1.08,863.63,842.2,846.53,1002.71,6.61,31.3,33.23,66.74,healthcare,pharmaceuticals - indian - bulk drugs & formln,19.47,7.38,57.18,0.49,0.46,850.3,812.13,18.75,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,SOLARINDS,22415.0,0.2,21687.4,21450.0,21604.01,23631.49,0.92,77.71,101.65,75.94,aerospace & defence,chemicals,31.97,3.75,66.72,0.45,0.76,21436.42,20787.48,15.94,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,GVT&D,4534.4,-0.23,4340.13,4321.1,4361.97,4793.05,0.5,79.94,89.15,55.29,industrials,electric equipment,17.14,3.95,23.5,0.16,0.43,4202.27,3959.98,15.69,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,PTCIL,23100.0,3.19,21613.9,22055.0,23401.66,22647.52,0.92,296.61,267.19,64.26,industrials,castings & forgings,52.07,-1.29,25.94,0.25,0.16,21299.99,20059.98,15.22,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,GRAPHITE,823.65,-0.14,769.4,713.0,729.92,964.24,1.42,23.35,75.53,69.76,industrials,electrodes - graphites,36.62,12.84,23.54,0.22,0.32,729.75,665.68,14.47,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,AUROPHARMA,1675.6,0.43,1622.39,1646.0,1651.66,1711.5,0.37,23.45,26.07,56.38,healthcare,pharmaceuticals - indian - bulk drugs & formln,25.6,1.45,46.14,0.19,0.35,1601.78,1552.22,14.09,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,RBLBANK,412.45,0.4,397.88,406.0,401.65,428.65,0.53,33.05,29.47,66.39,bank,banks - private sector,27.58,2.69,33.68,0.29,0.31,395.15,383.22,11.69,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,PNBHOUSING,1175.1,-0.33,1138.76,1132.8,1151.59,1210.36,1.04,13.73,13.27,56.65,financials,finance - housing,24.71,2.04,37.55,0.42,0.22,1111.56,1078.4,11.51,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,PAYTM,1813.2,4.27,1692.26,1636.0,1690.99,1996.52,1.8,131.77,171.16,71.65,i.t,miscellaneous,42.53,7.23,56.38,0.71,0.34,1692.91,1603.6,11.18,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,EMCURE,1988.8,1.32,1909.24,1889.9,1852.26,2193.61,0.71,32.08,36.79,66.04,healthcare,pharmaceuticals - indian - bulk drugs & formln,19.26,7.37,32.69,0.27,0.37,1884.52,1816.52,10.99,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,FLUOROCHEM,4782.0,-0.09,4635.4,4470.0,4618.22,5027.66,0.51,59.27,85.95,59.92,chemicals,chemicals,35.23,3.55,37.01,0.43,0.27,4485.37,4300.9,10.74,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,GESHIP,1408.5,0.59,1361.61,1352.0,1341.46,1509.06,0.77,3.84,5.34,61.17,transportation,shipping,17.77,5.0,4.45,-0.11,0.24,1345.39,1301.26,10.28,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,NYKAA,343.85,0.56,332.27,330.1,335.88,355.8,0.42,307.01,384.21,59.3,i.t,trading,27.25,2.37,24.14,0.33,0.28,329.78,319.88,10.14,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,ABSLAMC,1103.9,1.41,1045.76,1012.0,1036.41,1205.14,1.79,25.74,31.2,64.47,financials,finance & investments,17.05,6.51,28.34,0.09,0.35,1023.9,976.9,8.84,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,BALRAMCHIN,700.6,-0.65,673.46,687.2,685.95,722.57,0.29,81.09,38.43,56.29,fmcg,sugar,37.21,2.14,52.04,0.33,0.57,636.84,597.43,8.43,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,ADANIPORTS,1771.4,0.19,1715.78,1685.2,1686.6,1898.6,0.61,28.19,30.18,59.73,transportation,miscellaneous,21.35,5.03,14.03,0.2,0.18,1694.81,1637.57,7.78,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,BOSCHLTD,48545.0,-0.47,47285.0,46535.0,48549.82,48537.78,0.37,50.69,60.87,59.76,auto,auto ancillaries,40.61,-0.01,32.75,0.48,0.32,46565.22,45495.38,5.53,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,ANTHEM,941.0,-0.14,914.05,920.0,933.2,952.7,0.83,110.45,91.93,63.05,healthcare,pharmaceuticals - indian - bulk drugs & formln,42.6,0.84,35.97,0.35,0.42,880.52,846.15,4.87,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11T14:30:26.856,ASAHIINDIA,992.25,1.64,944.33,949.0,957.55,1044.3,0.9,42.4,56.85,71.68,building materials,glass & glass products,16.92,3.62,1.33,0.1,-0.01,946.67,912.74,4.49,2026-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
