Timestamp,Date,4.5r,4.5chg,20r,20chg,50r,50chg,52wh,52wl,>4.5+,<4.5-,>10sma,<10sma,>20sma,<20sma,>50sma,<50sma,>200sma,<200sma,Total stocks
2026-03-20T13:36:14.625,20th Mar'26,628.57,7757.14,21.62,57.28,20.64,31.47,0.41,3.49,4.95,0.79,31.9,66.53,17.43,80.62,16.64,80.62,15.4,74.92,2668
2026-03-20T09:58:23.28,19th Mar'26,8.0,-99.57,14.03,-41.61,15.93,-33.26,0.3,7.91,1.05,13.06,18.33,80.07,12.06,85.96,13.36,83.87,14.45,75.81,2679
2026-03-19T19:20:57.29,18th Mar'26,1880.0,511.75,24.01,90.91,23.92,32.63,0.34,2.83,14.2,0.76,40.45,59.18,19.18,79.91,19.0,79.42,17.14,74.17,2648
2026-03-18T18:58:53.468,17th Mar'26,300.0,864.29,12.53,24.85,17.93,13.62,0.42,9.03,4.76,1.59,17.82,81.72,11.03,88.03,14.95,83.42,15.37,75.83,2648
2026-03-17T19:19:28.338,16th Mar'26,30.85,306.51,10.28,-22.08,15.95,-10.29,0.38,21.81,2.17,7.05,12.33,87.14,9.22,89.73,13.53,84.82,14.81,76.39,2668
2026-03-16T19:17:36.06,13th Mar'26,7.73,-93.65,12.9,-44.68,17.55,-30.95,0.45,13.77,1.28,16.6,14.23,85.09,11.28,87.47,14.68,83.62,14.98,76.11,2650
2026-03-15T08:58:05.86,12th Mar'26,120.29,-20.56,23.44,5.45,25.55,-1.17,0.72,8.5,3.13,2.61,26.06,73.23,18.77,80.06,20.02,78.32,17.45,73.64,2648
2026-03-15T08:58:05.86,11th Mar'26,154.29,-84.14,22.26,4.65,25.88,-5.7,0.94,2.91,4.08,2.64,25.63,73.8,18.01,80.9,20.23,78.18,17.78,73.31,2649
2026-03-15T08:58:05.86,10th Mar'26,944.12,8687.56,21.21,47.08,27.38,38.51,0.76,3.78,12.12,1.28,23.26,76.06,17.3,81.53,21.15,77.23,18.01,73.11,2648
2026-03-15T08:58:05.86,9th Mar'26,10.51,-91.59,14.66,-28.02,19.94,-25.89,0.41,22.02,1.46,13.92,10.84,88.52,12.64,86.23,16.35,82.03,16.35,74.79,2666
2026-03-15T08:58:05.86,6th Mar'26,137.1,-67.13,20.2,-4.22,26.76,-3.41,0.79,5.02,3.21,2.34,16.92,82.36,16.62,82.28,20.78,77.64,18.74,72.35,2647
2026-03-15T08:58:05.86,5th Mar'26,394.59,2083.42,21.05,34.98,27.66,13.13,0.87,8.39,5.52,1.4,17.28,82.0,17.2,81.74,21.32,77.09,20.11,71.04,2645
2026-03-15T08:58:05.86,4th Mar'26,18.07,-6.12,15.63,-33.76,24.49,-24.59,0.42,16.71,2.27,12.55,11.04,88.24,13.38,85.63,19.36,79.05,18.45,72.67,2645
