Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,Scan_Date,Low,Max2,R_vol,Rsi,W rsi,Adx,Lod dist,Adr p - adr%,Custom_indicator_69505,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-04-01T15:09:06.087,IPCALAB,1620.0,1511.6,1512.6,-5.53,1426.06,1533.06,1471.68,29.41,44.65,healthcare,pharmaceuticals - indian - bulk drugs & formln,1.77,0.04,0.0,0.11,0.06,7.17,7.17,7.17,4.31,0.07,1.53,17.85,65.18,3.74,5.5,6.63,0.27,215.91,40623.12,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,ADANIPOWER,158.15,153.44,156.9,4.3,148.08,150.1,170.5,30.41,8.33,power & utilities,power generation and supply,0.7,-0.0,0.25,-0.06,0.2,6.0,6.0,3.07,4.13,5.16,53.42,12.63,6.48,4.17,6.83,4.67,1.95,178.68,290099.66,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,WHEELS,1044.0,986.95,988.0,-0.93,915.17,997.98,968.04,16.73,17.99,auto,auto ancillaries,1.72,0.01,0.18,0.01,0.19,5.78,5.78,5.78,5.84,0.11,1.82,101.71,57.7,5.53,10.1,6.65,1.76,166.48,2436.58,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,COALINDIA,464.85,446.8,448.85,-0.36,428.83,451.73,443.09,9.67,9.3,metals & mining,mining / minerals / metals,-2.52,0.06,0.12,0.06,0.13,4.91,4.91,4.04,3.22,1.77,14.18,12.57,14.46,3.19,7.18,8.97,0.87,124.64,277600.1,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,AVL,487.5,458.0,468.65,-1.98,439.94,445.2,515.55,55.27,55.34,consumer discretionary,trading,7.29,-0.23,0.22,-0.21,0.25,6.44,6.44,6.44,4.33,2.33,52.52,-12.87,20.28,4.33,4.68,3.61,-0.64,114.89,6174.09,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,APARINDS,10350.0,9764.0,9796.0,-0.86,9024.41,9271.08,10845.84,47.09,40.77,industrials,electric equipment,6.16,0.1,0.05,0.08,0.06,6.15,6.15,6.0,5.77,0.47,5.66,423.25,565.35,5.34,11.96,7.75,0.75,113.01,39690.31,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,GESHIP,1491.9,1435.5,1458.8,3.12,1372.15,1406.13,1564.13,6.41,8.93,transportation,shipping,-1.32,0.35,0.42,0.33,0.38,7.4,7.4,3.93,4.36,5.02,36.63,147.27,63.61,4.57,12.96,12.33,2.32,109.79,20197.27,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,DELHIVERY,441.0,427.0,431.7,3.6,409.77,405.32,484.47,203.63,204.26,transportation,miscellaneous,2.22,-0.12,-0.01,-0.13,-0.04,7.18,7.18,3.28,3.69,4.92,29.47,10.12,15.95,3.36,6.96,5.61,0.64,100.98,31173.15,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,ATHERENERG,783.85,753.0,771.6,2.33,718.02,742.29,830.22,-86.89,-37.09,auto,automobiles - scooters and 3 - wheelers,2.12,0.26,1.19,0.19,1.15,5.62,5.62,4.1,5.21,3.97,46.27,73.53,40.2,5.04,10.12,6.33,1.83,97.25,28790.82,2026-04-01,,,,,,,,,,,,,,,
2026-04-01T15:09:06.087,KTKBANK,233.41,226.0,230.79,3.51,215.83,224.21,243.95,7.5,7.3,bank,banks - private sector,-0.68,0.24,0.16,0.19,0.12,5.22,5.22,3.28,4.83,4.66,42.99,25.05,11.14,5.1,9.59,7.32,2.25,96.2,8431.02,2026-04-01,,,,,,,,,,,,,,,
