Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,From52wh,3d range,5d
2026-07-22T12:45:57.125,HFCL,222.05,1.87,213.88,203.16,216.67,230.12,0.43,45.88,102.33,60.14,telecom,cables - telephone,34.41,2.48,244.51,2.23,1.79,203.13,191.89,44.22,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,AEGISLOG,1341.2,2.11,1294.87,1265.8,1346.71,1332.94,0.38,28.68,51.33,62.66,services,trading,52.9,-0.41,83.87,0.84,0.7,1167.1,1063.33,19.95,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,CHENNPETRO,1298.0,3.17,1243.62,1168.1,1152.54,1516.19,1.87,3.4,6.04,66.2,energy,refineries,24.07,12.62,45.68,0.49,0.28,1175.69,1100.95,19.19,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,FEDERALBNK,354.35,-0.48,345.84,323.4,335.94,381.97,0.15,17.4,18.72,75.12,bank,banks - private sector,38.25,5.48,33.53,0.2,0.44,337.2,327.25,16.65,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,BHEL,414.35,0.25,405.72,407.05,401.51,433.6,0.46,95.91,59.13,55.31,industrials,electric equipment,24.03,3.2,50.9,0.53,0.5,384.5,368.77,15.85,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,RADICO,4104.2,0.39,3990.56,4063.5,4137.53,4054.2,0.38,76.51,90.53,67.69,fmcg,breweries & distilleries,44.04,-0.81,29.75,0.37,0.24,3935.93,3856.52,11.92,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,MOTHERSON,145.58,0.25,142.1,142.11,140.63,153.0,0.45,25.63,37.24,55.08,auto,auto ancillaries,18.45,3.52,24.75,0.24,0.35,139.48,136.92,10.51,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,M&MFIN,374.8,7.13,353.88,317.6,332.49,438.27,9.59,14.07,14.95,75.51,financials,finance & investments,28.48,12.73,2.74,-0.02,0.14,336.47,317.42,9.29,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,TITAN,4711.2,0.48,4581.5,4580.0,4636.15,4823.77,0.7,88.69,81.98,71.88,consumer discretionary,diamond cutting / jewellery,33.61,1.62,20.21,0.07,0.19,4583.45,4509.43,9.11,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,ABB,7551.0,0.25,7336.28,7191.0,7099.78,8227.83,0.36,22.43,53.6,64.28,industrials,electric equipment,21.35,6.36,48.14,0.48,0.39,7099.73,6849.28,9.08,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,CARTRADE,2800.4,2.73,2675.4,2653.3,2782.85,2826.73,0.17,51.86,58.26,60.72,consumer discretionary,miscellaneous,59.84,0.63,4.2,0.02,-0.07,2557.26,2399.51,8.94,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,TVSMOTOR,3923.6,3.47,3751.44,3549.9,3643.27,4344.1,2.1,45.71,52.56,70.78,auto,automobiles - motorcycles / mopeds,21.01,7.69,9.24,0.0,0.09,3682.33,3542.77,8.55,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,BAJAJ-AUTO,10885.5,4.63,10363.5,10278.0,10236.6,11858.85,2.53,23.56,24.71,68.98,auto,automobiles - scooters and 3 - wheelers,22.92,6.34,23.27,0.09,0.2,10379.11,10022.82,7.85,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,INDUSINDBK,1063.3,-0.01,1034.54,1005.55,1028.8,1115.05,0.87,34.84,93.2,72.46,bank,banks - private sector,37.5,3.35,27.43,0.08,0.3,1017.14,988.98,6.36,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,NESTLEIND,1474.6,1.56,1424.92,1405.1,1435.57,1533.15,2.17,63.89,67.5,62.58,fmcg,food - processing - mnc,16.38,2.72,19.62,0.05,0.13,1410.6,1398.01,5.79,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,3MINDIA,35585.0,1.18,34329.4,34710.0,35557.78,35625.83,0.6,46.54,75.85,59.83,miscellaneous,diversified - large,16.27,0.08,1.63,-0.02,-0.04,33798.87,32804.28,4.91,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,JSWSTEEL,1265.9,-0.12,1236.47,1218.0,1216.49,1340.01,1.8,16.61,12.48,55.6,metals & mining,steel - large,14.19,4.06,17.0,0.01,0.04,1219.51,1198.12,4.84,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,MARICO,855.65,0.25,826.88,829.9,846.09,869.99,0.23,70.37,62.62,59.52,fmcg,solvent extraction,38.21,1.13,15.35,0.05,0.15,824.56,803.59,4.49,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,AEGISVOPAK,298.55,3.5,276.68,262.4,285.16,318.64,1.52,120.38,135.42,66.59,transportation,miscellaneous,48.58,4.7,14.58,0.35,0.05,263.86,241.19,3.85,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,INDIACEM,409.8,1.14,388.18,383.15,383.6,449.1,1.12,117.76,135.97,61.9,building materials,cement - south india,17.36,6.83,-4.87,-0.18,-0.01,377.62,356.68,3.85,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T12:45:57.125,DIVISLAB,7363.5,0.46,7075.11,7200.0,7120.84,7727.49,0.65,65.03,75.76,72.97,healthcare,pharmaceuticals - indian - bulk drugs,39.13,3.41,15.42,0.13,0.05,7059.83,6866.57,2.4,2026-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
