Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Lod dist%,Vars,Smavars,Market_cap,From52wh,3d range,5d,Low 2%,Low5,R_vol,Rsi,Adx,Rs,Is,Tps,Rs score
2026-04-13T13:52:24.325,PAYTM,1108.15,1082.5,1104.7,-1.7,1034.94,1015.18,1283.74,78.46,-416.24,i.t,miscellaneous,10.71,-0.18,0.0,-0.18,0.02,2.37,2.37,2.37,4.36,2.05,10.25,48.18,4.1,0.21,41.36,71874.62,0.57,-0.65,0.22,46.08,6.39539256e8,639539256,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,ABCAPITAL,340.5,325.0,338.7,-0.94,318.56,303.17,409.75,23.39,25.5,financials,finance & investments,14.45,0.06,0.26,0.05,0.27,4.77,4.77,4.77,4.28,4.22,7.91,14.49,3.67,0.55,26.62,89564.33,1.29,1.06,0.56,94.54,8.24806142e8,2619606094,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,BOSCHLTD,37385.0,36420.0,36700.0,-1.69,34860.25,32153.38,45793.24,50.81,39.94,auto,auto ancillaries,21.85,-0.13,-0.06,-0.11,-0.05,2.65,2.65,2.65,3.8,2.44,2727.8,1393.18,3.56,1.96,134.94,110099.76,1.85,-0.23,2.12,20.1,8.688416e6,29493640,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,APOLLO,235.69,227.69,233.53,-1.7,215.27,193.93,312.74,84.61,89.99,aerospace & defence,electronics - components,28.02,-0.32,0.31,-0.35,0.34,3.51,3.51,3.51,5.58,12.76,10.97,13.04,5.08,0.84,104.62,8488.2,2.21,1.17,0.88,44.8,1.7156824e8,357292440,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,GMRAIRPORT,95.25,91.6,95.05,-0.21,89.74,87.65,109.85,198.02,-272.14,miscellaneous,miscellaneous,10.18,-0.03,0.02,-0.04,0.03,3.98,3.98,3.98,3.71,3.77,0.46,3.53,3.67,0.13,37.64,100574.25,2.25,1.13,0.13,97.72,3.564696146e9,10558975952,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,HBLENGINE,754.7,706.0,750.5,2.72,700.81,661.48,928.55,23.6,25.43,auto,auto ancillaries,13.13,-0.22,0.27,-0.24,0.24,6.9,6.9,6.9,4.61,6.3,42.28,34.56,4.45,1.22,117.04,20253.25,2.42,0.01,1.3,128.76,1.13342637e8,277194946,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,HEG,573.9,545.0,568.35,1.41,530.4,532.18,640.69,13.25,28.36,industrials,electrodes - graphites,7.49,0.02,0.07,-0.04,0.06,5.3,5.3,5.3,4.44,4.28,30.6,25.21,4.59,1.21,35.62,10815.43,2.69,2.68,1.28,92.63,8.436866e7,192977530,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,RADICO,2822.7,2710.0,2817.0,0.87,2659.53,2610.36,3230.29,60.87,72.29,fmcg,breweries & distilleries,5.11,-0.13,0.01,-0.15,0.0,4.16,4.16,4.16,3.68,4.41,87.73,103.76,3.81,0.85,34.01,37392.43,2.75,1.72,0.87,103.12,8.0063671e7,133893489,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,AUBANK,979.3,948.1,975.6,-0.63,923.66,877.18,1172.45,27.28,31.64,bank,banks - private sector,13.27,0.18,0.29,0.18,0.3,3.29,3.29,3.29,3.73,2.9,25.35,36.37,3.46,0.7,22.37,73358.2,2.87,2.09,0.72,75.62,5.76882306e8,747180718,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,OLECTRA,1238.9,1173.55,1208.95,2.09,1121.84,1062.47,1501.91,53.49,67.98,auto,automobiles - lcvs / hcvs,10.99,-0.27,-0.21,-0.29,-0.23,9.21,9.21,5.57,5.43,12.99,190.82,65.66,6.0,2.91,236.52,9720.41,3.11,0.8,3.45,53.91,4.1027737e7,82080737,2026-04-13,,,,,,,,,,,,,,,,
2026-04-13T13:52:24.325,ADANIPORTS,1477.9,1421.0,1474.1,-0.08,1397.89,1346.87,1728.56,26.25,25.56,transportation,miscellaneous,9.54,-0.04,0.02,-0.03,0.02,4.0,4.0,4.0,3.66,4.16,19.27,53.9,3.07,0.36,91.04,339903.09,3.45,2.2,0.36,98.52,7.3676286e8,2303959098,2026-04-13,,,,,,,,,,,,,,,,
