Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,From52wh,3d range,5d,Free float,Low,Max2,W rsi,Lod dist,Adr p - adr%
2026-05-18T18:24:18.163,MCX,3348.4,-1.26,3240.08,3131.0,3171.69,3613.47,0.81,40.28,19.05,76.34,financials,miscellaneous,40.2,5.57,78.16,0.6,1.19,3128.48,2984.15,40.46,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,HINDCOPPER,581.15,1.91,562.96,560.35,562.85,608.6,1.65,31.65,60.09,57.12,metals & mining,mining / minerals / metals,19.64,3.25,76.33,0.6,1.44,530.37,503.04,37.76,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,ACUTAAS,2799.1,2.49,2660.21,2702.8,2746.27,2878.35,0.63,43.49,62.77,64.8,healthcare,pharmaceuticals - indian - bulk drugs,32.84,1.92,87.05,0.51,0.92,2590.45,2453.56,32.52,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,LAURUSLABS,1327.3,0.28,1281.45,1246.6,1249.97,1443.3,0.93,64.18,80.36,80.55,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.87,6.19,51.26,0.22,0.5,1258.77,1213.58,27.46,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,VEDL,327.0,-1.22,314.24,298.1,310.79,351.32,0.41,4.77,7.43,66.09,metals & mining,mining / minerals / metals,34.0,5.22,88.67,0.59,1.08,299.14,280.59,26.4,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,POWERINDIA,32800.0,0.82,31364.9,31195.0,33802.51,31296.23,0.58,139.81,170.66,60.78,industrials,electric equipment,37.14,-2.97,87.95,0.41,0.66,30385.01,28723.77,24.23,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,SCI,344.7,4.01,318.75,318.15,331.21,364.93,2.27,9.92,11.41,69.94,transportation,shipping,38.75,4.07,49.24,0.2,0.58,300.77,274.82,22.79,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,GESHIP,1696.5,10.6,1503.22,1462.1,1532.98,1941.78,15.34,5.8,7.44,68.79,transportation,shipping,33.73,10.67,64.9,0.38,0.77,1496.53,1380.06,20.9,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,IDEA,12.86,-0.7,12.2,11.63,12.08,14.03,2.14,-6.56,-4.91,79.02,telecom-service,telecommunications - service provider,43.88,6.44,59.81,0.08,0.92,11.59,10.83,20.28,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,BSE,4120.7,3.0,3861.2,3840.3,3962.56,4357.9,1.13,53.24,66.01,76.84,financials,miscellaneous,44.67,3.99,68.33,0.34,0.9,3856.28,3671.27,18.84,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
