Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,High,Low,Initial_atr1.5sl,Max2,W rsi,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist,E_s50,Avg_true_range,Adr p - adr%
2026-04-07T13:50:12.114,NATCOPHARM,0.21,11.28,13.38,healthcare,pharmaceuticals - indian - bulk drugs & formln,9831.08,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,DCI,1.15,25.15,35.99,services,trading,240.16,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,CCL,1.44,12.36,13.22,fmcg,tea,8224.81,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,SEAMECLTD,2.1,11.61,16.5,miscellaneous,miscellaneous,1069.6,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,BLISSGVS,2.11,11.21,14.42,healthcare,pharmaceuticals - indian - formulations,1640.14,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,MBAPL,2.18,12.17,21.06,chemicals,fertilizers,1189.82,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,GPIL,2.29,6.49,6.69,metals & mining,steel - medium / small,6929.03,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,SBC,2.37,9.2,11.24,textiles,textiles - products,758.22,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,MTARTECH,2.38,10.96,14.11,aerospace & defence,engineering,8169.9,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,GRANULES,2.64,7.77,7.77,healthcare,pharmaceuticals - indian - bulk drugs & formln,9380.77,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,VTL,2.68,4.88,6.3,textiles,textiles - cotton/blended,5603.84,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,GAEL,2.69,10.42,14.0,fmcg,miscellaneous,2406.23,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,STEELCAS,4.57,8.26,12.3,industrials,castings & forgings,1358.66,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,AEROFLEX,6.06,7.36,10.41,metals & mining,steel - medium / small,1058.6,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,EMCURE,6.7,8.82,14.21,healthcare,pharmaceuticals - indian - bulk drugs & formln,6542.48,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,THANGAMAYL,7.25,14.35,16.36,consumer discretionary,diamond cutting / jewellery,4597.59,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,SKYGOLD,7.3,17.25,22.21,consumer discretionary,diamond cutting / jewellery,2777.81,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07T13:50:12.114,ROSSTECH,7.93,12.91,16.9,aerospace & defence,engineering,734.59,2026-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
