Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap
2026-08-19T15:34:28.739,RRKABEL,2869.5,3.04,2722.15,2708.3,2818.12,2946.58,0.24,39.55,51.83,70.13,industrials,cables - power,46.43,1.82,98.64,0.86,0.99,2681.63,2548.23,32.07,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,WELCORP,1973.5,2.94,1890.62,1846.0,1876.27,2119.34,0.35,12.43,21.89,80.41,industrials,steel - large,44.67,5.18,150.56,1.25,1.29,1875.18,1811.94,31.48,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,CHENNPETRO,1436.4,2.31,1399.73,1308.0,1333.83,1590.26,0.97,5.18,5.01,64.45,energy,refineries,27.06,7.69,69.48,0.49,0.47,1278.06,1211.61,25.75,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,NATIONALUM,386.55,-0.37,371.42,375.0,388.87,383.08,0.5,8.86,10.55,55.99,metals & mining,aluminium and aluminium products,27.94,-0.6,4.88,0.05,0.4,359.41,339.06,23.11,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,HONASA,477.05,0.52,461.92,468.65,467.52,491.34,0.12,43.06,62.04,56.6,services,trading,20.7,2.04,68.38,0.46,0.64,441.5,417.74,19.0,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,FEDERALBNK,359.4,0.45,348.44,349.65,355.75,364.88,0.09,17.65,18.81,59.56,bank,banks - private sector,40.75,1.03,28.6,0.15,0.35,347.96,339.98,18.92,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,NAVINFLUOR,8278.0,0.28,8038.45,8110.0,8130.49,8499.27,0.16,43.61,53.54,59.32,chemicals,chemicals,30.33,1.81,35.44,0.22,0.37,7858.28,7579.48,16.06,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,WELSPUNLIV,181.41,2.04,169.11,159.01,159.52,214.25,0.7,26.84,58.29,67.69,textiles,textiles - products,22.63,13.72,52.95,0.2,0.25,162.66,148.93,13.57,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,IFCI,81.97,0.75,79.74,73.36,75.72,91.34,0.46,170.77,127.13,65.57,financials,finance - term-lending institutions,14.47,8.25,32.17,0.19,0.58,76.14,73.8,13.19,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,HINDALCO,1038.95,-0.25,1005.04,1021.35,1049.21,1023.56,0.45,8.22,14.1,56.59,metals & mining,aluminium and aluminium products,29.73,-0.98,10.53,0.08,0.23,990.46,954.34,12.05,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,PNBHOUSING,1174.0,2.46,1115.24,1128.9,1134.29,1233.57,1.75,13.72,12.89,65.94,financials,finance - housing,24.66,3.5,22.16,0.25,0.29,1113.69,1070.36,11.83,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,TITAN,5068.0,0.38,4937.24,5010.0,5088.88,5036.68,0.53,63.26,77.77,67.65,consumer discretionary,diamond cutting / jewellery,51.65,-0.41,22.3,0.1,0.28,4912.02,4800.63,10.73,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T15:34:28.739,IPCALAB,1900.9,1.0,1827.7,1720.0,1721.01,2170.74,0.49,30.0,35.41,63.85,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.14,10.45,27.84,0.17,0.27,1725.51,1630.96,10.56,2026-08-19,,,,,,,,,,,,,,,,,,,,,,,
