Timestamp,Symbol,F_pe,Pe,Eps[a],Eps[a1],Eps,Eps[1],Eps[3],Sales[a],Sales[a1],Sales,Sales[2],Sales[3],Roce,Fii,Fii[1],Fii[2],Fii[a],Fii[a1],Scan_Date
2026-07-12T22:58:49.69,FORCEMOT,21.49,19.76,-31.42,15.81,211.37,308.22,266.14,19.79,2.27,2549.84,2128.56,2081.4,29.59,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,SUPREMEINF,0.15,0.09,2.47,-88.6,137.35,134.04,1175.99,-53.11,119.41,13.89,29.62,13.5,0.0,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,VISACHROME,0.08,0.46,189557.14,105.04,132.76,0.07,-1.39,-67.29,134.51,8.57,26.2,-75.92,0.0,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,KIRIINDUS,0.97,0.42,-87.65,4083.79,99.5,805.92,-20.23,44.31,-18.67,250.5,173.59,213.44,10.52,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,SIGNATURE,2.59,10.9,2646.89,3.59,82.01,-3.22,-3.34,289.28,-15.97,1107.27,284.44,338.49,4.74,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,HAL,17.96,33.07,124.79,11.82,62.74,27.91,24.96,81.1,16.14,13942.4,7698.8,6628.61,20.93,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,KOVAI,27.45,27.22,-8.2,10.47,54.55,59.42,53.79,1.62,4.06,413.2,406.62,390.74,22.84,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,POLYCAB,44.13,51.63,26.34,-9.31,52.18,41.3,45.54,16.09,17.89,8864.48,7636.13,6477.21,34.08,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,DIXON,68.17,49.28,-7.24,-57.07,49.22,53.06,123.6,-1.51,-28.16,10510.51,10671.59,14855.04,41.96,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,LTM,21.49,23.84,43.42,-30.73,46.97,32.75,47.28,4.74,3.72,11291.7,10781.0,10394.3,26.84,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,GRWRHITECH,37.4,47.86,94.0,-38.86,46.58,24.01,39.27,30.07,-19.48,596.69,458.74,569.69,20.41,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,PTCIL,110.12,259.81,226.2,1.24,39.96,12.25,12.1,44.97,24.79,225.47,155.53,124.63,7.61,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,GTL,0.05,0.2,22876.47,90.81,38.72,-0.17,-1.85,5.91,-0.72,58.25,55.0,55.4,0.0,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,BIRLACORPN,6.3,13.33,458.83,-41.7,38.28,6.85,11.75,31.38,-2.17,2836.12,2158.74,2206.53,7.19,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,MOTOGENFIN,0.19,0.76,375700.0,-103.45,37.56,-0.01,0.29,6.75,-2.98,1.74,1.63,1.68,0.85,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,INDUSINDBK,6.77,89.03,329.26,27.89,37.53,-16.37,-22.7,-3.23,-2.03,11005.42,11372.88,11608.63,0.0,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,LICI,2.99,4.88,81.51,27.99,37.1,20.44,15.97,31.02,-0.74,165067.19,125988.15,126930.04,0.93,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,WAAREEENER,19.8,22.64,-0.11,25.98,36.91,36.95,29.33,12.1,24.72,8480.25,7565.05,6065.64,30.54,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,SHRIPISTON,29.53,33.38,27.0,-12.06,35.47,27.93,31.76,42.28,0.66,1455.8,1023.2,1016.5,20.66,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,MUTHOOTFIN,23.11,11.86,46.45,4.0,33.86,23.12,22.23,22.32,27.35,3666.96,2997.87,2353.97,13.27,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,PVRINOX,7.9,29.46,421.02,-49.17,31.73,6.09,11.98,139.73,-34.1,317.4,132.4,200.9,0.0,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,TNPL,1.14,4.01,339.0,797.5,31.52,7.18,0.8,13.91,1.21,1257.53,1103.97,1090.73,5.24,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,BFINVEST,3.9,6.51,42.71,1982.86,31.21,21.87,1.05,1190.59,10.39,10.97,0.85,0.77,4.86,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,LLOYDSME,16.81,25.78,34.73,79.98,26.77,19.87,11.04,22.12,38.66,5995.37,4909.38,3540.65,26.65,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,GRSE,25.14,40.77,77.53,11.02,26.47,14.91,13.43,11.79,13.01,2119.21,1895.69,1677.38,35.44,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,DATAPATTNS,43.94,89.6,137.14,18.54,24.71,10.42,8.79,99.19,-43.69,344.85,173.13,307.46,22.71,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,TCPLPACK,31.62,28.09,-13.26,-12.8,23.87,27.52,31.56,-3.69,4.22,453.83,471.22,452.13,19.6,0,1,0,-100.0,NaN,2026-07-12
2026-07-12T22:58:49.69,TMB,8.49,9.49,9.41,7.58,23.6,21.57,20.05,5.51,3.96,1550.38,1469.41,1413.39,0.0,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,SRM,5.31,10.35,124.57,20.0,23.58,10.5,8.75,92.79,12.12,445.75,231.21,206.22,33.2,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,KENNAMET,30.07,44.63,110.44,-22.31,23.38,11.11,14.3,20.69,12.84,403.1,334.0,296.0,18.9,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,AAVAS,16.63,18.45,6.8,3.72,22.94,21.48,20.71,6.0,1.08,714.68,674.2,667.02,10.1,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,SATIN,2.86,8.5,47.73,98.56,22.41,15.17,7.64,1091.23,-466.85,329.09,-33.2,9.05,11.86,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,STYLAMIND,36.74,37.22,-17.71,22.51,22.35,27.16,22.17,4.42,-7.33,282.95,270.96,292.4,27.03,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,GLAND,27.85,39.76,40.26,42.33,22.26,15.87,11.15,2.8,14.02,1742.79,1695.36,1486.88,11.67,0,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,DPABHUSHAN,13.44,12.83,-31.05,42.71,22.21,32.21,22.57,9.19,26.32,1334.73,1222.38,967.65,33.54,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,KIRLPNU,20.14,45.53,245.94,-5.19,22.14,6.4,6.75,74.93,5.31,711.8,406.9,386.4,28.67,1,0,0,NaN,NaN,2026-07-12
2026-07-12T22:58:49.69,NGLFINE,36.57,41.06,-14.06,63.03,21.83,25.4,15.58,17.03,6.03,149.23,127.51,120.26,9.33,1,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,INTERARCH,21.05,22.87,-1.8,15.43,21.82,22.22,19.25,-3.62,6.4,503.62,522.52,491.09,24.81,0,0,1,NaN,-100.0,2026-07-12
2026-07-12T22:58:49.69,KERNEX,25.38,41.0,3225.0,-209.09,21.25,-0.68,-0.22,250.66,54.07,254.58,72.6,47.12,19.93,1,0,0,NaN,NaN,2026-07-12
