Timestamp,Symbol,Cmp,%ch7,Lch5,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date
2026-02-06T11:09:32.708,DREDGECORP,981.9,6.64,-17.32,988.77,1346.13,1245.0,-27.89,-42.06,64.33,miscellaneous,miscellaneous,23.41,0.246,0.57,0.621,0.334,0.391,17.78,991.2,18.07,-9.79,7.4,26.41,11.53,2026-02-06
2026-02-06T11:09:32.708,NLCINDIA,257.5,1.51,-8.64,247.51,281.29,268.4,12.31,13.2,58.72,power & utilities,power generation and supply,19.54,-1.01,-0.001,0.081,-0.041,0.028,7.92,245.0,6.83,-5.28,4.13,10.6,8.01,2026-02-06
2026-02-06T11:09:32.708,RAMCOCEM,1158.0,6.34,-2.99,1061.85,1142.15,1171.9,88.53,74.21,61.54,building materials,cement - south india,17.73,-0.174,-0.155,0.066,-0.182,0.034,3.96,1060.0,3.78,-2.91,2.87,7.06,3.13,2026-02-06
2026-02-06T11:09:32.708,AUTOAXLES,1929.0,7.99,-6.31,1896.1,2021.1,2115.0,18.78,19.03,57.96,auto,auto ancillaries,23.72,-1.03,-0.029,0.101,-0.066,0.077,4.38,1876.5,3.3,-3.71,3.86,5.62,5.81,2026-02-06
2026-02-05T23:37:31.225,MTARTECH,3283.5,27.66,-2.28,2527.37,2875.83,3448.9,72.77,164.34,61.51,aerospace & defence,engineering,21.27,0.424,0.674,0.596,0.576,0.496,6.44,2538.1,6.89,-4.88,5.1,14.23,9.96,2026-02-05
2026-02-05T23:37:31.225,BHAGYANGR,168.49,9.88,-9.56,165.03,186.27,193.0,10.5,15.29,61.38,power & utilities,power generation and supply,18.98,6.44,0.618,1.25,0.531,1.15,0.0,175.65,6.44,-3.16,5.69,11.86,21.91,2026-02-05
2026-02-05T23:37:31.225,GRAPHITE,622.95,2.44,-13.15,627.79,695.71,677.9,39.83,51.73,61.4,industrials,electrodes - graphites,20.82,-0.085,0.107,0.315,0.064,0.25,5.5,627.25,5.41,-4.65,4.75,9.91,15.17,2026-02-05
2026-02-05T23:37:31.225,CRAFTSMAN,7836.0,5.66,-9.0,7509.48,8050.52,8220.0,42.29,50.7,56.57,auto,auto ancillaries,19.08,-0.239,0.111,0.432,0.11,0.396,3.85,7491.5,3.6,-2.93,4.26,9.22,9.3,2026-02-05
2026-02-05T23:37:31.225,CUB,293.65,10.5,-7.43,269.21,317.39,324.1,16.39,17.25,59.06,bank,banks - private sector,20.39,5.03,0.322,0.464,0.27,0.421,3.73,282.75,8.95,-3.68,3.95,8.61,7.35,2026-02-05
2026-02-05T23:37:31.225,PFC,415.0,9.75,-3.41,365.61,400.49,420.4,5.96,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74,2026-02-05
2026-02-05T23:37:31.225,COALINDIA,431.85,3.94,-6.99,426.97,461.13,461.55,15.27,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.06,0.022,0.011,5.32,421.6,4.0,-3.49,2.75,6.9,9.59,2026-02-05
2026-02-05T23:37:31.225,PETRONET,298.85,4.03,-3.6,278.1,303.2,302.35,13.49,12.2,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.1,4.51,-3.62,2.84,6.54,5.8,2026-02-05
2026-02-05T23:37:31.225,TMB,643.6,15.6,-0.516,561.73,581.37,660.7,8.02,8.13,62.86,bank,banks - private sector,28.97,-0.139,0.174,0.233,0.138,0.203,1.89,560.95,1.75,-2.31,3.33,4.86,9.7,2026-02-05
2026-02-05T23:37:31.225,CANBK,148.29,1.93,-12.51,151.86,163.62,160.79,6.4,7.28,60.56,bank,banks - public sector,17.45,0.298,0.32,0.415,0.281,0.39,3.57,152.31,3.87,-3.0,2.89,4.52,4.22,2026-02-05
2026-02-05T23:37:31.225,MUTHOOTFIN,3578.8,4.9,-13.78,3871.19,4039.81,4149.5,14.84,20.37,59.53,financials,finance & investments,18.36,0.744,0.392,0.816,0.336,0.779,1.42,3900.0,2.18,-1.67,2.61,4.18,3.66,2026-02-05
2026-02-05T23:37:31.225,NTPC,367.0,6.51,-3.03,342.66,353.44,370.7,16.21,14.73,60.01,power & utilities,power generation and supply,26.39,0.594,-0.042,-0.02,-0.053,-0.028,0.972,344.7,1.57,-0.814,2.27,3.56,6.73,2026-02-05
