Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap
2026-06-17T04:43:11.498,NETWEB,4884.4,5.9,4524.86,4050.0,4488.47,5478.29,1.58,98.24,134.56,63.35,i.t,computers - hardware,25.08,8.82,40.54,0.41,0.28,4311.96,3903.23,33.48,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,HFCL,188.98,4.73,177.87,160.66,183.84,196.7,0.54,39.05,88.72,66.14,telecom,cables - telephone,53.39,2.8,150.61,1.62,1.53,168.98,154.46,29.71,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,APARINDS,16168.0,1.14,15516.34,13552.0,14127.85,19228.23,1.49,64.07,66.48,77.46,industrials,electric equipment,41.53,14.44,82.19,0.65,0.87,14712.74,13928.3,24.68,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,NAVINFLUOR,7315.5,0.39,7021.21,6790.0,6988.76,7805.61,0.72,44.08,56.12,61.89,chemicals,chemicals,26.63,4.68,21.17,0.1,0.55,6886.32,6647.93,15.71,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,DATAPATTNS,4477.3,1.17,4292.6,4165.0,4190.49,4907.52,0.63,45.3,92.37,59.56,aerospace & defence,electronics - components,19.96,6.84,49.08,0.59,0.63,3953.28,3604.97,14.04,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,SAILIFE,1206.3,-0.13,1157.67,1164.5,1177.57,1249.4,0.49,61.17,72.62,61.07,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.37,2.44,38.59,0.24,0.36,1118.85,1061.37,13.58,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,J&KBANK,161.99,1.3,154.53,151.4,152.76,175.83,0.72,5.59,7.56,73.02,bank,banks - private sector,36.76,6.04,52.67,0.46,0.57,150.78,143.39,13.27,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,FEDERALBNK,320.6,1.1,310.17,307.05,306.83,341.25,0.68,14.73,18.14,73.42,bank,banks - private sector,27.93,4.49,36.05,0.13,0.62,305.8,295.21,13.12,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,USHAMART,499.2,0.86,479.81,473.45,491.04,511.45,0.35,25.73,32.63,57.41,metals & mining,steel - medium / small,20.99,1.66,11.6,0.04,0.08,466.34,447.5,12.89,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-17T04:43:11.498,ABCAPITAL,373.8,1.52,359.56,334.8,345.25,416.62,0.76,21.68,25.96,61.12,financials,finance & investments,13.43,8.27,12.66,-0.05,0.3,348.16,331.07,12.37,2026-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
