Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date
2026-03-02T01:02:27.089,FEDERALBNK,299.85,3.21,-1.57,288.19,297.01,302.0,0.52,16.85,17.99,62.95,bank,banks - private sector,32.57,-0.13,0.38,0.36,0.38,0.34,1.93,287.05,1.53,-4.38,2.27,1.93,9.87,2026-03-02
2026-03-01T23:27:56.545,FEDERALBNK,299.85,3.21,-1.57,288.19,297.01,302.0,0.52,16.85,17.99,62.95,bank,banks - private sector,32.57,-0.13,0.38,0.36,0.38,0.34,1.93,287.05,1.53,-4.38,2.27,1.93,9.87,2026-03-01
2026-02-28T23:28:59.03,FEDERALBNK,299.85,3.21,-1.57,288.19,297.01,302.0,0.52,16.85,17.99,62.95,bank,banks - private sector,32.57,-0.13,0.38,0.36,0.38,0.34,1.93,287.05,1.53,-4.38,2.27,1.93,9.87,2026-02-28
2026-02-27T23:35:05.187,FEDERALBNK,299.85,3.21,-1.57,288.19,297.01,302.0,0.52,16.85,17.97,62.95,bank,banks - private sector,32.57,-0.13,0.38,0.36,0.38,0.34,1.93,287.05,1.53,-4.38,2.27,1.93,9.87,2026-02-27
2026-02-26T23:37:27.845,NITINSPIN,383.85,13.22,-0.52,337.8,416.1,426.8,31.24,12.15,13.1,56.59,textiles,textiles - cotton/blended,31.4,-1.41,-0.01,-0.1,-0.01,-0.19,10.66,340.65,11.59,-9.86,4.94,13.51,8.89,2026-02-26
2026-02-26T23:37:27.845,GAEL,144.53,5.28,-1.93,132.51,150.75,149.11,1.58,25.09,32.88,56.18,fmcg,miscellaneous,15.37,4.76,0.26,0.16,0.26,0.14,3.3,137.11,6.89,-7.19,3.79,3.75,5.19,2026-02-26
2026-02-26T23:37:27.845,KRYSTAL,625.55,2.38,-2.41,613.15,636.95,639.95,0.32,13.74,14.02,53.06,miscellaneous,miscellaneous,58.03,-0.45,-0.08,-0.0,-0.08,-0.02,0.01,625.0,1.94,-3.24,4.11,2.47,12.4,2026-02-26
2026-02-25T23:47:42.035,PNB,130.54,3.56,-2.18,119.8,136.54,132.73,2.01,6.76,8.47,43.89,bank,banks - public sector,11.34,-1.9,0.1,0.1,0.1,0.08,2.68,124.83,6.99,-5.3,2.7,9.03,4.12,2026-02-25
2026-02-25T23:47:42.035,3MINDIA,36440.0,2.13,-3.29,35862.43,37967.57,37700.0,1.03,-165.37,106.82,54.19,miscellaneous,diversified - large,17.45,-4.28,0.1,0.21,0.1,0.19,2.9,35875.0,2.94,-7.12,3.96,8.62,6.7,2026-02-25
2026-02-25T23:47:42.035,POONAWALLA,461.05,0.69,-7.3,442.19,538.61,493.8,1.56,61.97,105.67,54.76,financials,finance & investments,24.05,7.68,0.0,0.1,0.0,0.07,3.13,475.5,10.9,-8.44,4.77,6.93,14.08,2026-02-25
