Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,Lch5
2026-02-23T17:31:11.878,SMSPHARMA,375.3,10.46,-5.49,305.4,396.2,387.5,36.23,36.73,69.49,healthcare,pharmaceuticals - indian - bulk drugs,26.91,3.83,0.38,0.31,0.25,0.19,10.63,317.1,14.87,-6.93,4.69,10.63,9.14,2026-02-23,
2026-02-23T17:31:11.878,FLAIR,315.0,1.55,-3.8,297.31,347.49,329.6,25.32,24.62,62.14,miscellaneous,printing & stationery,20.67,4.03,-0.03,0.16,-0.1,0.12,4.24,309.3,8.44,-2.95,3.46,5.98,4.02,2026-02-23,
2026-02-23T17:31:11.878,KROSS,201.15,5.31,-8.13,201.35,233.17,228.8,23.17,26.67,61.6,auto,auto ancillaries,26.16,1.84,0.25,0.08,0.18,0.04,5.95,205.05,7.9,-4.49,4.87,5.95,8.55,2026-02-23,
2026-02-23T17:31:11.878,MAITHANALL,1018.3,1.26,-6.23,1000.85,1150.15,1089.0,8.33,6.68,58.61,metals & mining,mining / minerals / metals,21.84,4.45,-0.1,-0.07,-0.11,-0.1,2.88,1045.4,7.46,-3.19,3.73,5.37,7.21,2026-02-23,
2026-02-23T17:31:11.878,AUTOAXLES,2019.0,2.95,-2.34,1910.56,2090.84,2059.7,19.66,19.55,56.3,auto,auto ancillaries,18.65,-0.02,0.13,0.12,0.08,0.09,4.74,1910.1,4.72,-3.28,4.63,4.74,5.76,2026-02-23,
2026-02-23T17:31:11.878,GAEL,146.22,7.8,-2.56,130.13,146.51,149.11,25.39,33.51,56.53,fmcg,miscellaneous,18.87,3.41,0.25,0.16,0.18,0.13,2.79,134.56,6.3,-3.07,4.47,3.77,5.87,2026-02-23,
2026-02-23T17:31:11.878,GPIL,268.86,4.71,-3.4,246.53,284.27,277.9,28.85,21.74,57.41,metals & mining,steel - medium / small,12.56,3.84,0.21,0.34,0.16,0.3,3.67,256.0,7.65,-3.55,3.86,3.67,7.39,2026-02-23,
2026-02-23T17:31:11.878,HNGSNGBEES,542.38,0.46,-2.85,542.96,560.54,554.3,NaN,0.0,57.64,indices,indices,22.69,1.3,0.1,0.39,0.13,0.39,0.32,550.0,1.62,-1.69,2.56,2.14,8.01,2026-02-23,
2026-02-23T17:31:11.878,GROWWDEFNC,80.63,2.32,-1.64,77.83,82.81,82.18,NaN,0.0,55.31,indices,indices,12.25,1.71,-0.05,-0.12,-0.07,-0.12,1.47,79.16,3.2,-2.41,3.1,1.63,4.35,2026-02-23,
2026-02-22T23:58:09.921,AQYLON,1469.3,2.5,,1762.46,2237.34,2079.9,633.32,260.98,59.21,media,entertainment / electronic media software,30.68,8.43,0.8,2.47,0.69,2.45,4.65,1911.0,13.47,-3.23,6.8,11.32,19.7,2026-02-22,-26.53
