Timestamp,Symbol,Cmp,%ch,Low,Sl,Target,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Scan_Date
2026-02-04T01:49:20.061,BLISSGVS,180.52,4.49,175.0,161.19,190.14,0.34,17.49,17.36,58.21,57.62,healthcare,pharmaceuticals - indian - formulations,22.77,3.61,-0.072,0.38,-0.121,0.323,3.15,2026-02-04
2026-02-04T01:49:20.061,MIRCELECTR,32.88,4.98,32.11,30.6,32.39,0.579,-137.0,-42.15,59.99,63.39,consumer discretionary,electronics - consumer,22.23,-3.32,0.763,1.15,0.834,1.05,2.4,2026-02-04
2026-02-04T01:49:20.061,JAMNAAUTO,126.46,3.66,123.12,115.21,132.18,0.613,31.61,27.98,54.1,62.5,auto,auto ancillaries,21.38,3.37,0.29,0.35,0.229,0.304,2.71,2026-02-04
2026-02-04T01:49:20.061,FORCEMOT,20008.0,4.18,19551.0,18932.3,19616.55,0.654,18.79,24.48,54.14,58.74,auto,automobiles - lcvs / hcvs,20.57,-3.84,0.034,0.889,0.032,0.816,2.34,2026-02-04
2026-02-04T01:49:20.061,CRAFTSMAN,7712.5,2.95,7526.0,7311.2,7761.96,0.786,41.63,49.82,55.29,62.82,auto,auto ancillaries,17.87,-3.69,0.1,0.356,0.034,0.319,2.48,2026-02-04
2026-02-04T01:49:20.061,SENORES,817.65,4.75,805.05,769.65,796.9,0.828,28.04,36.76,53.46,58.56,healthcare,pharmaceuticals - indian - formulations,15.22,-0.681,0.114,0.557,0.025,0.489,1.57,2026-02-04
2026-02-04T01:49:20.061,JBCHEPHARM,1895.7,1.67,1880.0,1860.43,1870.85,1.06,37.52,39.27,56.56,61.92,healthcare,pharmaceuticals - indian - bulk drugs & formln,20.34,-1.88,0.031,0.076,-0.004,0.06,0.835,2026-02-04
2026-02-04T01:49:20.061,MMFL,440.85,9.22,415.1,399.8,409.43,1.14,32.13,22.27,61.85,66.51,industrials,castings & forgings,31.96,-4.43,0.195,0.14,0.071,0.046,6.2,2026-02-04
2026-02-04T01:49:20.061,INDSWFTLAB,113.37,4.34,108.0,108.99,108.14,1.16,24.22,3.11,63.73,62.0,healthcare,pharmaceuticals - indian - bulk drugs & formln,37.88,-1.58,0.023,0.518,-0.041,0.457,4.97,2026-02-04
2026-02-04T01:49:20.061,SBC,28.91,1.51,28.65,28.42,28.57,1.22,30.11,57.82,54.77,80.38,textiles,textiles - products,39.04,-14.71,0.485,0.88,0.461,0.855,0.907,2026-02-04
2026-02-04T01:49:20.061,CANTABIL,301.55,3.61,293.55,281.11,305.96,1.58,93.07,32.22,62.28,64.19,textiles,textiles - products,32.16,0.444,0.044,0.243,0.018,0.202,2.73,2026-02-04
2026-02-04T01:49:20.061,MBAPL,424.45,2.09,415.1,392.8,450.18,2.1,29.31,35.52,58.88,56.98,chemicals,fertilizers,14.04,3.73,-0.119,0.296,-0.139,0.272,2.25,2026-02-04
2026-02-04T01:49:20.061,ASIANTILES,73.39,6.97,69.73,68.24,69.16,2.26,26.21,53.18,55.02,59.34,building materials,ceramics - tiles / sanitaryware,15.54,-2.37,0.165,0.435,0.09,0.343,5.25,2026-02-04
2026-02-04T01:49:20.061,SHARDACROP,1113.7,-1.17,1090.0,858.54,1529.44,2.5,17.3,17.75,73.05,68.0,chemicals,pesticides / agrochemicals - indian,28.44,18.82,-0.092,0.662,-0.063,0.685,2.17,2026-02-04
2026-02-04T01:49:20.061,NAVINFLUOR,6280.5,6.43,6192.0,5858.66,5964.52,2.81,54.03,70.81,61.19,64.94,chemicals,chemicals,13.55,-0.803,0.118,0.416,0.058,0.332,1.43,2026-02-04
2026-02-04T01:49:20.061,APEX,352.3,19.99,328.05,274.18,322.73,4.3,23.18,48.46,70.29,64.88,fmcg,aquaculture,20.41,3.99,0.426,0.54,0.17,0.286,7.39,2026-02-04
2026-02-04T01:49:20.061,HAPPYFORGE,1138.0,7.66,1080.1,1003.78,1136.83,4.62,36.52,39.53,60.67,61.71,industrials,castings & forgings,29.63,1.14,0.077,0.297,0.017,0.206,5.36,2026-02-04
2026-02-04T01:49:20.061,MAYURUNIQ,578.45,7.93,553.1,495.35,596.85,8.91,12.38,14.46,76.83,62.04,consumer discretionary,leather / leather products,21.83,6.37,0.024,-0.032,-0.065,-0.101,4.58,2026-02-04
2026-02-04T01:49:20.061,SANGAMIND,486.35,8.86,465.0,424.96,479.43,10.53,24.97,41.29,64.11,58.9,textiles,textiles - spinning - synthetic / blended,18.7,3.48,0.242,0.111,0.048,0.022,4.59,2026-02-04
