Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date
2026-02-05T14:55:41.847,GVT&D,3512.4,0.057,3321.32,3089.1,2992.33,4292.51,0.768,77.3,84.16,73.26,industrials,electric equipment,30.21,17.38,46.8,0.16,0.536,3094.63,2833.9,25.92,2026-02-05
2026-02-05T14:55:41.847,CRAFTSMAN,7838.0,-0.134,7547.47,7080.0,7320.0,8615.0,0.242,42.3,50.7,57.59,auto,auto ancillaries,17.54,7.08,30.87,0.128,0.326,7126.76,6614.32,21.54,2026-02-05
2026-02-05T14:55:41.847,CUB,294.05,0.668,285.47,271.5,279.91,315.26,0.319,16.41,17.25,55.47,bank,banks - private sector,20.24,5.05,34.8,0.256,0.469,262.69,241.62,16.77,2026-02-05
2026-02-05T14:55:41.847,CHENNPETRO,896.0,1.71,864.36,808.65,834.67,987.99,0.809,3.33,6.1,57.72,energy,refineries,16.99,7.35,21.39,0.287,0.266,803.82,756.68,16.27,2026-02-05
2026-02-05T14:55:41.847,SYRMA,861.8,1.36,805.71,720.3,721.65,1072.02,1.2,40.42,55.82,74.66,consumer discretionary,electronics - components,32.1,19.42,32.79,0.117,0.527,757.76,682.93,15.4,2026-02-05
2026-02-05T14:55:41.847,INDIANB,877.7,-0.176,854.27,806.2,868.66,891.26,0.333,9.39,10.29,55.04,bank,banks - public sector,19.49,1.04,37.41,0.248,0.42,812.18,768.29,14.75,2026-02-05
2026-02-05T14:55:41.847,UNIONBANK,177.25,0.647,172.0,165.11,176.55,178.3,0.561,6.66,7.1,59.3,bank,banks - public sector,30.79,0.396,22.82,0.233,0.214,163.27,154.74,14.26,2026-02-05
2026-02-05T14:55:41.847,POWERINDIA,19210.0,0.877,18300.52,17850.0,17467.31,21824.04,0.693,162.63,162.16,57.29,industrials,electric equipment,24.43,9.98,-3.3,-0.146,0.073,17372.31,16105.05,12.44,2026-02-05
2026-02-05T14:55:41.847,BANKINDIA,162.9,1.22,157.61,146.4,160.17,166.99,1.01,6.59,7.46,58.11,bank,banks - public sector,25.71,1.7,40.55,0.341,0.349,149.41,141.26,11.68,2026-02-05
2026-02-05T14:55:41.847,SAIL,157.48,0.121,149.24,141.3,151.08,167.08,0.823,43.26,23.3,62.1,metals & mining,steel - large,27.73,4.24,17.93,0.176,0.184,143.88,134.41,11.66,2026-02-05
