Timestamp,Symbol,Cmp,%ch,Low3,Initial_atr1.5sl,Sl,Target,0d_high,R_vol,Forward pe,Pe,Rsi,W rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch sl,Atr%,%ch_3low,Scan_Date
2026-02-09T18:52:49.118,STYLEBAAZA,354.9,10.53,307.15,323.87,329.44,405.82,358.85,1.14,34.93,36.24,65.75,60.21,consumer discretionary,trading,19.2,-5.38,0.057,0.311,-0.038,0.188,15.39,7.73,6.85,15.55,2026-02-09
2026-02-09T18:52:49.118,SHRIRAMFIN,1062.7,6.0,972.4,1013.81,986.8,1214.5,1067.8,1.05,19.75,20.61,67.76,79.04,financials,finance & investments,26.76,-1.35,0.585,0.575,0.504,0.488,9.75,7.69,3.68,9.29,2026-02-09
2026-02-09T18:52:49.118,EMCURE,1545.7,1.98,1461.1,1460.45,1463.85,1709.41,1550.0,0.657,31.78,33.02,57.73,61.15,healthcare,pharmaceuticals - indian - bulk drugs & formln,21.13,-0.412,0.024,0.105,0.0,0.085,6.08,5.59,3.8,5.79,2026-02-09
2026-02-09T18:52:49.118,AIAENG,4070.4,4.83,3850.0,3814.47,3845.7,4519.8,4200.0,1.31,32.26,31.18,57.93,63.96,industrials,castings & forgings,20.45,0.861,0.204,0.128,0.149,0.078,9.09,5.84,4.96,5.72,2026-02-09
2026-02-09T18:52:49.118,UJJIVANSFB,64.87,3.2,61.5,60.55,63.06,68.5,65.2,0.872,16.89,24.65,61.71,73.22,bank,banks - private sector,28.19,-1.79,0.396,0.44,0.303,0.397,6.02,2.88,5.01,5.48,2026-02-09
2026-02-09T18:52:49.118,HINDALCO,964.25,2.3,922.0,918.99,947.03,998.69,970.7,0.889,11.29,11.78,55.96,71.73,metals & mining,aluminium and aluminium products,31.84,-2.99,0.32,0.434,0.281,0.404,5.28,1.82,3.62,4.58,2026-02-09
2026-02-09T18:52:49.118,INDUSINDBK,927.9,2.69,895.0,888.29,896.74,990.23,936.95,1.7,141.45,-34.59,60.12,61.33,bank,banks - private sector,18.57,-0.379,0.091,0.088,0.056,0.061,4.69,3.48,3.04,3.68,2026-02-09
2026-02-09T18:52:49.118,BEL,437.3,1.78,425.55,416.26,431.71,448.49,439.6,0.652,50.61,52.65,57.21,60.97,aerospace & defence,electronics - components,17.67,-0.933,0.049,0.093,0.021,0.075,3.3,1.3,3.66,2.76,2026-02-09
2026-02-09T18:52:49.118,TAKE,44.83,3.61,41.1,42.11,40.26,53.98,44.95,0.858,26.06,13.11,66.47,79.22,healthcare,miscellaneous,31.07,4.89,3.59,3.89,3.4,3.73,7.79,11.36,4.29,9.08,2026-02-09
2026-02-09T18:52:49.118,JKTYRE,555.85,2.66,520.6,526.54,516.74,634.06,582.6,5.21,19.06,21.71,67.08,80.13,auto,tyres,24.93,2.35,0.602,0.429,0.509,0.394,11.91,7.57,4.18,6.77,2026-02-09
2026-02-09T18:52:49.118,TERASOFT,448.9,4.99,391.2,410.13,385.19,576.32,448.9,2.49,21.38,32.71,59.11,54.9,i.t,computers - software - medium / small,22.44,4.82,0.462,0.656,0.355,0.58,14.75,16.54,6.12,14.75,2026-02-09
