Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-02-05T10:34:16.537,CUPID,118.09,119.21,53.57,22.1,-0.001,0.747,1.56,2026-02-05
2026-02-05T10:34:16.537,FORCEMOT,51.83,48.56,34.59,23.25,0.019,0.191,0.251,2026-02-05
2026-02-05T10:34:16.537,LUMAXTECH,45.51,40.26,29.69,26.84,-0.094,0.31,0.318,2026-02-05
2026-02-05T10:34:16.537,SMLMAH,44.15,44.18,20.24,16.93,-0.084,0.234,0.1,2026-02-05
2026-02-05T10:34:16.537,BGRENERGY,42.76,62.68,213.22,33.46,-0.006,-0.151,2.36,2026-02-05
2026-02-05T10:34:16.537,HINDCOPPER,40.55,32.72,4.22,-5.38,0.055,0.851,1.44,2026-02-05
2026-02-05T10:34:16.537,SILVER,39.48,42.11,12.73,7.33,0.006,0.641,1.16,2026-02-05
2026-02-05T10:34:16.537,TATSILV,39.41,42.3,12.72,7.28,0.002,0.636,1.16,2026-02-05
2026-02-05T10:34:16.537,ESILVER,39.04,41.82,12.65,7.25,0.004,0.633,1.15,2026-02-05
2026-02-05T10:34:16.537,SILVERADD,39.03,42.1,12.68,7.34,-0.002,0.627,1.14,2026-02-05
2026-02-05T10:34:16.537,SILVERAG,39.02,41.78,12.69,7.3,0.006,0.631,1.15,2026-02-05
2026-02-05T10:34:16.537,SILVERBEES,38.94,42.0,12.51,7.15,0.001,0.635,1.15,2026-02-05
2026-02-05T10:34:16.537,SBISILVER,38.83,41.97,12.65,7.52,-0.003,0.626,1.14,2026-02-05
2026-02-05T10:34:16.537,SILVER1,38.81,41.76,12.71,7.36,0.002,0.626,1.14,2026-02-05
2026-02-05T10:34:16.537,AXISILVER,38.74,42.02,12.63,7.29,-0.004,0.626,1.14,2026-02-05
2026-02-05T10:34:16.537,SILVERBETA,38.73,41.82,12.55,6.8,-0.002,0.625,1.14,2026-02-05
2026-02-05T10:34:16.537,HDFCSILVER,38.68,42.19,12.6,7.31,-0.006,0.624,1.13,2026-02-05
2026-02-05T10:34:16.537,SILVERIETF,38.67,42.23,12.63,7.27,-0.008,0.622,1.13,2026-02-05
2026-02-05T10:34:16.537,INFOBEAN,37.0,34.49,12.12,7.14,-0.102,0.418,0.522,2026-02-05
2026-02-05T10:34:16.537,PFOCUS,36.0,21.96,9.62,2.47,0.058,0.461,0.677,2026-02-05
2026-02-05T10:34:16.537,TDPOWERSYS,32.81,14.11,26.83,6.34,0.205,0.04,0.62,2026-02-05
2026-02-05T10:34:16.537,TFCILTD,30.43,25.1,33.42,13.37,-0.02,-0.018,0.213,2026-02-05
2026-02-05T10:34:16.537,MTARTECH,28.85,14.46,12.05,-5.28,0.279,0.366,1.24,2026-02-05
2026-02-05T10:34:16.537,GRMOVER,28.64,34.84,24.54,19.29,-0.014,0.138,0.347,2026-02-05
2026-02-05T10:34:16.537,MCX,27.96,20.46,12.03,18.63,0.082,0.314,0.524,2026-02-05
2026-02-05T10:34:16.537,SBC,26.71,17.86,10.56,-1.49,0.046,0.202,0.694,2026-02-05
2026-02-05T10:34:16.537,GVT&D,26.66,14.55,18.96,18.3,0.157,0.188,0.283,2026-02-05
2026-02-05T10:34:16.537,KMEW,25.17,17.01,NaN,NaN,0.041,0.294,1.11,2026-02-05
2026-02-05T10:34:16.537,JAYNECOIND,25.08,33.85,19.23,0.609,-0.174,0.031,0.446,2026-02-05
2026-02-05T10:34:16.537,BAJAJCON,25.03,10.29,9.7,-3.04,0.33,0.233,0.657,2026-02-05
2026-02-05T10:34:16.537,GMDCLTD,24.06,22.99,14.85,1.18,0.015,0.097,0.522,2026-02-05
2026-02-05T10:34:16.537,ROSSTECH,23.49,11.4,NaN,NaN,0.225,0.228,0.331,2026-02-05
2026-02-05T10:34:16.537,NATIONALUM,23.38,17.18,1.52,-1.4,0.04,0.564,0.927,2026-02-05
2026-02-05T10:34:16.537,IMFA,23.33,13.52,16.82,-0.083,-0.0,0.146,0.793,2026-02-05
2026-02-05T10:34:16.537,SHARDACROP,22.85,2.03,3.25,21.91,0.344,0.435,0.015,2026-02-05
2026-02-05T10:34:16.537,STALLION,22.82,NaN,NaN,NaN,-0.211,-0.219,0.417,2026-02-05
2026-02-05T10:34:16.537,APOLLO,22.29,28.97,37.37,12.15,-0.078,-0.077,0.422,2026-02-05
2026-02-05T10:34:16.537,ASHOKLEY,22.13,17.05,8.6,-0.083,0.084,0.428,0.645,2026-02-05
2026-02-05T10:34:16.537,LTF,22.02,31.29,21.82,4.65,-0.118,0.023,0.38,2026-02-05
2026-02-05T10:34:16.537,SJS,21.83,15.49,12.91,7.46,-0.025,0.017,0.469,2026-02-05
2026-02-05T10:34:16.537,IZMO,21.53,16.22,36.03,-5.56,-0.111,-0.214,0.976,2026-02-05
2026-02-05T10:34:16.537,POCL,21.45,20.07,12.68,17.9,-0.164,-0.033,0.11,2026-02-05
2026-02-05T10:34:16.537,ABCAPITAL,21.29,24.19,14.31,6.3,-0.058,0.038,0.22,2026-02-05
2026-02-05T10:34:16.537,CRAFTSMAN,21.25,13.17,9.91,5.62,-0.029,0.15,0.175,2026-02-05
2026-02-05T10:34:16.537,NETWEB,20.77,8.42,9.56,-0.144,-0.061,-0.047,0.365,2026-02-05
2026-02-05T10:34:16.537,IFBAGRO,20.3,40.26,35.01,13.39,-0.295,-0.208,0.252,2026-02-05
2026-02-05T10:34:16.537,THANGAMAYL,20.0,18.69,11.57,0.638,-0.074,0.048,0.696,2026-02-05
2026-02-05T10:34:16.537,RBLBANK,19.77,24.33,21.66,5.22,-0.046,-0.062,0.151,2026-02-05
2026-02-05T10:34:16.537,SHRIRAMFIN,19.59,17.17,7.05,1.36,-0.012,0.251,0.586,2026-02-05
2026-02-05T10:34:16.537,GOLDBETA,19.4,17.83,12.27,9.69,0.101,0.247,0.502,2026-02-05
2026-02-05T10:34:16.537,UJJIVANSFB,19.36,16.92,9.89,0.603,0.111,0.263,0.471,2026-02-05
2026-02-05T10:34:16.537,EGOLD,19.31,17.48,11.9,9.49,0.102,0.25,0.5,2026-02-05
2026-02-05T10:34:16.537,TATAGOLD,19.3,17.52,11.94,9.53,0.103,0.252,0.502,2026-02-05
2026-02-05T10:34:16.537,QGOLDHALF,19.26,17.74,12.12,9.65,0.096,0.243,0.496,2026-02-05
2026-02-05T10:34:16.537,GOLDCASE,19.26,17.55,12.01,9.59,0.103,0.25,0.501,2026-02-05
2026-02-05T10:34:16.537,BSLGOLDETF,19.25,17.81,12.1,9.68,0.1,0.245,0.495,2026-02-05
2026-02-05T10:34:16.537,HDFCGOLD,19.24,17.58,12.1,9.42,0.1,0.244,0.496,2026-02-05
2026-02-05T10:34:16.537,SHREERAMA,19.23,11.77,23.4,10.94,0.023,0.146,0.552,2026-02-05
2026-02-05T10:34:16.537,GROWWGOLD,19.23,17.39,11.84,NaN,0.105,0.249,0.497,2026-02-05
2026-02-05T10:34:16.537,GOLD1,19.2,17.41,12.11,9.67,0.101,0.244,0.494,2026-02-05
2026-02-05T10:34:16.537,GOLDETF,19.16,17.54,12.24,9.54,0.098,0.238,0.495,2026-02-05
