Timestamp,Symbol,F_pe,Pe,Eps[a],Eps[a1],Eps,Eps[1],Eps[3],Sales[a],Sales[a1],Sales,Sales[2],Sales[3],Roce,Fii,Fii[1],Fii[2],Fii[a],Fii[a1],Scan_Date
2026-02-17T04:11:02.848,MRF,22.54,27.97,31.62,5.03,1631.23,1239.38,1180.04,9.1,-3.87,8050.43,7378.72,7675.69,13.27,18.17,18.27,18.67,-0.522,-2.13,2026-02-17
2026-02-17T04:11:02.848,FORCEMOT,19.94,23.68,15.81,98.88,308.22,266.14,133.82,2.27,-9.4,2128.56,2081.4,2297.25,29.59,10.46,10.27,9.77,1.82,5.16,2026-02-17
2026-02-17T04:11:02.848,TVSHLTD,15.08,19.13,11.36,31.98,243.75,218.89,165.85,4.57,14.34,14583.15,13945.52,12196.81,17.65,3.12,3.0,2.84,4.06,5.58,2026-02-17
2026-02-17T04:11:02.848,BAJAJHLDNG,15.36,14.1,29.34,-55.28,181.2,140.1,313.3,-27.56,22.24,287.51,396.87,324.66,11.53,10.26,10.33,10.31,-0.695,0.22,2026-02-17
2026-02-17T04:11:02.848,BOSCHLTD,49.13,37.97,-3.95,-50.32,180.58,188.01,378.41,1.89,0.13,4885.6,4794.8,4788.6,20.48,7.34,7.13,6.18,2.91,15.43,2026-02-17
2026-02-17T04:11:02.848,ABBOTINDIA,37.15,36.65,-9.47,13.5,176.92,195.42,172.17,-1.88,1.08,1724.04,1757.15,1738.35,44.95,0.182,0.156,0.163,16.89,-4.36,2026-02-17
2026-02-17T04:11:02.848,HONAUT,56.89,54.59,1.44,-4.13,137.08,135.13,140.95,1.68,-2.85,1168.7,1149.4,1183.1,18.29,3.46,3.01,2.77,15.07,8.69,2026-02-17
2026-02-17T04:11:02.848,MARUTI,30.5,31.69,15.83,-11.69,123.38,106.52,120.62,18.43,9.6,47537.2,40138.7,36624.1,20.98,15.76,15.78,15.2,-0.124,3.79,2026-02-17
2026-02-17T04:11:02.848,BAJAJ-AUTO,24.61,30.47,29.61,-4.04,98.5,76.0,79.2,0.817,20.61,15378.24,15253.64,12646.59,28.09,8.84,9.65,10.3,-8.46,-6.27,2026-02-17
2026-02-17T04:11:02.848,VOLTAMP,20.9,23.38,25.66,-0.877,97.94,77.94,78.63,30.62,13.92,630.32,482.56,423.58,29.44,21.78,22.85,23.23,-4.71,-1.6,2026-02-17
2026-02-17T04:11:02.848,PGHH,31.15,43.7,43.65,9.26,92.87,64.65,59.17,9.67,22.85,1259.91,1148.85,935.16,134.56,1.07,1.11,1.38,-4.27,-19.5,2026-02-17
2026-02-17T04:11:02.848,MCX,7.44,12.73,103.13,-2.81,78.65,38.72,39.84,77.86,0.273,665.62,374.23,373.21,27.47,20.64,19.0,21.69,8.6,-12.38,2026-02-17
2026-02-17T04:11:02.848,ZFCVINDIA,54.04,60.9,29.47,-11.53,73.9,57.08,64.52,17.7,-6.39,1074.91,913.24,975.56,19.95,5.79,5.73,5.57,1.14,2.84,2026-02-17
2026-02-17T04:11:02.848,OFSS,23.9,23.84,11.52,-14.94,70.08,62.84,73.88,9.9,-3.42,1965.9,1788.8,1852.2,38.11,8.36,8.65,8.55,-3.35,1.13,2026-02-17
2026-02-17T04:11:02.848,MUTHOOTFIN,12.52,16.11,15.84,20.05,69.84,60.29,50.22,12.42,12.91,8187.6,7282.79,6450.13,13.27,11.75,11.58,10.84,1.5,6.78,2026-02-17
