Timestamp,Date,4.5r,4.5chg,20r,20chg,50r,50chg,52wh,52wl,>4.5+,<4.5-,>10sma,<10sma,>20sma,<20sma,>50sma,<50sma,>200sma,<200sma,Total stocks
2026-08-26T11:12:22.985,26th Aug'26,403.85,190.14,103.22,26.76,113.2,10.27,1.99,0.51,3.54,0.88,52.87,41.36,47.67,46.19,49.22,43.48,48.28,36.93,2962
2026-08-26T11:12:22.985,25th Aug'26,139.19,-41.57,81.53,1.92,102.66,2.06,2.15,1.4,3.52,2.53,43.81,51.4,42.55,52.19,47.51,46.27,48.12,38.07,2926
2026-08-26T11:12:22.985,24th Aug'26,238.24,-34.45,79.83,-8.28,100.51,-9.32,3.04,1.13,5.53,2.32,39.79,55.29,42.04,52.66,46.99,46.76,47.2,38.93,2928
2026-08-26T11:12:22.985,21st Aug'26,372.5,13.76,87.09,2.12,110.93,4.86,2.42,0.75,5.09,1.37,40.85,54.3,44.02,50.55,49.21,44.36,47.37,38.76,2928
2026-08-26T11:12:22.985,20th Aug'26,319.23,88.12,85.27,16.64,105.94,7.74,2.7,1.16,5.68,1.78,36.57,58.71,43.59,51.11,48.17,45.47,46.56,39.62,2923
2026-08-26T11:12:22.985,19th Aug'26,171.21,-25.89,73.08,-17.84,98.26,-8.99,2.43,1.71,3.87,2.26,30.23,65.11,40.05,54.81,46.49,47.31,44.71,41.6,2921
2026-08-26T11:12:22.985,18th Aug'26,231.03,47.69,89.02,-11.24,107.89,-2.74,3.08,1.3,4.59,1.99,35.26,60.01,44.68,50.19,48.68,45.12,46.22,40.09,2921
2026-08-26T11:12:22.985,17th Aug'26,156.44,41.92,100.36,-6.72,111.02,-4.44,2.93,1.72,5.65,3.61,38.99,60.33,49.54,49.36,51.5,46.39,48.96,41.1,2798
2026-08-26T11:12:22.985,14th Aug'26,110.23,-38.09,107.75,-10.79,116.36,-4.4,3.04,1.29,3.47,3.15,40.48,58.88,51.25,47.57,52.68,45.28,48.82,41.34,2794
2026-08-26T11:12:22.985,13th Aug'26,178.05,53.03,120.41,1.69,121.52,-2.54,3.51,1.18,5.23,2.94,45.22,54.14,54.06,44.9,53.78,44.25,49.52,40.71,2793
2026-08-26T11:12:22.985,12th Aug'26,115.38,-17.72,118.51,-9.37,124.79,-7.57,3.22,1.25,4.3,3.73,46.11,53.1,53.67,45.29,54.46,43.64,49.05,41.17,2791
2026-08-26T11:12:22.985,11th Aug'26,141.38,-7.07,130.74,-8.6,134.79,-7.32,3.76,1.25,4.41,3.12,52.78,46.44,56.07,42.89,56.36,41.81,50.16,40.13,2791
2026-08-26T11:12:22.985,10th Aug'26,151.06,12.61,142.87,-6.98,145.25,-1.44,5.16,1.04,5.09,3.37,58.77,40.41,58.19,40.73,58.12,40.01,50.7,39.55,2789
2026-08-26T11:12:22.985,7th Aug'26,135.8,-33.75,153.78,-3.24,147.78,-0.76,3.63,1.0,3.95,2.91,61.84,37.4,59.83,38.91,58.51,39.59,50.72,39.52,2786
2026-08-26T11:12:22.985,6th Aug'26,205.0,-28.39,159.17,-1.01,148.91,1.22,4.34,0.72,4.42,2.15,66.21,33.07,60.75,38.17,58.71,39.43,50.41,39.68,2785
2026-08-26T11:12:22.985,5th Aug'26,286.27,10.61,160.74,20.1,147.06,10.75,4.56,0.61,5.25,1.83,69.92,29.43,61.05,37.98,58.5,39.78,49.73,40.39,2783
2026-08-26T11:12:22.985,4th Aug'26,258.82,-57.77,133.64,0.42,132.68,-2.26,4.1,0.43,4.75,1.83,66.91,32.59,56.73,42.45,56.08,42.27,48.17,42.01,2780
2026-08-26T11:12:22.985,3rd Aug'26,597.5,91.36,133.16,61.96,135.63,28.57,4.46,0.36,8.59,1.44,66.88,32.54,56.6,42.5,56.53,41.68,47.93,42.22,2781
2026-08-26T11:12:22.985,31st Jul'26,351.16,413.24,82.23,26.73,105.67,11.09,2.56,0.65,5.45,1.55,50.29,48.92,44.73,54.4,50.4,47.69,44.59,45.45,2772
2026-08-26T11:12:22.985,30th Jul'26,67.53,-75.58,64.81,-10.97,95.27,-9.24,2.31,0.69,1.88,2.78,41.38,57.97,39.0,60.17,47.91,50.29,43.22,46.86,2772
2026-08-26T11:12:22.985,29th Jul'26,276.6,403.8,72.9,38.57,104.82,10.19,2.09,0.65,4.69,1.7,46.62,52.87,41.78,57.31,50.31,48.0,44.1,45.97,2769
2026-08-26T11:12:22.985,28th Jul'26,54.9,-87.54,52.64,-23.67,95.33,-14.94,1.84,0.72,2.02,3.69,35.3,64.09,34.18,64.92,47.98,50.33,41.91,48.09,2768
2026-08-26T11:12:22.985,27th Jul'26,402.44,124.09,68.92,52.7,111.64,20.66,2.42,0.76,5.95,1.48,42.57,56.85,40.4,58.62,51.91,46.5,43.76,46.32,2772
2026-08-26T11:12:22.985,24th Jul'26,184.78,50.47,45.05,-0.05,92.64,0.97,1.23,1.59,3.07,1.66,28.21,71.21,30.78,68.32,47.34,51.1,41.48,48.5,2765
2026-08-26T11:12:22.985,23rd Jul'26,122.81,76.67,45.15,-27.95,91.81,-15.08,1.23,1.01,2.54,2.06,26.66,72.84,30.82,68.27,47.12,51.32,41.94,47.95,2761
2026-08-26T11:12:22.985,22nd Jul'26,70.73,-77.08,62.59,-36.3,108.11,-16.42,1.85,0.94,2.1,2.97,33.31,66.04,38.16,60.97,51.16,47.32,43.12,46.71,2762
2026-08-26T11:12:22.985,21st Jul'26,308.57,24.68,98.4,15.52,129.23,0.9,2.17,0.87,3.91,1.27,50.98,48.59,49.17,49.96,55.58,43.01,46.09,43.73,2760
2026-08-26T11:12:22.985,20th Jul'26,240.48,375.09,85.19,16.17,127.95,8.81,1.74,0.91,3.66,1.52,46.21,53.39,45.67,53.61,55.42,43.31,45.02,44.8,2759
2026-08-26T11:12:22.985,17th Jul'26,50.0,-66.18,73.32,-7.12,117.6,-6.88,0.84,1.05,1.42,2.83,39.33,60.34,41.98,57.26,53.34,45.36,43.98,45.83,2756
2026-08-26T11:12:22.985,16th Jul'26,144.68,-40.52,78.85,-9.59,126.37,-3.75,2.1,0.62,2.46,1.7,42.5,57.14,43.77,55.51,55.04,43.55,44.09,45.54,2760
2026-08-26T11:12:22.985,15th Jul'26,243.24,111.34,87.21,12.2,131.52,8.71,2.47,0.69,3.27,1.34,43.51,56.06,46.26,53.05,56.02,42.6,44.63,45.1,2756
2026-08-26T11:12:22.985,14th Jul'26,115.09,-77.9,77.71,-35.54,120.81,-18.39,2.07,0.8,2.22,1.93,39.77,59.79,43.44,55.9,53.98,44.68,43.81,45.91,2753
2026-08-26T11:12:22.985,13th Jul'26,478.13,-29.88,120.6,5.41,147.77,8.52,3.3,0.58,5.55,1.16,56.65,42.84,54.33,45.05,58.86,39.83,46.68,43.06,2759
2026-08-26T11:12:22.985,10th Jul'26,827.78,11.51,114.3,48.86,136.29,28.96,3.09,0.51,5.42,0.66,56.09,43.4,52.93,46.31,56.97,41.8,45.51,44.27,2749
2026-08-26T11:12:22.985,9th Jul'26,742.31,3448.59,76.75,46.39,105.6,23.22,1.89,0.76,7.02,0.95,37.62,61.83,43.08,56.13,50.71,48.02,43.26,46.31,2751
2026-08-26T11:12:22.985,8th Jul'26,21.03,-59.82,52.4,-58.88,85.76,-35.26,1.78,0.98,1.49,7.09,23.21,76.28,34.12,65.11,45.58,53.15,40.45,49.15,2749
2026-08-26T11:12:22.985,7th Jul'26,51.72,-76.16,127.52,-20.53,132.45,-9.1,3.02,0.4,1.64,3.16,50.56,48.96,55.62,43.62,56.27,42.49,45.91,43.76,2749
2026-08-26T11:12:22.985,6th Jul'26,203.51,-1.21,160.08,-6.97,145.45,-3.39,4.35,0.44,4.21,2.07,55.48,44.05,61.06,38.14,58.48,40.21,46.99,42.57,2758
2026-08-26T11:12:22.985,3rd Jul'26,219.57,-51.21,172.46,-3.62,150.78,5.21,4.26,0.36,3.67,1.67,58.13,41.32,62.86,36.45,59.4,39.4,46.96,42.71,2749
2026-08-26T11:12:22.985,2nd Jul'26,452.94,70.31,178.86,26.43,143.32,13.6,3.35,0.55,5.61,1.24,55.59,43.98,63.74,35.64,58.17,40.59,46.96,42.74,2747
2026-08-26T11:12:22.985,1st Jul'26,265.96,-15.38,141.72,6.93,126.16,7.77,3.46,1.17,4.56,1.71,44.68,54.96,58.31,41.14,53.61,42.49,44.06,45.7,2744
2026-08-26T11:12:22.985,30th Jun'26,338.46,303.71,132.57,15.04,117.09,4.93,3.54,1.46,4.82,1.42,38.66,61.12,56.77,42.83,51.77,44.21,43.52,46.26,2739
2026-08-26T11:12:22.985,29th Jun'26,79.25,13.55,115.0,-24.26,111.55,-14.25,2.91,1.13,3.06,3.86,35.03,64.75,53.26,46.31,50.6,45.36,42.74,47.0,2749
2026-08-26T11:12:22.985,25th Jun'26,74.16,-56.14,151.85,-23.28,130.21,-13.82,2.52,0.4,2.41,3.25,46.49,53.21,60.01,39.52,54.31,41.71,43.28,46.38,2738
2026-08-26T11:12:22.985,24th Jun'26,169.09,85.31,197.6,2.66,150.86,0.0,2.56,0.59,3.4,2.01,61.43,38.17,66.11,33.46,57.81,38.32,45.12,44.57,2735
2026-08-26T11:12:22.985,23rd Jun'26,91.25,-86.36,192.06,-25.35,150.76,-20.32,3.7,0.33,2.67,2.93,64.22,35.38,65.5,34.1,57.81,38.35,44.27,45.44,2733
2026-08-26T11:12:22.985,22nd Jun'26,557.14,30.47,257.46,16.01,188.93,12.42,4.52,0.33,7.1,1.27,76.76,22.73,71.66,27.83,62.77,33.22,46.08,43.57,2745
2026-08-26T11:12:22.985,19th Jun'26,490.63,-22.53,222.01,-5.14,168.34,-2.74,3.65,0.66,5.74,1.17,75.99,23.57,68.57,30.88,60.23,35.78,44.01,45.61,2736
2026-08-26T11:12:22.985,18th Jun'26,633.33,36.34,234.03,14.39,173.08,5.35,4.09,0.18,5.56,0.88,76.64,22.92,69.63,29.75,60.86,35.16,43.53,46.09,2736
2026-08-26T11:12:22.985,17th Jun'26,464.52,20.43,204.82,2.86,164.29,2.91,2.56,0.44,5.27,1.13,75.85,23.89,66.85,32.64,59.75,36.37,42.59,46.91,2733
2026-08-26T11:12:22.985,16th Jun'26,385.71,-69.02,198.79,14.9,159.59,3.55,2.38,0.37,4.93,1.28,74.2,25.51,66.19,33.3,59.03,36.99,41.92,47.55,2736
2026-08-26T11:12:22.985,15th Jun'26,961.54,-46.44,173.9,89.06,154.45,45.33,3.36,0.26,9.12,0.95,73.23,26.37,63.17,36.32,58.24,37.71,40.92,48.61,2742
2026-08-26T11:12:22.985,12th Jun'26,1957.89,3891.09,91.42,141.34,105.89,66.84,1.68,0.51,13.62,0.7,54.5,45.35,47.58,52.05,49.38,46.63,37.04,52.53,2732
2026-08-26T11:12:22.985,11th Jun'26,49.06,-5.6,37.88,-26.01,63.43,-26.03,1.17,1.72,1.9,3.88,23.87,75.94,27.35,72.21,37.28,58.77,32.37,57.16,2731
2026-08-26T11:12:22.985,10th Jun'26,52.76,-90.21,51.22,-26.91,85.82,-27.43,2.27,0.77,2.45,4.65,29.19,70.62,33.74,65.86,44.32,51.65,35.13,54.43,2730
2026-08-26T11:12:22.985,9th Jun'26,539.02,1605.44,70.15,60.02,118.35,30.53,1.98,0.84,8.1,1.5,37.73,62.12,41.06,58.53,51.98,43.92,36.67,52.78,2730
2026-08-26T11:12:22.985,8th Jun'26,33.33,-82.8,44.08,-37.65,90.97,-41.61,2.16,1.35,2.38,7.13,24.38,75.37,30.48,69.15,45.65,50.18,33.81,55.63,2736
