Timestamp,Date,4.5r Sort table by 4.5r in ascending order,4.5chg Sort table by 4.5chg in ascending order,20r Sort table by 20r in ascending order,20chg Sort table by 20chg in ascending order,50r Sort table by 50r in ascending order,50chg Sort table by 50chg in ascending order,52wh Sort table by 52wh in ascending order,52wl Sort table by 52wl in ascending order,>4.5+ Sort table by >4.5+ in ascending order,<4.5- Sort table by <4.5- in ascending order,>10sma Sort table by >10sma in ascending order,<10sma Sort table by <10sma in ascending order,>20sma Sort table by >20sma in ascending order,<20sma Sort table by <20sma in ascending order,>50sma Sort table by >50sma in ascending order,<50sma Sort table by <50sma in ascending order,>200sma Sort table by >200sma in ascending order,<200sma Sort table by <200sma in ascending order,Total stocks Sort table by Total stocks in ascending order,Column22
2026-02-05T15:35:49.178,5th Feb,85.83,-80.12,133.12,-13.14,51.12,-8.71,0.907,1.47,3.89,4.54,71.64,27.15,56.22,42.23,32.82,64.20,28.47,62.34,2645,
2026-02-05T15:35:49.178,4th Feb,433.33,-82.16,152.52,60.32,56.24,32.05,1.05,1.28,10.77,2.49,79.17,19.47,59.28,38.87,34.80,61.88,29.08,61.43,2655,
2026-02-05T15:35:49.178,3rd Feb,2429.17,2656.69,95.13,292.31,42.59,101.34,2.33,1.60,22.23,0.915,74.42,25.31,48.46,50.93,29.24,68.66,28.86,62.75,2623,
2026-02-05T15:35:49.178,2nd Feb,85.58,145.45,24.43,9.09,21.38,5.25,0.304,8.01,3.38,3.95,39.99,59.78,19.52,79.91,17.24,80.63,21.99,69.62,2633,
2026-02-05T15:35:49.178,1st Feb,35.80,-78.27,22.25,-34.17,20.18,-28.74,0.686,4.99,3.50,9.79,37.75,61.94,18.10,81.33,16.42,81.37,20.88,70.67,2625,
2026-02-05T15:35:49.178,30th Jan,170.43,-12.70,33.92,34.18,28.28,15.73,0.840,5.42,7.49,4.39,49.77,49.85,25.17,74.22,21.54,76.17,25.86,65.62,2618,
2026-02-05T15:35:49.178,29th Jan,195.24,-85.02,25.25,1.20,24.42,3.21,3.21,5.61,6.26,3.21,37.48,62.06,20.04,79.35,19.16,78.47,24.92,66.56,2620,
2026-02-05T15:35:49.178,28th Jan,1303.23,1079.64,24.96,73.00,23.67,42.86,2.10,4.28,15.43,1.18,35.74,63.80,19.85,79.53,18.67,78.89,24.48,66.93,2619,
2026-02-05T15:35:49.178,27th Jan,101.75,265.46,14.62,4.64,16.80,3.15,1.33,16.03,4.40,4.32,16.83,82.68,12.66,86.62,14.03,83.47,21.19,70.28,2638,
2026-02-05T15:35:49.178,23rd Jan,28.98,-90.56,13.83,-22.07,16.10,-18.59,0.801,9.92,2.71,9.35,14.54,84.89,12.06,87.21,13.51,83.93,21.18,70.27,2620,
2026-02-05T15:35:49.178,22nd Jan,307.04,781.08,17.73,59.02,19.77,31.99,0.877,4.35,8.32,2.71,19.84,79.51,14.96,84.36,16.06,81.27,24.27,67.11,2621,
2026-02-05T15:35:49.178,21st Jan,34.85,352.06,11.15,-9.79,14.98,-13.18,1.34,21.33,2.63,7.55,9.61,89.85,9.96,89.32,12.67,84.59,22.01,69.40,2621,
2026-02-05T15:35:49.178,20th Jan,7.71,-82.21,12.36,-49.23,17.25,-39.63,1.64,18.02,1.37,17.82,9.81,89.69,10.92,88.32,14.31,82.98,23.63,67.82,2620,
2026-02-05T15:35:49.178,19th Jan,39.69,-70.70,24.42,-22.94,28.75,-13.21,2.01,11.00,1.97,4.97,18.05,81.49,19.49,79.83,21.73,75.58,29.05,62.53,2637,
2026-02-05T15:35:49.178,16th Jan,158.49,-49.22,31.58,-1.15,32.79,-7.05,1.99,5.89,3.21,2.03,21.79,77.83,23.82,75.42,24.04,73.32,30.43,61.12,2616,
2026-02-05T15:35:49.178,14th Jan,321.88,36.32,31.98,8.39,35.34,7.19,1.99,4.98,3.94,1.22,19.33,80.29,24.03,75.16,25.41,71.91,31.50,60.01,2613,
2026-02-05T15:35:49.178,13th Jan,236.11,224.65,29.47,5.01,32.93,5.78,1.53,4.59,3.25,1.38,17.11,82.59,22.58,76.62,24.11,73.21,31.11,60.43,2613,
2026-02-05T15:35:49.178,12th Jan,67.92,257.91,28.12,-7.92,31.38,-3.96,1.26,12.22,2.74,4.04,15.26,84.32,21.77,77.43,23.26,74.11,31.02,60.56,2627,
2026-02-05T15:35:49.178,9th Jan,17.97,43.75,30.46,-45.13,32.46,-31.12,0.536,8.04,0.881,4.90,16.01,83.49,23.13,75.95,23.86,73.50,32.06,59.40,2611,
2026-02-05T15:35:49.178,8th Jan,13.10,-96.24,55.57,-53.30,47.19,-34.97,1.19,3.98,0.843,6.44,26.78,72.84,35.36,63.64,31.23,66.17,34.33,57.20,2610,
2026-02-05T15:35:49.178,7th Jan,339.29,111.36,118.97,2.82,72.59,7.75,3.22,2.22,3.64,1.07,51.11,48.55,53.79,45.21,40.96,56.43,38.55,52.91,2612,
2026-02-05T15:35:49.178,6th Jan,160.53,-3.68,115.72,-23.18,67.35,-7.80,3.52,2.26,2.34,1.46,48.05,51.49,53.03,45.82,39.20,58.20,38.01,53.41,2610,
2026-02-05T15:35:49.178,5th Jan,135,-72.58,149.33,-27.26,73.04,0.898,5.02,1.79,3.08,2.28,55.59,43.95,59.21,39.65,41.13,56.32,38.66,52.93,2628,
2026-02-05T15:35:49.178,2nd Jan,741.18,116.93,206.42,64.10,72.32,22.89,4.11,0.998,4.83,0.652,67.19,32.23,66.62,32.27,40.91,56.56,39.26,52.15,2606,
2026-02-05T15:35:49.178,1st Jan,328,-10.26,125.72,-2.11,58.76,4.09,2.22,1.19,3.14,0.958,54.75,44.75,55.06,43.79,36.09,61.42,37.47,53.95,2610,
2026-02-05T15:35:49.178,31st Dec,350,130.26,128.48,94.04,56.31,31.63,2.07,1.61,4.03,1.15,56.73,42.62,55.54,43.23,35.10,62.33,37.32,54.05,2607,
2026-02-05T15:35:49.178,30th Dec,152,88.07,66.19,-0.679,42.66,-0.300,1.31,3.61,2.92,1.92,38.10,61.25,39.32,59.41,29.15,68.32,35.25,56.14,2604,
2026-02-05T15:35:49.178,29th Dec,76.83,-58.77,66.95,-29.99,43.12,-15.51,2.06,3.08,2.40,3.12,39.07,60.28,39.64,59.22,29.36,68.09,36.21,55.29,2626,
2026-02-05T15:35:49.178,26th Dec,213.51,-43.95,95.37,-15.20,50.98,-4.51,1.80,1.53,3.03,1.42,53.59,45.76,48.18,50.52,32.83,64.40,37.67,53.78,2607,
2026-02-05T15:35:49.178,24th Dec,363.64,4.49,112.39,-4.98,53.33,-0.986,2.69,1.15,3.07,0.844,62.55,36.57,52.23,46.47,33.81,63.39,38.22,53.22,2606,
2026-02-05T15:35:49.178,23rd Dec,348,-53.91,118.45,20.41,53.98,9.51,2.57,0.729,3.34,0.959,68.35,30.84,53.43,45.11,34.06,63.10,38.67,52.78,2607,
2026-02-05T15:35:49.178,22nd Dec,588.46,54.86,98.39,86.85,49.38,23.06,2.40,1.18,5.83,0.991,66.30,32.75,48.88,49.68,32.14,65.08,37.93,53.60,2623,
2026-02-05T15:35:49.178,19th Dec,454.17,238.70,52.56,63.48,39.78,30.66,1.19,2.84,4.19,0.922,53.42,45.73,33.97,64.64,27.67,69.56,36.32,55.23,2602,
2026-02-05T15:35:49.178,18th Dec,134.09,124.46,32.06,-1.36,30.51,-8.18,1.35,5.73,2.27,1.69,29.59,69.60,23.97,74.76,22.74,74.53,34.28,57.33,2599,
2026-02-05T15:35:49.178,17th Dec,58.97,-45.84,32.59,-19.42,33.25,-12.37,1.19,3.81,1.77,3.00,31.99,67.24,24.26,74.43,24.26,72.97,35.22,56.40,2601,
2026-02-05T15:35:49.178,16th Dec,108.89,-66.67,40.45,-22.28,37.94,-10.89,0.654,2.23,1.88,1.73,39.88,59.23,28.42,70.27,26.73,70.46,36.12,55.50,2600,
2026-02-05T15:35:49.178,15th Dec,297.14,-40.57,52.27,14.02,42.84,-0.559,2.02,2.02,3.97,1.34,52.02,47.17,33.84,64.74,29.14,68.03,37.17,54.51,2618,
2026-02-05T15:35:49.178,12th Dec,576.19,56.05,45.60,54.44,42.74,18.04,1.65,1.27,4.66,0.808,45.98,53.37,30.90,67.76,29.13,68.14,36.86,54.87,2599,
2026-02-05T15:35:49.178,11th Dec,369.23,115.38,29.44,39.70,36.12,20.06,0.732,2.43,3.70,1.00,27.58,71.76,22.46,76.27,25.81,71.46,35.44,56.39,2596,
2026-02-05T15:35:49.178,10th Dec,171.43,-68.94,21.13,-10.35,30.15,-9.98,0.694,1.58,2.77,1.62,20.46,78.96,17.23,81.50,22.50,74.64,34.95,56.88,2595,
2026-02-05T15:35:49.178,9th Dec,555.56,4638.56,23.62,20.94,33.47,6.95,0.501,11.57,5.79,1.04,19.91,79.48,18.87,79.86,24.38,72.84,35.80,56.17,2592,
2026-02-05T15:35:49.178,8th Dec,12.93,-88.58,19.83,-48.93,31.72,-30.44,1.53,11.24,1.46,11.28,14.43,84.92,16.35,82.43,23.41,73.79,33.96,58.10,2606,
2026-02-05T15:35:49.178,5th Dec,120.41,10.16,38.59,9.46,45.21,0.070,1.27,6.41,2.28,1.89,30.99,68.35,27.48,71.21,30.22,66.85,37.94,53.92,2591,
2026-02-05T15:35:49.178,4th Dec,106.82,216.00,35.26,-0.106,45.18,0.501,0.656,5.09,1.81,1.70,28.71,70.51,25.70,72.91,30.18,66.81,38.60,53.26,2591,
2026-02-05T15:35:49.178,3rd Dec,33.80,-56.54,35.35,-26.23,45.01,-12.72,0.772,5.60,0.926,2.74,27.40,71.79,25.74,72.83,30.10,66.89,38.98,52.91,2591,
2026-02-05T15:35:49.178,2nd Dec,77.78,-51.72,47.91,-9.44,51.57,-6.29,1.58,4.44,1.62,2.08,34.90,64.29,31.93,66.64,33.01,64.02,40.27,51.66,2590,
