"2026-02-03T12:47:56.550","Mod 5_day_Check","Symbol","Cmp","%ch5","Lch5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low","%ch sl","%ch sl atr","Atr%","%ch_3low","Column26"
"2026-02-03T12:47:56.550","Mod 5_day_Check","INFOBEAN","876.80","3.67","-12.67","823.61","951.29","920","3.81","27.54","27.33","50.69","i.t","computers - software - medium / small","36.09","-5.51","0.312","1.28","0.312","0.902","19.17","744.70","7.75","-22.22","10.07","21.74","20.95"
"2026-02-03T12:47:56.550","Mod 5_day_Check","MTARTECH","3172.90","20.26","-2.28","2527.38","2875.82","3249","1.32","70.32","146.96","42.55","aerospace & defence","engineering","21.27","-7.23","0.674","0.596","0.674","0.496","6.44","2538.10","6.89","-9.98","5.10","14.23","9.96"
"2026-02-03T12:47:56.550","Mod 5_day_Check","BHAGYANGR","168.95","9.88","-9.56","165.03","186.27","193","0.302","10.53","14.81","51.03","power & utilities","power generation and supply","18.98","-5.85","0.618","1.25","0.618","1.15","0","175.65","6.44","-8.85","5.69","11.86","21.91"
"2026-02-03T12:47:56.550","Mod 5_day_Check","GRAPHITE","623.85","2.44","-13.15","627.79","695.71","677.90","1.32","39.89","48.83","49.26","industrials","electrodes - graphites","20.82","-4.41","0.107","0.315","0.107","0.250","5.50","627.25","5.41","-9.40","4.75","9.91","15.17"
"2026-02-03T12:47:56.550","Mod 5_day_Check","CRAFTSMAN","7699","5.66","-9.00","7509.47","8050.53","8220","2.28","41.55","48.39","43.65","auto","auto ancillaries","19.08","-6.38","0.111","0.432","0.111","0.396","3.85","7491.50","3.60","-7.20","4.26","9.22","9.30"
"2026-02-03T12:47:56.550","Mod 5_day_Check","CUB","299.25","10.50","-7.43","269.21","317.39","324.10","0.553","16.70","16.86","47.92","bank","banks - private sector","20.39","1.41","0.322","0.464","0.322","0.421","3.73","282.75","8.95","-7.62","3.95","8.61","7.35"
"2026-02-03T12:47:56.550","Mod 5_day_Check","PFC","391.45","5.47","-3.41","365.61","400.49","404","2.10","5.62","5.14","46.68","financials","finance - term-lending institutions","21.27","-2.85","-0.141","-0.114","-0.141","-0.162","5.77","362.15","4.77","-7.00","2.99","7.43","7.74"
"2026-02-03T12:47:56.550","Mod 5_day_Check","COALINDIA","422.30","3.94","-6.99","426.97","461.13","461.55","2.50","14.93","8.36","54.14","metals & mining","mining / minerals / metals","39.25","-3.07","0.066","0.060","0.066","0.011","5.32","421.60","4.00","-6.24","2.75","6.90","9.59"
"2026-02-03T12:47:56.550","Mod 5_day_Check","PETRONET","293.70","2.44","-3.60","278.10","303.20","297.75","1.25","13.25","11.86","46.79","energy","miscellaneous","18.21","-1.56","-0.086","-0.124","-0.086","-0.162","5.27","276.10","4.51","-6.45","2.84","6.54","5.80"
"2026-02-03T12:47:56.550","Mod 5_day_Check","UNIONBANK","172.79","0.775","-9.25","175.38","188.48","183.34","1.54","6.50","6.90","62.48","bank","banks - public sector","35.87","-0.665","0.263","0.322","0.263","0.275","3.81","175.25","3.74","-6.52","3.30","5.93","12.94"
"2026-02-03T12:47:56.550","Mod 5_day_Check","TMB","599.20","8.81","-0.516","561.73","581.37","621.90","1.26","7.47","7.70","55.51","bank","banks - private sector","28.97","-2.83","0.174","0.233","0.174","0.203","1.89","560.95","1.75","-5.63","3.33","4.86","9.70"
"2026-02-03T12:47:56.550","Mod 5_day_Check","CANBK","148.54","1.93","-12.51","151.86","163.62","160.79","1.13","6.41","7.23","50.30","bank","banks - public sector","17.45","-0.660","0.320","0.415","0.320","0.390","3.57","152.31","3.87","-5.89","2.89","4.52","4.22"
"2026-02-03T12:47:56.550","Mod 5_day_Check","MUTHOOTFIN","3607.90","4.90","-13.78","3871.19","4039.81","4149.50","1.02","14.96","19.35","45.62","financials","finance & investments","18.36","-2.22","0.392","0.816","0.392","0.779","1.42","3900","2.18","-4.28","2.61","4.18","3.66"
"2026-02-03T12:47:56.550","Mod 5_day_Check","BANKBARODA","283.60","0.996","-11.66","302.17","310.23","309.25","1.18","6.73","7.37","47.37","bank","banks - public sector","19.08","-2.86","0.164","0.249","0.164","0.234","1.91","300.45","1.33","-4.75","2.54","3.94","5.48"
"2026-02-03T12:47:56.550","Mod 5_day_Check","SBIN","1058.20","2.47","-7.07","1039.23","1087.77","1089.80","1.40","11.60","11.47","60.05","bank","banks - public sector","44.44","-0.621","0.226","0.298","0.226","0.287","1.85","1044.15","2.34","-3.54","1.85","3.70","6.31"
"2026-02-03T12:47:56.550","Mod 5_day_Check","NTPC","357.85","5.14","-3.03","342.66","353.44","365.95","1.56","15.81","14.05","49.76","power & utilities","power generation and supply","26.39","-2.23","-0.042","-0.020","-0.042","-0.028","0.972","344.70","1.57","-3.08","2.27","3.56","6.73"
"2026-02-03T12:47:56.550","RS","Symbol","Cmp","%ch","Sl","Target","0d_high","R_vol","Forward pe","Pe","Rsi","W rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Column20","Low6"
"2026-02-03T12:47:56.550","RS","RAMCOCEM","1135.30","2.06","1073.53","1292.04","1151.90","0.590","86.80","71.08","64.27","62.22","building materials","cement - south india","16.25","1.42","-0.099","0.091","-0.132","0.070","7.61","1.36","1055"
"2026-02-03T12:47:56.550","RS","VENTIVE","768.55","1.52","727.14","902.16","793.95","1.84","80.06","71.96","58.83","55.31","services","hotels","15.67","-2.23","-0.080","-0.027","-0.101","-0.040","7.84","2.34","712.65"
"2026-02-03T12:47:56.550","RS","BLISSGVS","180.52","4.49","162.23","222.05","183","0.162","17.49","16.61","58.21","57.62","healthcare","pharmaceuticals - indian - formulations","22.77","3.61","-0.072","0.380","-0.121","0.323","9.61","3.15","164.70"
"2026-02-03T12:47:56.550","RS","RAIN","159","1.90","144.38","196.05","162.90","1.07","12.62","-39.60","63.89","62.84","miscellaneous","miscellaneous","35.69","6.82","-0.056","0.060","-0.082","0.042","11.58","3.58","142.50"
"2026-02-03T12:47:56.550","RS","ASTRAL","1500.10","2.21","1412.95","1694.19","1510","0.476","74.71","77.41","59.53","54.68","plastic products","plastics products","14.50","1.48","-0.032","-0.005","-0.061","-0.025","7.38","1.10","1397"
"2026-02-03T12:47:56.550","RS","AUTOAXLES","1952","0.910","1874.52","2230.97","2014","0.598","20.51","18.60","55.87","59.70","auto","auto ancillaries","19.12","-2.46","-0.013","0.085","-0.060","0.076","6.38","0.915","1835"
"2026-02-03T12:47:56.550","RS","AJANTPHARM","2887.80","3.66","2673.84","3318.12","2889","0.503","32.95","34.32","66.70","61.42","healthcare","pharmaceuticals - indian - formulations","19.83","3.71","0.009","0.084","-0.034","0.047","7.96","3.69","2674.80"
"2026-02-03T12:47:56.550","RS","MAYURUNIQ","580","8.22","501.20","790.41","606.40","7.63","12.41","13.40","77.08","62.25","consumer discretionary","leather / leather products","21.83","6.37","0.027","-0.029","-0.065","-0.101","16.27","4.86","498.85"
"2026-02-03T12:47:56.550","RS","JBCHEPHARM","1895.70","1.67","1856.53","2046.04","1931.70","0.675","37.52","38.63","56.56","61.92","healthcare","pharmaceuticals - indian - bulk drugs & formln","20.34","-1.88","0.031","0.076","-0.004","0.060","6.75","0.835","1775.80"
"2026-02-03T12:47:56.550","RS","HAPPYFORGE","1132","7.10","1002.92","1448.16","1161","2.80","36.33","36.71","59.92","61.24","industrials","castings & forgings","29.63","1.14","0.071","0.290","0.017","0.206","10.97","4.81","1020.10"
"2026-02-03T12:47:56.550","RS","CRAFTSMAN","7699","2.77","7276.52","9585.95","8220","0.531","41.55","48.39","55.03","62.66","auto","auto ancillaries","17.87","-3.69","0.098","0.353","0.034","0.319","8.74","2.30","7080"
"2026-02-03T12:47:56.550","RS","SENORES","813.50","4.22","767.08","937.14","828.90","0.638","27.90","35.10","52.50","58.11","healthcare","pharmaceuticals - indian - formulations","15.22","-0.681","0.108","0.549","0.025","0.489","5.92","1.05","768"
"2026-02-03T12:47:56.550","RS","NAVINFLUOR","6264","6.15","5869.85","7410.29","6443","1.79","53.89","66.53","60.77","64.73","chemicals","chemicals","13.55","-0.803","0.115","0.412","0.058","0.332","7.97","0.320","5801.50"
"2026-02-03T12:47:56.550","RS","MMFL","431.50","6.90","398.77","544.27","455.15","0.759","31.45","20.39","59.91","65.21","industrials","castings & forgings","31.96","-4.43","0.170","0.116","0.071","0.046","12.57","3.95","383.30"
"2026-02-03T12:47:56.550","RS","AIAENG","4071.50","1.38","3786.74","4778.03","4140","0.462","32.27","32.26","61.67","65.66","industrials","castings & forgings","23.30","2.39","0.194","0.187","0.197","0.172","7.14","1.42","3800.20"
"2026-02-03T12:47:56.550","RS","GNA","402.05","13.21","346.18","559.70","425","3.76","13.83","14.52","72.25","72.27","auto","auto ancillaries","29.29","-2.78","0.224","0.152","0.054","0.019","19.76","4.35","335.70"
"2026-02-03T12:47:56.550","RS","CUB","299.25","4.83","275.64","396.16","324.10","1.70","16.70","16.86","58.77","72.76","bank","banks - private sector","19.06","0.311","0.269","0.474","0.203","0.408","10.22","1.96","271.50"
"2026-02-03T12:47:56.550","RS","AETHER","1059","2.02","995.28","1235.64","1083.60","2.29","65.05","70.71","72.71","73.19","chemicals","chemicals","26.50","-0.207","0.271","0.370","0.235","0.345","9.80","1.47","964.45"
"2026-02-03T12:47:56.550","RS","SANGAMIND","499","11.70","425.71","695.58","524","9.36","25.62","37.92","67.29","60.71","textiles","textiles - spinning - synthetic / blended","18.70","3.49","0.274","0.140","0.048","0.022","17.07","7.31","426.25"
"2026-02-03T12:47:56.550","RS","KARURVYSYA","302.15","2.16","281.17","385.81","323","0.784","10.58","11.40","66.65","79.32","bank","banks - private sector","32.81","3.57","0.283","0.549","0.231","0.519","7.15","1.26","282"
"2026-02-03T12:47:56.550","RS","UJJIVANSFB","63.11","2.14","61.92","70.47","65.60","0.522","16.43","24.23","60.74","71.57","bank","banks - private sector","29.41","-4.07","0.322","0.363","0.286","0.336","10.72","0.654","57"
